210,144,21,19,1.26
211,144,21,23,0.91
212,144,11,15,0.73
905,281,27,19,1.44
906,281,5,17,0.36
907,281,20,15,1.25
944,281,21,15,1.17
945,281,14,17,0.80
1430,22,22,21,1.03
1431,22,13,20,0.67
1432,22,18,22,0.87
1454,22,10,7,1.11
1477,22,15,19,0.81
1883,22,14,18,0.74
1884,22,22,18,1.09
1885,22,16,18,0.85
1904,22,18,17,1.07
1905,22,19,14,1.06
1910,22,11,18,0.62
1913,22,14,17,0.80
1947,22,13,19,0.66
1955,22,10,18,0.62
2000,22,15,8,1.25
2010,22,16,16,0.89
2022,22,8,20,0.47
2032,22,16,18,0.83
2051,22,12,17,0.85
2554,22,8,21,0.43
2555,22,14,20,0.68
2571,22,9,19,0.56
2572,22,15,9,1.42
2573,22,8,18,0.46
2684,22,17,16,1.16
2685,22,24,18,1.22
2686,22,23,13,1.44
2726,22,18,22,0.92
2727,22,15,18,0.93
2762,22,6,16,0.49
2763,22,15,14,0.98
2764,22,18,19,1.00
2771,22,19,17,1.00
2772,22,19,16,1.24
2773,22,13,15,0.87
2791,22,15,13,0.99
2792,22,19,18,0.99
2819,22,17,18,0.92
2821,22,16,18,0.87
2889,22,11,17,0.63
2890,22,10,17,0.73
2914,22,18,20,0.96
2917,22,26,23,1.16
2918,22,15,9,1.21
3029,22,13,17,0.79
3030,22,19,16,1.19
3031,22,15,19,0.81
3181,22,21,18,1.16
3182,22,10,16,0.60
3195,22,21,23,0.97
3196,22,17,20,0.86
3197,22,20,20,1.04
3224,22,16,10,1.26
3225,22,14,12,1.06
3298,22,11,7,1.23
3307,22,25,35,0.76
3381,22,17,14,1.02
3382,22,24,17,1.24
3409,22,20,11,1.49
3410,22,19,8,1.45
3484,22,10,19,0.66
3488,22,11,16,0.68
3500,22,13,23,0.58
3501,22,19,22,0.86
3537,22,17,14,1.06
3539,22,3,16,0.26
3652,22,12,18,0.69
3653,22,17,20,0.93
3711,22,18,15,1.04
3737,22,14,11,1.32
3779,22,23,13,1.46
3780,22,16,19,0.80
3781,22,15,10,1.09
3790,22,28,16,1.37
3791,22,5,17,0.33
3792,22,16,18,0.89
3859,22,19,8,1.40
3860,22,15,19,0.74
3891,22,23,14,1.36
3892,22,28,22,1.16
3900,22,27,10,1.94
3901,22,23,21,1.00
4088,22,28,20,1.28
4089,22,23,10,1.45
4090,22,11,18,0.67
4116,22,29,17,1.41
4132,22,13,11,0.97
4322,22,21,14,1.27
4323,22,11,24,0.55
4383,22,10,15,0.71
4385,22,21,20,1.14
4392,22,20,15,1.15
4393,22,20,16,1.14
4394,22,14,16,0.90
4405,22,24,7,1.88
4406,22,12,10,0.96
4407,22,15,15,1.06
4420,22,8,11,0.73
4421,22,26,18,1.18
4451,22,7,17,0.46
4455,22,15,19,0.84
4542,22,30,14,1.56
4543,22,17,13,1.04
4548,22,11,13,0.81
4549,22,12,17,0.75
4571,22,9,16,0.59
4573,22,16,17,0.92
4647,22,7,16,0.50
4648,22,25,20,1.25
4659,22,14,9,1.18
4770,22,16,16,0.91
4771,22,13,12,1.04
4792,22,23,16,1.24
4797,22,14,12,0.96
4978,22,20,21,0.90
4999,22,9,20,0.53
5206,22,20,24,0.88
5214,22,12,19,0.74
5222,22,20,13,1.44
5230,22,15,21,0.75
5259,22,16,9,1.15
5268,22,17,19,0.87
5296,22,18,21,0.97
5297,22,12,20,0.55
5312,22,21,20,0.95
5313,22,15,13,1.07
5430,22,17,18,0.92
5431,22,12,18,0.69
5432,22,13,17,0.78
5441,22,15,15,0.89
5442,22,23,20,1.05
5510,22,20,11,1.35
5511,22,15,18,0.78
5512,22,16,18,0.87
5513,22,20,19,1.00
5526,22,15,8,1.32
5527,22,15,18,0.85
5607,22,22,17,1.25
5608,22,22,20,0.99
5618,22,25,17,1.32
5619,22,16,8,1.36
5623,22,18,25,0.76
5624,22,18,11,1.21
5625,22,17,20,0.80
5638,22,11,20,0.60
5661,22,11,15,0.74
5662,22,13,11,1.02
5761,22,18,16,1.17
5762,22,5,21,0.36
5774,22,16,18,0.93
5775,22,17,14,1.06
5794,22,16,20,0.88
5795,22,15,12,1.14
5807,22,15,9,1.16
5808,22,14,8,1.21
5855,22,31,32,0.92
5856,22,17,9,1.30
5868,22,8,21,0.48
5869,22,9,24,0.40
6058,22,17,12,1.11
6059,22,17,15,1.06
6149,22,22,22,0.95
6150,22,39,33,1.01
6185,22,24,10,1.77
6186,22,20,16,1.08
6187,22,19,30,0.66
6188,22,13,22,0.66
6189,22,18,18,1.01
6382,22,15,11,1.17
6383,22,23,11,1.53
6409,22,15,18,0.85
6410,22,25,14,1.50
6411,22,17,21,0.85
6707,22,25,16,1.30
6708,22,23,15,1.35
6709,22,24,28,0.93
6909,22,11,16,0.68
6910,22,30,24,1.19
6911,22,15,19,0.92
7166,22,17,15,0.96
7174,22,14,18,0.83
7180,22,12,12,0.95
7217,22,15,17,0.81
7218,22,28,20,1.46
7219,22,16,8,1.42
7362,22,12,17,0.74
7367,22,20,12,1.45
7526,22,11,22,0.57
7527,22,28,28,0.91
7528,22,15,19,0.77
7532,22,21,17,1.15
7533,22,21,20,0.94
7534,22,25,29,0.93
7570,22,17,19,0.85
7571,22,18,15,1.05
7687,22,12,19,0.69
7788,22,16,22,0.72
7804,22,7,19,0.43
7979,22,24,25,0.95
7980,22,13,15,0.93
8028,22,21,16,1.07
8043,22,17,12,1.17
8055,22,19,13,1.19
8060,22,19,18,1.12
8100,346,13,18,0.73
8101,346,27,22,1.19
8280,346,12,19,0.66
8281,346,9,18,0.52
8298,346,13,10,1.11
8299,346,26,16,1.32
8300,346,19,19,0.98
8329,346,14,14,0.94
8330,346,15,19,0.75
8394,346,21,19,0.94
8395,346,16,22,0.72
8396,346,24,21,1.11
8470,346,20,17,1.15
8501,346,13,12,1.13
8502,346,20,18,1.02
8519,346,15,20,0.76
8520,346,8,20,0.51
8653,346,18,19,0.92
8654,346,25,31,0.82
8655,346,20,18,0.98
8782,355,24,17,1.23
8783,355,14,15,1.06
8808,355,15,9,1.18
8809,355,22,7,2.10
8835,355,26,13,1.47
8836,355,21,14,1.34
9206,972,19,14,1.17
9262,972,11,7,1.11
9271,972,12,18,0.74
10674,346,18,20,0.81
10675,346,13,18,0.72
10684,346,20,17,1.03
10686,346,13,18,0.85
10692,346,16,18,1.12
10793,346,16,22,0.73
10794,346,12,17,0.70
10800,346,22,19,1.11
10801,346,35,29,1.15
10841,346,7,17,0.40
10842,346,25,16,1.34
10843,346,6,17,0.33
10855,346,36,16,2.09
10856,346,17,14,1.00
10881,346,23,18,1.10
10882,346,12,16,0.74
10962,346,24,32,0.69
10963,346,19,16,1.12
11024,346,23,16,1.49
11075,346,20,20,0.93
11076,346,26,20,1.11
11214,346,21,8,1.64
11215,346,31,22,1.12
11263,346,23,14,1.57
11264,346,22,13,1.29
11265,346,19,21,0.87
11283,346,12,20,0.57
11284,346,15,19,0.88
11701,346,8,9,1.06
11719,346,19,28,0.69
11749,346,24,10,1.67
11750,346,19,13,1.17
11751,346,9,20,0.44
11756,346,31,20,1.46
11902,419,35,14,1.97
11903,419,21,19,0.99
11913,419,24,12,1.44
11917,419,15,18,0.85
11964,419,31,27,1.13
11968,419,20,19,1.05
12118,419,22,23,0.89
12119,419,17,18,0.88
12197,419,32,24,1.29
12203,419,9,20,0.47
13129,872,13,20,0.71
13130,872,17,21,0.86
13501,419,11,21,0.59
13505,419,12,17,0.80
13510,419,9,11,0.83
13511,419,21,26,0.90
13512,419,21,17,1.05
13513,419,19,19,0.89
13514,419,11,17,0.69
13524,419,15,10,1.09
13527,419,22,20,1.04
13528,419,17,17,0.99
13529,419,13,19,0.74
13533,419,24,9,1.66
13534,419,14,17,0.78
13548,419,15,16,0.92
13549,419,11,18,0.69
13554,419,20,12,1.34
13555,419,16,20,0.81
13658,419,20,11,1.38
13666,419,18,16,1.21
13668,419,18,13,1.13
13676,419,20,12,1.37
13688,419,11,19,0.58
13749,419,11,20,0.59
13750,419,17,22,0.81
13751,419,11,22,0.54
13757,419,24,17,1.20
13758,419,16,12,1.08
13759,419,22,20,1.12
13808,419,17,20,0.82
13809,419,27,23,1.21
13831,419,19,26,0.77
13832,419,27,23,1.15
13833,419,7,17,0.48
14072,885,23,20,1.08
14073,885,14,18,1.00
14090,885,23,17,1.29
14091,885,13,16,0.92
14092,885,13,18,0.73
14144,885,26,20,1.23
14145,885,8,18,0.47
14146,885,22,10,1.46
14151,885,19,5,1.62
14211,885,22,19,1.13
14229,885,31,17,1.53
14231,885,15,6,1.43
14237,885,20,19,1.06
14245,885,34,22,1.43
14251,885,13,11,1.06
14252,885,23,15,1.33
14259,885,17,20,0.95
14260,885,38,26,1.38
14287,885,10,15,0.69
14292,885,28,17,1.40
14307,885,19,20,0.92
14309,885,15,12,0.95
14311,885,21,17,1.03
14342,885,12,15,0.91
14343,885,23,19,1.12
14400,885,8,17,0.56
14401,885,11,22,0.57
14406,885,9,17,0.56
14407,885,15,17,1.07
14427,885,10,17,0.74
14428,885,16,16,0.93
14429,885,21,19,0.98
14477,885,16,17,1.01
14478,885,17,22,0.78
14491,885,20,18,1.10
14492,885,16,15,0.93
14498,885,11,16,0.72
14499,885,13,19,0.70
14500,885,29,19,1.49
14503,885,11,23,0.55
14504,885,24,15,1.47
14699,745,12,17,0.83
14712,355,10,19,0.54
14719,355,20,21,0.94
14722,355,18,8,1.51
14736,745,14,18,0.81
14737,745,25,12,1.65
14738,745,14,18,0.79
14751,745,22,13,1.25
14752,745,22,12,1.48
14762,745,8,18,0.46
14763,745,7,16,0.44
14776,355,11,21,0.53
14789,355,22,15,1.21
14792,355,10,18,0.57
14837,355,17,18,0.98
14868,355,6,20,0.30
14869,355,19,15,1.10
14876,355,17,18,0.95
14878,355,17,17,1.12
14882,355,19,13,1.33
14885,355,19,20,0.92
14887,355,25,20,1.30
15277,872,8,16,0.54
15278,872,8,20,0.44
15281,872,20,11,1.29
15282,872,22,11,1.45
15283,872,34,32,1.15
16514,1179,15,22,0.69
16601,1179,17,16,0.92
16683,1179,30,26,1.11
16732,1179,15,17,0.93
16733,1179,8,16,0.49
16734,1179,21,16,1.10
17055,1419,17,18,0.92
17062,1419,16,9,1.22
17115,1419,8,17,0.49
17402,724,8,18,0.49
17440,724,14,4,1.55
17441,724,20,15,1.14
17494,724,17,11,1.17
17495,724,17,8,1.37
