4191,579,16,19,0.92
4192,579,9,19,0.61
4229,579,18,17,0.96
4281,579,20,8,1.59
5443,579,12,20,0.66
5444,579,11,19,0.61
5462,579,18,13,1.31
5463,579,16,9,1.31
5464,579,15,22,0.83
5644,579,8,17,0.51
5645,579,15,17,0.81
5650,579,14,18,0.88
5651,579,16,20,0.81
5652,579,9,21,0.48
5656,579,15,10,1.11
5657,579,11,20,0.59
5658,579,9,19,0.56
5906,579,10,21,0.52
5907,579,6,20,0.30
6093,579,13,16,0.80
6182,579,18,18,0.93
6384,579,4,16,0.25
6385,579,17,18,0.98
6700,579,15,24,0.73
6701,579,17,20,0.84
6891,579,14,21,0.85
6892,579,23,26,0.83
7072,579,12,27,0.45
7079,579,28,19,1.41
7271,579,4,18,0.30
7272,579,10,18,0.60
7273,579,47,40,1.17
7282,579,17,12,1.22
7283,579,18,10,1.48
8777,990,8,17,0.46
8787,990,24,9,2.07
8806,990,9,16,0.51
8807,990,8,18,0.46
8847,990,20,13,1.36
8848,990,19,17,1.07
10445,724,21,22,0.98
10446,724,15,15,0.88
10447,724,16,12,1.12
13586,579,9,19,0.49
13588,579,14,20,0.67
13589,579,23,19,1.23
14360,579,12,17,0.78
14361,579,8,21,0.42
14610,579,16,13,1.12
14611,579,18,14,1.14
14613,579,11,21,0.62
15679,1310,17,8,1.32
15680,1310,16,12,1.23
16130,1310,7,17,0.49
16189,1310,15,22,0.66
16233,1310,10,17,0.73
16257,1310,16,24,0.69
16305,1310,15,25,0.59
16768,1310,20,23,0.86
16769,1310,8,16,0.67
16832,1310,21,20,1.04
16833,1310,20,18,1.23
16834,1310,18,16,1.21
16841,1310,17,19,0.85
16845,1310,11,10,0.96
16854,1310,22,19,1.24
16857,1310,27,10,1.80
