305,27,48,33,1.49
306,27,18,21,0.80
336,27,17,11,1.37
337,27,11,8,1.04
743,254,15,20,0.81
744,254,30,31,0.91
745,254,9,17,0.58
1549,362,17,19,0.93
1550,362,22,23,0.98
1678,362,16,22,0.76
1679,362,35,28,1.20
1680,362,16,13,1.10
1743,362,23,16,1.24
1744,362,13,6,1.30
3034,254,11,23,0.54
3035,254,11,18,0.60
3040,254,15,19,0.77
3045,254,12,19,0.70
4687,254,5,16,0.35
4688,254,12,20,0.58
4734,254,20,19,0.95
5141,254,14,18,0.84
5228,254,23,22,0.92
5235,254,24,20,1.14
5565,254,9,21,0.45
5566,254,18,18,0.98
5569,254,18,23,0.81
16033,1356,10,17,0.63
