2016,05,22, TempoStorm, 12, OpTic, 16, nuke, 26, 18, 1.42 
2016,05,22, TempoStorm, 13, OpTic, 16, train, 26, 16, 1.33 
2016,05,22, OpTic, 13, TempoStorm, 16, dust2, 24, 23, 1.04 
2016,05,21, TempoStorm, 06, OpTic, 16, cobblestone, 16, 11, 1.17 
2016,05,21, TempoStorm, 07, OpTic, 16, train, 20, 10, 1.44 
2016,05,20, TSM, 11, OpTic, 16, mirage, 16, 19, 0.95 
2016,05,20, TSM, 16, OpTic, 08, cache, 17, 21, 0.89 
2016,05,20, OpTic, 16, TSM, 07, overpass, 16, 12, 1.07 
2016,05,19, OpTic, 16, Selfless, 01, train, 17, 07, 1.55 
2016,05,19, WinOut, 02, OpTic, 16, train, 17, 09, 1.52 
2016,05,12, OpTic, 13, Luminosity, 16, overpass, 27, 21, 1.30 
2016,05,12, Luminosity, 16, OpTic, 12, inferno, 10, 20, 0.57 
2016,05,11, 0G2, 16, OpTic, 07, cobblestone, 15, 19, 1.01 
2016,05,11, Astralis, 07, OpTic, 16, inferno, 18, 14, 1.20 
2016,05,07, TSM, 16, OpTic, 10, cobblestone, 26, 20, 1.47 
2016,05,07, TSM, 16, OpTic, 12, cache, 19, 19, 0.99 
2016,05,05, OpTic, 11, compLexity, 16, inferno, 20, 16, 1.10 
2016,05,05, compLexity, 03, OpTic, 16, cache, 19, 08, 1.49 
2016,05,05, compLexity, 16, OpTic, 02, train, 05, 18, 0.26 
2016,05,05, Luminosity, 16, OpTic, 11, train, 21, 18, 1.09 
2016,05,05, OpTic, 04, Luminosity, 16, cobblestone, 05, 19, 0.25 
2016,04,29, Virtus.pro, 16, OpTic, 08, inferno, 26, 16, 1.59 
2016,04,29, OpTic, 06, Virtus.pro, 16, mirage, 14, 15, 0.95 
2016,04,29, OpTic, 16, Splyce, 08, cobblestone, 18, 14, 1.14 
2016,04,29, OpTic, 12, Splyce, 16, train, 15, 20, 0.72 
2016,04,29, OpTic, 16, Splyce, 03, mirage, 20, 07, 1.67 
2016,04,28, OpTic, 03, HellRaisers, 16, overpass, 13, 17, 0.81 
2016,04,28, HellRaisers, 16, OpTic, 08, cache, 12, 20, 0.65 
2016,04,28, HellRaisers, 08, OpTic, 16, cobblestone, 20, 15, 1.17 
2016,04,27, NRG, 08, OpTic, 16, overpass, 16, 12, 1.09 
2016,04,27, OpTic, 10, NRG, 16, cache, 14, 19, 0.74 
2016,04,25, OpTic, 19, Liquid, 16, train, 29, 22, 1.38 
2016,04,25, OpTic, 16, Liquid, 09, cache, 26, 12, 1.80 
2016,04,24, CLG, 07, OpTic, 16, overpass, 21, 19, 1.08 
2016,04,24, OpTic, 16, CLG, 07, train, 22, 10, 1.64 
2016,04,23, Cloud9, 16, OpTic, 08, dust2, 11, 19, 0.60 
2016,04,23, Cloud9, 05, OpTic, 16, cache, 27, 08, 1.99 
2016,04,23, Cloud9, 16, OpTic, 13, mirage, 18, 21, 0.88 
2016,04,18, OpTic, 16, EchoFox, 13, cobblestone, 23, 16, 1.27 
2016,04,18, EchoFox, 11, OpTic, 16, inferno, 23, 14, 1.36 
2016,04,10, k1ck, 16, gBots, 10, inferno, 19, 20, 0.98 
2016,04,10, k1ck, 16, gBots, 14, mirage, 25, 19, 1.25 
2016,04,10, k1ck, 08, gBots, 16, cache, 28, 11, 1.83 
2016,04,10, gBots, 16, AlienTech, 09, inferno, 24, 15, 1.48 
2016,04,10, gBots, 16, AlienTech, 10, cache, 24, 20, 1.20 
2016,04,09, k1ck, 16, gBots, 11, cobblestone, 20, 19, 0.99 
2016,04,09, k1ck, 16, gBots, 08, cache, 28, 15, 1.79 
2016,04,09, gBots, 16, k1ck, 04, mirage, 17, 13, 1.26 
2016,04,08, gBots, 16, AlienTech, 05, inferno, 19, 07, 1.47 
2016,04,08, gBots, 16, AlienTech, 12, cache, 19, 23, 0.86 
2016,04,08, gBots, 15, AlienTech, 19, cobblestone, 21, 22, 0.92 
2016,03,16, gBots, 16, ImperioMultimedia, 05, mirage, 21, 07, 1.60 
2016,03,16, ImperioMultimedia, 03, gBots, 16, cobblestone, 29, 08, 2.66 
2016,03,16, k1ck, 09, gBots, 16, mirage, 28, 18, 1.49 
2016,03,16, k1ck, 14, gBots, 16, cobblestone, 19, 21, 0.87 
2016,03,13, gBots, 16, Galatics, 11, inferno, 33, 16, 1.85 
2016,03,13, gBots, 16, Galatics, 06, train, 21, 11, 1.47 
2016,03,06, Publiclir.se, 19, gBots, 16, mirage, 30, 27, 1.12 
2016,03,06, Publiclir.se, 16, gBots, 12, cobblestone, 20, 21, 1.09 
2016,02,24, AlienTech, 08, gBots, 16, inferno, 22, 12, 1.29 
2016,02,24, AlienTech, 15, gBots, 19, train, 32, 22, 1.35 
2016,02,20, gBots, 04, EnVyUs, 16, mirage, 10, 19, 0.55 
2016,02,19, fnatic, 16, gBots, 13, inferno, 23, 20, 1.08 
2016,02,19, dignitas, 16, gBots, 14, cobblestone, 18, 20, 0.89 
2016,02,16, EU4IA, 08, gBots, 16, train, 26, 09, 1.71 
2016,02,16, EU4IA, 16, gBots, 07, inferno, 09, 20, 0.46 
2016,02,15, gBots, 16, nerdRage, 06, train, 21, 14, 1.38 
2016,02,15, gBots, 16, nerdRage, 00, cobblestone, 15, 09, 1.39 
2015,12,06, gBots, 16, x6tence, 08, mirage, 23, 12, 1.47 
2015,12,06, x6tence, 11, gBots, 16, dust2, 26, 16, 1.42 
2015,12,06, Atlantis, 12, gBots, 16, inferno, 30, 18, 1.50 
2015,12,06, gBots, 16, Atlantis, 05, train, 19, 12, 1.27 
2015,12,05, gBots, 16, overGame, 10, cache, 25, 18, 1.34 
2015,12,04, gBots, 16, EvidentVictory, 05, dust2, 18, 09, 1.43 
2015,11,23, BX3, 16, gBots, 12, dust2, 20, 22, 0.92 
2015,11,23, gBots, 11, BX3, 16, cache, 21, 19, 1.15 
2015,11,23, AliGon, 16, gBots, 12, dust2, 26, 21, 1.23 
2015,11,23, gBots, 08, AliGon, 16, train, 17, 18, 1.04 
2015,11,15, gBots, 13, x6tence, 16, inferno, 25, 21, 1.27 
2015,11,15, gBots, 07, x6tence, 16, mirage, 12, 21, 0.56 
2015,11,12, gBots, 16, KIYF, 11, cobblestone, 25, 15, 1.44 
2015,11,12, gBots, 16, KIYF, 08, train, 23, 11, 1.41 
2015,10,08, gBots, 16, OverGaming, 03, cache, 18, 09, 1.40 
2015,10,08, gBots, 16, OverGaming, 07, train, 18, 13, 1.21 
2015,10,07, KIYF, 13, gBots, 16, mirage, 33, 18, 1.58 
2015,10,07, KIYF, 07, gBots, 16, dust2, 21, 16, 1.29 
2015,09,30, Spain, 12, Germany, 16, cobblestone, 23, 20, 1.04 
2015,09,30, Spain, 14, Germany, 16, dust2, 23, 23, 1.00 
2015,09,30, Germany, 12, Spain, 16, cache, 22, 16, 1.21 
2015,09,15, Netherlands, 09, Spain, 16, cache, 25, 19, 1.36 
2015,09,14, Spain, 05, Hungary, 16, dust2, 16, 16, 1.02 
2015,09,05, INFINITY, 16, gBots, 14, inferno, 17, 20, 0.82 
2015,08,11, Luxembourg, 07, Spain, 16, inferno, 15, 16, 0.87 
2015,08,11, Spain, 16, Luxembourg, 05, dust2, 21, 11, 1.61 
2015,06,04, Epsilon, 11, nerdRage, 16, inferno, 18, 18, 1.15 
