2016,04,28, EchoFox, 14, Luminosity, 16, train, 23, 21, 1.12 
2016,04,28, Luminosity, 16, EchoFox, 12, dust2, 15, 21, 0.76 
2016,04,27, Luminosity, 16, WithoutaRoof, 06, dust2, 19, 14, 1.15 
2016,04,27, Luminosity, 16, WithoutaRoof, 05, mirage, 18, 10, 1.45 
2016,04,27, Selfless, 06, Luminosity, 16, overpass, 14, 15, 0.92 
2016,04,27, Selfless, 14, Luminosity, 16, inferno, 29, 21, 1.32 
2016,04,24, Luminosity, 16, Renegades, 13, inferno, 21, 18, 1.01 
2016,04,24, Luminosity, 16, Renegades, 03, train, 21, 09, 1.75 
2016,04,20, Luminosity, 19, NRG, 16, train, 30, 23, 1.41 
2016,04,20, NRG, 11, Luminosity, 16, overpass, 24, 17, 1.26 
2016,04,14, Luminosity, 12, TyLoo, 16, inferno, 18, 20, 0.89 
2016,04,14, TyLoo, 07, Luminosity, 16, overpass, 19, 13, 1.22 
2016,04,14, TyLoo, 16, Luminosity, 14, cache, 21, 23, 0.91 
2016,04,13, mousesports, 16, Luminosity, 07, cache, 12, 15, 0.80 
2016,04,12, TyLoo, 07, Luminosity, 16, mirage, 25, 14, 1.58 
2016,04,03, Luminosity, 16, NatusVincere, 02, overpass, 21, 13, 1.65 
2016,04,03, NatusVincere, 17, Luminosity, 19, mirage, 30, 26, 1.23 
2016,04,02, Liquid, 16, Luminosity, 19, cache, 21, 27, 0.74 
2016,04,02, Liquid, 15, Luminosity, 19, mirage, 23, 17, 1.04 
2016,04,02, Virtus.pro, 11, Luminosity, 16, overpass, 19, 21, 0.90 
2016,04,02, Luminosity, 16, Virtus.pro, 10, cobblestone, 21, 21, 0.92 
2016,04,02, Luminosity, 17, Virtus.pro, 19, cache, 21, 29, 0.76 
2016,03,30, Luminosity, 16, NiP, 05, mirage, 09, 13, 0.70 
2016,03,29, Luminosity, 16, mousesports, 13, mirage, 21, 17, 1.18 
2016,03,24, Luminosity, 16, KKona, 05, mirage, 17, 14, 1.17 
2016,03,24, Luminosity, 16, KKona, 13, overpass, 22, 19, 1.18 
2016,03,21, Luminosity, 16, TSM, 02, cache, 14, 08, 1.20 
2016,03,21, Luminosity, 16, TSM, 06, cobblestone, 29, 13, 1.83 
2016,03,21, TSM, 16, Luminosity, 11, mirage, 16, 25, 0.64 
2016,03,21, Splyce, 08, Luminosity, 16, inferno, 25, 15, 1.47 
2016,03,21, Splyce, 11, Luminosity, 16, train, 31, 16, 1.57 
2016,03,20, Luminosity, 16, CLG, 12, overpass, 20, 18, 1.05 
2016,03,20, CLG, 09, Luminosity, 16, cobblestone, 22, 16, 1.28 
2016,03,19, Luminosity, 14, Selfless, 16, overpass, 18, 20, 0.87 
2016,03,19, Luminosity, 13, Selfless, 16, cache, 16, 21, 0.93 
2016,03,19, Selfless, 12, Luminosity, 16, mirage, 25, 20, 1.14 
2016,03,18, Luminosity, 16, Cloud9, 07, cobblestone, 22, 12, 1.34 
2016,03,18, Luminosity, 13, Cloud9, 16, overpass, 22, 22, 1.17 
2016,03,17, ACE, 09, Luminosity, 16, inferno, 19, 17, 0.99 
2016,03,17, Luminosity, 16, ACE, 03, cache, 18, 09, 1.56 
2016,03,11, NRG, 09, Luminosity, 16, mirage, 16, 16, 0.94 
2016,03,11, Luminosity, 16, NRG, 03, inferno, 19, 07, 1.56 
2016,03,10, Luminosity, 03, Winterfox, 16, train, 10, 18, 0.54 
2016,03,10, Winterfox, 11, Luminosity, 16, overpass, 31, 15, 1.69 
2016,03,05, Luminosity, 15, fnatic, 19, inferno, 20, 27, 0.78 
2016,03,05, Luminosity, 03, fnatic, 16, cache, 14, 15, 1.00 
2016,03,05, Luminosity, 17, fnatic, 19, overpass, 27, 26, 1.05 
2016,03,04, NatusVincere, 12, Luminosity, 16, inferno, 15, 17, 0.77 
2016,03,04, Luminosity, 22, NatusVincere, 19, overpass, 22, 30, 0.77 
2016,03,02, Luminosity, 13, NiP, 16, mirage, 20, 21, 0.90 
2016,03,02, mousesports, 14, Luminosity, 16, cobblestone, 29, 19, 1.38 
2016,03,02, Luminosity, 16, TheMongolz, 06, inferno, 19, 11, 1.47 
2016,03,02, Luminosity, 16, fnatic, 12, inferno, 33, 17, 1.95 
2016,03,02, Luminosity, 16, NatusVincere, 11, mirage, 29, 15, 1.65 
2016,02,17, compLexity, 09, Luminosity, 16, train, 15, 20, 0.78 
2016,02,17, Luminosity, 16, compLexity, 02, inferno, 23, 10, 1.82 
2016,02,12, Luminosity, 16, Liquid, 11, cobblestone, 18, 17, 1.01 
2016,02,12, Liquid, 13, Luminosity, 16, overpass, 26, 24, 1.19 
2016,01,24, NatusVincere, 19, Luminosity, 16, cobblestone, 19, 24, 0.89 
2016,01,24, Luminosity, 16, NatusVincere, 19, train, 23, 26, 0.91 
2016,01,23, Astralis, 12, Luminosity, 16, overpass, 20, 19, 1.09 
2016,01,23, Astralis, 08, Luminosity, 16, train, 21, 15, 1.33 
2016,01,23, FaZe, 05, Luminosity, 16, cache, 25, 12, 1.70 
2016,01,23, FaZe, 07, Luminosity, 16, train, 18, 11, 1.31 
2016,01,22, 0SK, 10, Luminosity, 16, train, 24, 14, 1.46 
2016,01,22, Luminosity, 10, 0SK, 16, mirage, 17, 20, 0.89 
2016,01,22, 0SK, 07, Luminosity, 16, overpass, 19, 15, 1.20 
2016,01,22, Luminosity, 09, FaZe, 16, inferno, 14, 23, 0.65 
2016,01,16, Luminosity, 14, fnatic, 16, inferno, 17, 28, 0.64 
2016,01,16, fnatic, 16, Luminosity, 07, cache, 11, 17, 0.79 
2016,01,16, fnatic, 06, Luminosity, 16, mirage, 28, 11, 1.95 
2016,01,13, NatusVincere, 09, Luminosity, 16, mirage, 11, 18, 0.74 
2016,01,13, Luminosity, 16, NatusVincere, 14, train, 19, 19, 0.96 
2016,01,13, 0G2, 07, Luminosity, 16, inferno, 21, 12, 1.23 
2016,01,13, Luminosity, 16, 0G2, 09, train, 14, 15, 0.82 
2016,01,10, Luminosity, 16, KeydStars, 11, cobblestone, 14, 18, 0.81 
2016,01,10, KeydStars, 02, Luminosity, 16, mirage, 17, 10, 1.35 
2016,01,10, Luminosity, 16, KeydStars, 04, cache, 19, 11, 1.39 
2016,01,09, AlienTech, 08, Luminosity, 16, train, 19, 16, 1.15 
2016,01,09, Luminosity, 16, AlienTech, 01, mirage, 15, 06, 1.57 
2016,01,08, Santos.DeX, 05, Luminosity, 16, cobblestone, 19, 12, 1.30 
2016,01,08, CNB, 02, Luminosity, 16, mirage, 16, 11, 1.35 
2016,01,07, Luminosity, 16, INTZ, 08, cobblestone, 27, 14, 1.67 
2016,01,06, Luminosity, 16, g3x, 02, cobblestone, 25, 10, 2.17 
2015,12,12, NatusVincere, 16, Luminosity, 06, mirage, 12, 20, 0.64 
2015,12,12, Luminosity, 16, NatusVincere, 12, train, 26, 20, 1.17 
2015,12,12, Luminosity, 11, NatusVincere, 16, cobblestone, 20, 20, 0.94 
2015,12,12, Luminosity, 16, CLG, 12, overpass, 22, 17, 1.08 
2015,12,12, CLG, 08, Luminosity, 16, mirage, 14, 13, 0.93 
2015,12,11, Luminosity, 15, NatusVincere, 19, inferno, 18, 26, 0.67 
2015,12,11, NatusVincere, 16, Luminosity, 05, dust2, 09, 18, 0.50 
2015,11,28, Luminosity, 07, fnatic, 16, inferno, 13, 18, 0.73 
2015,11,28, Luminosity, 11, fnatic, 16, cobblestone, 15, 21, 0.80 
2015,11,28, fnatic, 09, Luminosity, 16, train, 17, 13, 1.08 
2015,11,28, TSM, 17, Luminosity, 21, inferno, 31, 23, 1.23 
2015,11,28, TSM, 06, Luminosity, 16, overpass, 19, 13, 1.21 
2015,11,28, TSM, 16, Luminosity, 05, mirage, 11, 19, 0.71 
2015,11,27, NiP, 06, Luminosity, 16, cobblestone, 23, 15, 1.42 
2015,11,27, NiP, 21, Luminosity, 19, cache, 26, 31, 0.83 
2015,11,27, Luminosity, 16, NiP, 10, mirage, 26, 14, 1.57 
2015,11,27, EnVyUs, 11, Luminosity, 16, inferno, 18, 20, 0.83 
2015,11,27, EnVyUs, 16, Luminosity, 08, cobblestone, 16, 18, 0.98 
2015,11,27, Luminosity, 16, EnVyUs, 06, mirage, 26, 14, 1.49 
2015,11,26, fnatic, 16, Luminosity, 00, dust2, 05, 15, 0.31 
2015,11,22, Luminosity, 17, NatusVincere, 19, overpass, 27, 26, 1.05 
2015,11,22, Luminosity, 13, NatusVincere, 16, mirage, 21, 22, 1.10 
2015,11,20, Luminosity, 16, 3sUP, 13, train, 24, 21, 1.12 
2015,11,20, Luminosity, 16, 3sUP, 03, cobblestone, 16, 10, 1.30 
2015,11,20, Cloud9, 04, Luminosity, 16, inferno, 24, 09, 1.92 
2015,11,19, Luminosity, 12, Renegades, 16, dust2, 23, 19, 1.16 
2015,11,19, Luminosity, 12, Renegades, 16, train, 27, 22, 1.25 
2015,11,19, GamesAcademy, 13, Luminosity, 16, cache, 18, 18, 0.99 
2015,11,19, GamesAcademy, 07, Luminosity, 16, train, 29, 13, 1.71 
2015,11,19, Luminosity, 13, GamesAcademy, 16, dust2, 21, 22, 0.92 
2015,11,18, Luminosity, 11, Liquid, 16, dust2, 15, 18, 0.97 
2015,11,18, Luminosity, 19, Liquid, 17, overpass, 30, 27, 1.08 
2015,11,18, Liquid, 22, Luminosity, 19, inferno, 23, 32, 0.79 
2015,11,18, Luminosity, 16, Enemy, 03, train, 13, 11, 1.04 
2015,11,18, Enemy, 17, Luminosity, 19, mirage, 30, 27, 1.11 
2015,11,17, CLGRed, 03, Luminosity, 16, inferno, 21, 07, 1.77 
2015,11,17, Winterfox, 09, Luminosity, 16, mirage, 30, 18, 1.56 
2015,11,17, Luminosity, 16, Torqued, 07, mirage, 28, 17, 1.51 
2015,11,15, Luminosity, 07, Cloud9, 16, dust2, 11, 18, 0.65 
2015,11,15, Cloud9, 16, Luminosity, 09, cobblestone, 21, 21, 1.09 
2015,11,14, Renegades, 00, Luminosity, 16, cobblestone, 18, 09, 1.51 
2015,11,14, Luminosity, 16, Winterfox, 05, dust2, 23, 10, 1.62 
2015,11,13, Luminosity, 16, Liquid, 14, dust2, 27, 19, 1.40 
2015,11,13, Luminosity, 16, Cloud9, 13, overpass, 27, 20, 1.33 
2015,11,13, Liquid, 11, Luminosity, 16, cobblestone, 15, 18, 0.82 
2015,11,13, Luminosity, 16, compLexity, 12, inferno, 23, 19, 1.11 
2015,11,13, Luminosity, 16, Enemy, 12, train, 23, 23, 1.06 
2015,11,12, Luminosity, 16, Method, 05, mirage, 20, 12, 1.37 
2015,11,12, Method, 16, Luminosity, 14, cache, 31, 23, 1.34 
2015,11,12, Method, 08, Luminosity, 16, inferno, 24, 17, 1.39 
2015,11,12, Luminosity, 16, Winterfox, 05, dust2, 22, 15, 1.36 
2015,11,12, Luminosity, 16, Winterfox, 09, overpass, 23, 13, 1.42 
2015,11,11, CLG, 10, Luminosity, 16, cobblestone, 19, 19, 1.05 
2015,11,11, Luminosity, 16, Splyce, 12, cobblestone, 22, 17, 1.08 
2015,11,11, Splyce, 11, Luminosity, 16, train, 30, 19, 1.56 
2015,11,07, Luminosity, 14, Titan, 16, inferno, 25, 21, 1.13 
2015,11,07, Luminosity, 16, Titan, 11, cobblestone, 15, 21, 0.73 
2015,11,07, Titan, 16, Luminosity, 11, cache, 19, 22, 0.87 
2015,11,07, Luminosity, 07, mousesports, 16, mirage, 17, 19, 0.96 
2015,11,07, Luminosity, 12, mousesports, 16, dust2, 22, 19, 1.29 
2015,11,06, Titan, 10, Luminosity, 16, cobblestone, 22, 16, 1.33 
2015,11,06, Luminosity, 16, Titan, 06, cache, 24, 15, 1.49 
2015,11,05, Luminosity, 16, CLG, 04, cache, 21, 12, 1.52 
2015,11,05, Luminosity, 16, 3sUP, 04, inferno, 28, 09, 2.14 
2015,11,05, Liquid, 16, Luminosity, 06, cobblestone, 07, 20, 0.37 
2015,10,31, Luminosity, 13, NatusVincere, 16, overpass, 20, 23, 0.84 
2015,10,31, NatusVincere, 16, Luminosity, 14, dust2, 31, 24, 1.53 
2015,10,29, Luminosity, 16, fnatic, 13, inferno, 20, 20, 0.95 
2015,10,28, Luminosity, 16, Cloud9, 11, dust2, 12, 18, 0.75 
2015,10,25, Coastless, 17, Luminosity, 19, cache, 28, 31, 1.02 
2015,10,25, Enemy, 11, Luminosity, 16, dust2, 24, 16, 1.27 
2015,10,23, Method, 16, Luminosity, 05, dust2, 14, 19, 0.88 
2015,10,23, Luminosity, 16, Splyce, 10, mirage, 23, 15, 1.29 
2015,10,22, Winterfox, 16, Luminosity, 07, overpass, 08, 17, 0.53 
2015,10,16, Luminosity, 16, Method, 03, mirage, 22, 13, 1.53 
2015,10,16, Luminosity, 21, compLexity, 19, cache, 33, 30, 1.15 
2015,10,16, Luminosity, 09, Liquid, 16, overpass, 18, 18, 1.02 
2015,10,15, Cloud9, 16, Luminosity, 07, overpass, 12, 17, 0.67 
2015,10,15, Winterfox, 03, Luminosity, 16, train, 11, 14, 0.82 
2015,10,14, compLexity, 10, Luminosity, 16, cobblestone, 23, 17, 1.31 
2015,10,14, Luminosity, 16, Conquest, 11, mirage, 23, 18, 1.18 
2015,10,12, Luminosity, 14, Liquid, 16, dust2, 23, 18, 1.20 
2015,10,12, Luminosity, 13, Liquid, 16, overpass, 21, 16, 1.15 
2015,10,10, Luminosity, 16, GamesAcademy, 14, cache, 21, 22, 0.96 
2015,10,10, Luminosity, 16, GamesAcademy, 05, cobblestone, 19, 12, 1.30 
2015,10,06, Splyce, 04, Luminosity, 16, dust2, 22, 14, 1.51 
2015,10,06, Luminosity, 16, Splyce, 09, cobblestone, 22, 15, 1.39 
2015,10,05, Winterfox, 13, Luminosity, 16, inferno, 27, 22, 1.23 
2015,10,05, Luminosity, 16, Winterfox, 04, cache, 13, 11, 1.06 
2015,10,02, Conquest, 11, Luminosity, 16, train, 15, 21, 0.75 
2015,10,02, Cloud9, 16, Luminosity, 06, train, 15, 17, 0.94 
2015,10,01, compLexity, 16, Luminosity, 05, overpass, 14, 18, 0.81 
2015,09,30, Luminosity, 16, Coast, 07, dust2, 24, 13, 1.71 
2015,09,30, Luminosity, 16, Coast, 10, mirage, 19, 16, 1.26 
2015,09,29, Luminosity, 16, Conquest, 10, dust2, 29, 10, 1.77 
2015,09,29, Luminosity, 16, Conquest, 14, cobblestone, 23, 20, 1.09 
2015,09,25, Luminosity, 16, 3sUP, 04, inferno, 17, 10, 1.44 
2015,09,25, Luminosity, 16, ex-eLevate, 07, cache, 23, 13, 1.47 
