2016,05,20, Cloud9, 16, TSM, 04, dust2, 12, 12, 0.97 
2016,05,20, TSM, 10, Cloud9, 16, cobblestone, 12, 18, 0.68 
2016,05,20, Cloud9, 10, TSM, 16, inferno, 15, 17, 0.85 
2016,05,12, Liquid, 16, Cloud9, 10, cobblestone, 13, 19, 0.84 
2016,05,12, Cloud9, 16, Liquid, 19, dust2, 13, 27, 0.58 
2016,05,11, Cloud9, 10, fnatic, 16, inferno, 05, 18, 0.43 
2016,05,08, Cloud9, 11, TempoStorm, 16, cache, 13, 22, 0.60 
2016,05,08, TempoStorm, 19, Cloud9, 16, inferno, 18, 25, 0.78 
2016,05,08, Cloud9, 16, TempoStorm, 13, cobblestone, 11, 17, 0.73 
2016,05,07, CLG, 11, Cloud9, 16, dust2, 11, 15, 0.72 
2016,05,07, Cloud9, 12, CLG, 16, mirage, 10, 20, 0.55 
2016,05,07, CLG, 16, Cloud9, 19, cache, 22, 24, 1.05 
2016,05,07, Luminosity, 16, Cloud9, 03, mirage, 05, 16, 0.38 
2016,05,06, Cloud9, 16, CLG, 01, cobblestone, 16, 06, 1.52 
2016,05,03, Cloud9, 16, NRG, 07, dust2, 14, 13, 0.99 
2016,05,03, NRG, 04, Cloud9, 16, mirage, 13, 12, 1.04 
2016,05,03, Cloud9, 14, NRG, 16, cache, 18, 19, 0.94 
2016,04,30, Cloud9, 14, Luminosity, 16, mirage, 18, 23, 0.87 
2016,04,30, Cloud9, 07, Luminosity, 16, dust2, 09, 19, 0.59 
2016,04,29, WithoutaRoof, 02, Cloud9, 16, cache, 11, 08, 1.22 
2016,04,29, Cloud9, 16, WithoutaRoof, 05, dust2, 12, 06, 1.14 
2016,04,23, Cloud9, 16, OpTic, 08, dust2, 17, 14, 1.08 
2016,04,23, Cloud9, 05, OpTic, 16, cache, 09, 19, 0.46 
2016,04,23, Cloud9, 16, OpTic, 13, mirage, 13, 19, 0.84 
2016,04,19, compLexity, 11, WithoutaRoof, 16, mirage, 16, 20, 0.88 
2016,04,19, compLexity, 10, WithoutaRoof, 16, cache, 13, 15, 0.83 
2016,04,12, Vault, 16, KKona, 05, train, 13, 19, 0.65 
2016,04,12, Vault, 16, KKona, 10, cobblestone, 19, 21, 0.90 
2016,04,11, OpTic, 16, WithoutaRoof, 02, mirage, 07, 18, 0.32 
2016,04,11, OpTic, 16, WithoutaRoof, 08, cobblestone, 14, 20, 0.70 
2016,04,07, Obey.Alliance, 16, KKona, 09, overpass, 11, 17, 0.68 
2016,04,07, KKona, 06, Obey.Alliance, 16, cache, 14, 11, 0.99 
2016,04,07, Obey.Alliance, 05, EchoFox, 16, inferno, 16, 16, 0.97 
2016,04,07, EchoFox, 19, Obey.Alliance, 15, mirage, 20, 23, 0.91 
2016,03,25, KKona, 13, Obey.Alliance, 16, inferno, 18, 17, 1.00 
2016,03,25, Obey.Alliance, 16, KKona, 05, cache, 15, 16, 1.04 
2016,03,25, Obey.Alliance, 12, KKona, 16, overpass, 17, 21, 0.88 
2016,03,17, TempoStorm, 16, Obey.Alliance, 09, mirage, 10, 20, 0.54 
2016,03,17, TempoStorm, 16, Obey.Alliance, 08, inferno, 08, 21, 0.43 
2016,03,17, TempoStorm, 08, Obey.Alliance, 16, dust2, 18, 11, 1.29 
2016,02,26, Obey.Alliance, 16, VexX, 07, overpass, 13, 10, 1.08 
2016,02,26, Obey.Alliance, 16, VexX, 11, cache, 17, 20, 0.91 
