1351,344,14,20,0.82
1456,344,20,20,1.08
2713,467,13,18,0.75
2714,467,4,18,0.22
3053,467,13,11,1.11
3073,467,17,25,0.69
3814,467,11,17,0.56
3815,467,4,16,0.28
3851,467,10,21,0.48
3852,467,7,15,0.46
4400,467,22,22,0.97
4401,467,20,20,0.93
4402,467,11,19,0.66
4432,467,19,23,0.85
4433,467,12,13,0.91
4457,467,14,16,0.93
4476,467,20,17,1.10
4477,467,21,11,1.69
4539,467,12,18,0.79
4540,467,11,17,0.78
4597,467,17,19,0.89
4598,467,25,15,1.33
4850,467,11,16,0.66
4851,467,9,17,0.61
4940,467,5,19,0.30
4941,467,16,21,0.83
5048,467,13,19,0.75
5049,467,20,19,1.05
5156,467,20,19,0.98
5157,467,5,19,0.25
5286,467,8,19,0.40
5287,467,18,18,0.97
6994,344,9,19,0.56
6995,344,11,21,0.53
7017,344,23,12,1.58
7018,344,16,19,0.75
7021,344,23,13,1.30
8004,881,13,21,0.65
8214,881,12,19,0.64
8275,881,21,14,1.15
