2016,05,01, TempoStorm, 16, 0SK, 05, cache, 17, 08, 1.49 
2016,04,30, TempoStorm, 16, Virtus.pro, 11, mirage, 15, 16, 0.86 
2016,04,30, TempoStorm, 13, Virtus.pro, 16, cache, 16, 21, 0.73 
2016,04,30, Virtus.pro, 16, TempoStorm, 04, inferno, 10, 17, 0.60 
2016,04,30, TempoStorm, 16, Virtus.pro, 07, train, 17, 12, 1.11 
2016,04,30, TempoStorm, 16, Virtus.pro, 09, dust2, 12, 13, 0.91 
2016,04,29, dignitas, 14, TempoStorm, 16, cache, 17, 19, 0.81 
2016,04,29, TempoStorm, 12, dignitas, 16, cobblestone, 15, 20, 0.78 
2016,04,29, TempoStorm, 16, dignitas, 12, mirage, 22, 16, 1.15 
2016,04,28, 0SK, 06, TempoStorm, 16, cobblestone, 14, 11, 1.07 
2016,04,28, TempoStorm, 16, 0SK, 12, train, 20, 18, 1.05 
2016,04,14, TempoStorm, 14, EnVyUs, 16, inferno, 25, 21, 1.27 
2016,04,14, EnVyUs, 16, TempoStorm, 09, dust2, 14, 20, 0.82 
2016,04,13, Virtus.pro, 16, TempoStorm, 09, mirage, 14, 22, 0.64 
2016,04,12, EnVyUs, 14, TempoStorm, 16, cobblestone, 24, 17, 1.33 
2016,03,23, TempoStorm, 06, CLG, 16, overpass, 13, 20, 0.67 
2016,03,23, CLG, 16, TempoStorm, 11, cobblestone, 14, 21, 0.66 
2016,03,19, TempoStorm, 04, CLG, 16, train, 09, 19, 0.47 
2016,03,19, CLG, 16, TempoStorm, 07, mirage, 17, 17, 1.06 
2016,03,19, CLG, 10, TempoStorm, 16, cobblestone, 18, 16, 1.14 
2016,03,19, TempoStorm, 16, Renegades, 14, inferno, 23, 19, 1.11 
2016,03,19, TempoStorm, 16, Renegades, 09, cobblestone, 19, 18, 0.96 
2016,03,17, TempoStorm, 16, Obey.Alliance, 09, mirage, 24, 15, 1.36 
2016,03,17, TempoStorm, 16, Obey.Alliance, 08, inferno, 21, 12, 1.38 
2016,03,17, TempoStorm, 08, Obey.Alliance, 16, dust2, 09, 20, 0.47 
2016,03,15, TempoStorm, 16, BOTS, 02, dust2, 19, 09, 1.58 
2016,03,15, BOTS, 07, TempoStorm, 16, cobblestone, 18, 14, 1.15 
2016,03,11, TempoStorm, 16, 8Minded, 09, cobblestone, 15, 16, 0.98 
2016,03,11, TempoStorm, 16, 8Minded, 11, dust2, 09, 17, 0.62 
2016,03,04, TempoStorm, 13, NatusVincere, 16, mirage, 12, 23, 0.67 
2016,03,04, NatusVincere, 15, TempoStorm, 19, cobblestone, 15, 23, 0.70 
2016,03,04, TempoStorm, 10, NatusVincere, 16, overpass, 18, 22, 0.82 
2016,03,03, Astralis, 16, TempoStorm, 12, cache, 18, 21, 0.89 
2016,03,03, EnVyUs, 07, TempoStorm, 16, mirage, 23, 13, 1.54 
2016,03,03, Virtus.pro, 09, TempoStorm, 16, cobblestone, 22, 15, 1.25 
2016,03,03, FaZe, 19, TempoStorm, 16, dust2, 20, 25, 0.84 
2016,03,03, TempoStorm, 16, E-frag.net, 13, inferno, 28, 17, 1.32 
2016,02,28, TempoStorm, 05, FlipSid3, 16, train, 11, 18, 0.69 
2016,02,28, FlipSid3, 16, TempoStorm, 05, cache, 06, 19, 0.37 
