7790,926,8,20,0.44
7791,926,5,19,0.28
9211,59,17,21,0.89
9219,59,8,17,0.50
9271,59,17,15,1.04
9272,59,8,20,0.44
9291,59,18,20,0.90
13632,59,8,22,0.43
13633,59,10,20,0.54
14202,59,13,15,0.82
14214,1232,11,19,0.61
14326,59,15,20,0.87
14335,59,12,16,0.73
14356,59,9,18,0.67
15895,59,11,22,0.57
15896,59,11,20,0.59
15897,59,11,18,0.69
15923,59,26,18,1.26
15924,59,12,16,0.76
15951,59,12,17,0.74
15952,59,18,20,0.98
16048,59,18,24,0.76
16214,59,11,22,0.56
16216,59,10,17,0.60
16326,59,5,12,0.62
16444,59,18,22,0.90
16445,59,15,17,0.86
16446,59,13,18,0.78
