2016,06,28, Kinguin, 06, ENCE, 16, cobblestone, 15, 15, 0.93 
2016,06,28, Kinguin, 16, ENCE, 12, mirage, 27, 19, 1.42 
2016,06,28, ENCE, 16, Kinguin, 11, cache, 20, 19, 1.03 
2016,06,19, ENCE, 07, Immortals, 16, cobblestone, 15, 16, 0.94 
2016,06,19, ENCE, 14, Immortals, 16, mirage, 22, 21, 1.13 
2016,06,18, ENCE, 06, Astralis, 16, mirage, 09, 17, 0.58 
2016,06,05, ENCE, 16, Tricked, 06, dust2, 20, 08, 1.57 
2016,06,05, ENCE, 16, Tricked, 05, mirage, 22, 09, 1.51 
2016,06,05, Tricked, 16, ENCE, 10, train, 16, 18, 0.88 
2016,06,05, ENCE, 16, SpaceSoldiers, 09, dust2, 25, 14, 1.38 
2016,06,05, SpaceSoldiers, 19, ENCE, 17, mirage, 28, 21, 1.22 
2016,06,05, ENCE, 16, SpaceSoldiers, 13, cobblestone, 24, 19, 1.17 
2016,06,05, PENTA, 15, ENCE, 19, mirage, 31, 22, 1.27 
2016,06,05, ENCE, 16, PENTA, 06, cache, 26, 14, 1.94 
2016,06,05, ENCE, 16, CPHWolves, 14, dust2, 15, 20, 0.79 
2016,06,05, CPHWolves, 14, ENCE, 16, train, 21, 17, 1.02 
2016,06,02, Dobry&Gaming, 07, ENCE, 16, train, 21, 12, 1.38 
2016,06,02, Dobry&Gaming, 12, ENCE, 16, mirage, 30, 19, 1.63 
2016,06,02, Dobry&Gaming, 16, ENCE, 05, cache, 15, 16, 0.90 
2016,05,30, 0SK, 12, ENCE, 16, cobblestone, 19, 11, 1.23 
2016,05,30, ENCE, 16, 0SK, 04, mirage, 26, 07, 2.20 
2016,05,30, ENCE, 13, 0SK, 16, train, 24, 21, 1.22 
2016,05,29, ENCE, 12, AGG, 16, mirage, 22, 21, 1.01 
2016,05,29, AGG, 16, ENCE, 09, nuke, 11, 19, 0.63 
2016,05,29, ex-Deathtrap, 14, ENCE, 16, cache, 18, 21, 0.86 
2016,05,29, ENCE, 16, ex-Deathtrap, 06, mirage, 21, 12, 1.41 
2016,05,15, HellRaisers, 16, ENCE, 11, dust2, 18, 20, 0.96 
2016,05,15, HellRaisers, 16, ENCE, 03, mirage, 09, 18, 0.50 
2016,05,15, dignitas, 16, ENCE, 08, cobblestone, 16, 15, 1.01 
2016,05,15, ENCE, 11, dignitas, 16, train, 30, 16, 1.60 
2016,05,14, ENCE, 16, GODSENT, 13, mirage, 21, 25, 0.86 
2016,05,14, GODSENT, 16, ENCE, 06, cache, 17, 18, 0.90 
2016,05,14, ENCE, 16, GODSENT, 06, train, 17, 13, 1.22 
2016,05,14, ENCE, 09, HellRaisers, 16, dust2, 16, 17, 0.91 
2016,05,14, ENCE, 19, GODSENT, 17, mirage, 25, 22, 0.98 
2016,05,07, PENTA, 16, ENCE, 13, cobblestone, 18, 21, 0.94 
2016,05,07, PENTA, 16, ENCE, 06, cache, 12, 17, 0.67 
2016,05,03, ALTERNATEaTTaX, 11, ENCE, 16, dust2, 29, 16, 1.62 
2016,05,03, ALTERNATEaTTaX, 16, ENCE, 09, cache, 21, 19, 1.13 
2016,05,03, ALTERNATEaTTaX, 11, ENCE, 16, cobblestone, 24, 17, 1.24 
2016,05,01, ENCE, 16, AGG, 13, train, 30, 17, 1.56 
2016,05,01, ENCE, 09, AGG, 16, inferno, 19, 20, 0.91 
2016,05,01, ENCE, 16, AGG, 13, dust2, 16, 16, 0.99 
2016,05,01, ENCE, 16, Millenium, 03, dust2, 20, 11, 1.62 
2016,05,01, ENCE, 16, Millenium, 04, cache, 18, 07, 1.54 
2016,04,27, ENCE, 13, AGG, 16, cobblestone, 25, 22, 1.10 
2016,04,27, AGG, 20, ENCE, 22, mirage, 37, 28, 1.26 
2016,04,27, AGG, 10, ENCE, 16, dust2, 20, 19, 1.00 
2016,04,24, dignitas, 16, ENCE, 09, cache, 18, 18, 0.92 
2016,04,24, ENCE, 11, dignitas, 16, mirage, 22, 20, 1.06 
2016,04,24, ENCE, 16, Preparation, 07, cobblestone, 17, 14, 1.06 
2016,04,24, ENCE, 06, Preparation, 16, overpass, 14, 18, 0.92 
2016,04,24, Preparation, 09, ENCE, 16, cache, 21, 17, 1.08 
2016,04,23, ENCE, 21, CPHWolves, 18, dust2, 38, 21, 1.55 
2016,04,23, n0_0rg, 19, ENCE, 21, cache, 23, 25, 0.92 
2016,04,23, deadweight, 08, ENCE, 16, dust2, 23, 16, 1.39 
2016,04,23, ENCE, 16, ALTERNATEaTTaX, 09, cache, 17, 17, 0.95 
2016,04,20, Escape, 09, ENCE, 16, cache, 20, 16, 1.17 
2016,04,20, ENCE, 16, Escape, 08, inferno, 21, 15, 1.18 
2016,04,19, ENCE, 16, 0SK, 10, cobblestone, 18, 18, 0.96 
