30,67,27,18,1.60
31,67,14,18,0.89
32,67,16,19,0.88
46,67,31,21,1.46
47,67,9,18,0.50
123,67,18,34,0.57
124,67,12,16,0.87
298,20,14,15,0.92
299,20,20,22,0.81
300,20,14,8,1.17
329,20,18,7,1.57
330,20,20,20,0.95
331,20,17,16,0.99
821,29,25,30,0.90
822,29,14,24,0.60
1286,150,22,32,0.73
1287,150,17,21,0.80
1288,150,12,15,0.85
1454,150,5,14,0.46
1468,150,16,23,0.69
2025,150,17,20,0.93
2026,150,22,26,0.83
2027,150,8,19,0.46
2042,150,26,20,1.32
2043,150,17,18,0.98
2044,150,14,19,0.80
2084,150,22,24,0.93
2087,150,22,10,1.49
2095,150,14,19,0.75
2096,150,9,18,0.58
2099,150,24,22,1.14
2100,150,10,15,0.64
2419,150,15,19,0.96
2420,150,13,17,0.75
2449,150,13,18,0.73
2450,150,7,16,0.45
2500,150,29,27,1.02
2501,150,28,21,1.28
2502,150,14,5,1.57
2508,150,28,25,1.09
2509,150,24,13,1.43
2513,150,20,19,1.09
2526,150,12,22,0.59
2527,150,25,23,1.12
2528,150,24,16,1.37
2738,150,6,17,0.49
2739,150,19,16,1.08
2839,150,26,17,1.43
2840,150,20,17,1.01
2959,150,12,19,0.70
2960,150,21,17,1.15
2961,150,25,23,1.03
2978,150,18,15,1.08
2979,150,32,24,1.24
2997,150,5,17,0.25
3067,150,31,19,1.70
3068,150,15,21,0.80
3091,150,24,13,1.32
3092,150,18,19,0.90
3137,150,30,17,1.67
3138,150,22,28,0.80
3242,150,27,20,1.26
3243,150,30,16,1.59
3284,150,22,22,0.97
3289,150,25,18,1.50
3365,150,25,13,1.78
3366,150,20,4,1.74
3367,150,28,21,1.27
3415,150,18,18,1.08
3419,150,11,18,0.65
3481,150,23,23,0.99
3482,150,14,20,0.79
3523,150,27,16,1.52
3527,150,23,11,1.55
3692,150,17,20,0.87
3693,150,26,24,1.11
3713,150,25,24,1.02
3745,150,19,8,1.63
3922,537,30,29,1.03
3934,150,10,18,0.58
3935,150,34,19,1.56
3946,150,28,13,1.62
3947,150,21,16,1.22
3948,150,15,25,0.66
3965,150,11,19,0.63
3986,150,20,13,1.29
4314,150,19,11,1.34
4315,150,20,14,1.16
4380,150,40,30,1.36
4381,150,13,16,0.90
4388,150,12,19,0.63
4389,150,23,26,0.95
4390,150,18,20,0.98
4438,150,17,23,0.82
4441,150,13,20,0.67
4445,150,17,10,1.26
4446,150,22,14,1.35
4447,150,17,20,0.91
4498,150,23,23,1.08
4499,150,21,14,1.24
4530,150,14,17,0.89
4531,150,26,24,1.04
4559,150,21,15,1.43
4560,150,24,13,1.60
4915,150,17,19,0.99
4916,150,19,20,0.93
4917,150,26,19,1.35
4958,150,25,18,1.29
4959,150,15,16,0.94
4960,150,27,21,1.40
4982,150,32,15,1.82
5000,150,21,24,0.88
5038,150,14,13,1.01
5039,150,10,11,0.91
5041,150,19,18,1.05
5044,150,35,20,1.75
5144,150,25,8,2.21
5145,150,20,19,1.02
5152,150,12,16,0.75
5153,150,5,16,0.33
5154,150,16,13,1.14
5155,150,21,18,1.10
5173,150,22,11,1.56
5174,150,24,9,1.72
5292,150,10,17,0.59
5293,150,6,18,0.38
5321,150,20,20,0.97
5322,150,17,18,0.95
5339,150,18,13,1.17
5340,150,24,15,1.36
5356,150,14,8,1.31
5392,150,13,19,0.71
5393,150,14,18,0.81
5433,150,15,19,0.84
5434,150,8,18,0.46
5441,150,16,21,0.74
5442,150,19,22,0.82
5459,150,12,16,0.81
5460,150,15,18,0.85
5461,150,13,23,0.61
5504,150,12,17,0.74
5505,150,9,17,0.59
5506,150,21,17,1.15
5508,150,21,13,1.42
5509,150,24,19,1.14
5514,150,18,22,0.88
5515,150,12,18,0.66
5516,150,19,17,1.09
5932,20,18,10,1.51
5933,20,18,18,1.04
5934,20,28,17,1.45
5944,20,17,14,1.10
5945,20,14,17,0.78
5946,20,12,15,0.77
5988,20,21,13,1.28
5989,20,28,17,1.58
6077,150,25,16,1.41
6078,150,22,12,1.60
6079,150,35,20,1.75
6117,150,21,16,1.25
6118,150,23,8,1.68
6119,150,18,19,0.88
6120,150,16,19,0.85
6284,150,13,21,0.63
6285,150,14,20,0.74
6321,150,14,17,0.95
6322,150,14,20,0.71
6449,150,16,11,1.12
6450,150,30,22,1.27
6491,150,23,20,1.23
6492,150,17,12,1.18
6493,150,18,18,1.02
6502,150,27,9,1.88
6504,150,19,16,1.09
6508,150,24,7,1.97
6689,150,16,21,0.75
6690,150,22,20,1.22
6725,150,21,20,0.94
6726,150,14,18,0.91
6727,150,20,13,1.20
6987,150,17,15,1.05
6988,150,20,23,0.82
7067,150,22,20,1.11
7071,150,25,20,1.17
7206,150,13,13,0.93
7208,150,10,20,0.57
7214,150,14,21,0.70
7275,150,16,20,0.90
7276,150,7,21,0.35
7293,150,19,14,1.17
7295,150,21,8,1.85
7299,150,21,17,1.20
7345,150,21,21,0.98
7346,150,27,19,1.19
7347,150,23,27,0.96
7393,150,21,27,0.86
7394,150,9,19,0.43
7398,150,18,18,1.08
7444,150,13,21,0.62
7452,150,23,21,1.03
7469,150,31,9,2.40
7470,150,22,17,1.19
7592,150,8,18,0.43
7593,150,15,15,0.91
7597,150,28,17,1.61
7632,150,7,18,0.40
7635,150,18,13,1.18
7676,150,22,16,1.15
7749,150,18,18,1.22
7750,150,26,18,1.31
7751,150,14,18,0.79
7788,150,21,24,0.98
7797,150,20,22,0.92
7876,150,16,22,0.78
7879,150,21,16,1.15
7932,150,13,18,0.91
7933,150,22,19,1.16
7934,150,24,18,1.25
8040,150,18,20,0.95
8205,150,18,22,0.82
8206,150,20,24,0.82
8207,150,19,11,1.36
8211,150,26,23,1.28
8265,150,16,8,1.36
8266,150,20,9,1.57
8311,150,18,18,0.91
8425,280,15,16,0.94
8429,280,10,18,0.53
8537,150,22,12,1.56
8538,150,37,33,1.12
8714,150,18,16,0.99
8715,150,13,21,0.68
8718,150,24,7,2.03
8719,150,23,13,1.39
8766,150,16,20,0.76
8775,150,24,10,1.70
8824,150,21,11,1.44
8825,150,18,9,1.74
8970,150,19,21,0.85
8971,150,20,15,1.12
8978,150,18,16,1.12
8979,150,15,18,0.87
8980,150,28,30,0.95
9077,150,15,22,0.71
9078,150,33,12,1.99
9079,150,20,24,0.86
9082,150,28,14,1.60
9083,150,12,7,1.12
9121,150,19,6,1.70
9122,150,24,8,1.96
9168,150,20,17,1.03
9176,150,22,14,1.26
9177,150,12,19,0.64
9229,150,15,13,0.93
9230,150,16,18,0.90
9316,150,22,22,0.97
9317,150,17,23,0.74
9318,150,14,21,0.73
9319,150,21,22,0.88
9320,150,13,18,0.75
9374,150,15,12,1.14
9375,150,17,18,0.95
9441,150,19,18,1.04
9442,150,20,21,0.95
9443,150,22,20,1.16
9444,150,12,17,0.86
9445,150,31,19,1.53
9469,150,9,19,0.45
9470,150,22,19,1.07
9471,150,22,23,1.04
9498,150,27,21,1.23
9499,150,18,11,1.29
9501,150,19,18,1.04
9502,150,12,21,0.62
9559,150,14,8,1.22
9560,150,21,19,1.12
9561,150,15,10,1.20
9570,150,18,14,1.19
9571,150,9,16,0.63
9572,150,20,9,1.61
9649,150,24,13,1.60
9650,150,20,10,1.65
9664,150,20,7,1.73
9665,150,19,7,1.79
9702,150,21,8,1.61
9704,150,13,6,1.34
9796,150,13,14,0.86
9797,150,22,21,1.17
9834,150,23,17,1.14
9842,150,14,18,0.81
9843,150,19,13,1.22
9965,150,20,21,0.88
10000,150,24,23,1.03
10001,150,27,14,1.82
10002,150,23,20,1.09
10105,150,28,24,1.23
10106,150,22,20,1.04
10134,150,23,21,1.07
10452,150,18,19,1.02
10458,150,16,20,0.89
10460,150,29,22,1.33
10466,150,23,18,1.27
10471,150,22,19,1.09
10472,150,26,15,1.47
10485,150,26,21,1.16
10487,150,27,17,1.44
10571,150,12,18,0.77
10572,150,14,18,0.79
10579,150,29,18,1.57
10580,150,15,15,0.98
10581,150,24,11,1.70
10601,150,26,25,0.97
10602,150,20,18,1.09
10682,150,20,19,1.06
10688,150,18,16,1.00
10690,150,21,17,1.04
10715,150,14,18,0.81
10716,150,21,16,1.53
10726,150,24,15,1.43
10733,150,17,20,0.90
10749,150,16,16,0.87
10750,150,21,23,0.94
10835,150,9,5,1.14
10861,150,21,22,0.96
10891,150,20,15,1.22
10904,150,14,22,0.61
10941,150,11,16,0.73
10951,150,35,23,1.48
10952,150,20,15,1.21
10969,150,20,19,1.12
10973,150,22,22,1.03
10998,150,14,14,0.91
11063,150,23,8,1.91
11065,150,28,22,1.44
11086,150,17,9,1.48
11107,150,22,24,1.05
11139,150,37,33,1.06
11155,150,22,20,1.23
11198,150,24,21,1.22
11206,150,19,22,0.81
11208,150,27,26,1.09
11209,150,14,14,0.93
11240,150,21,21,0.92
11253,150,20,19,1.15
11318,150,28,17,1.35
11354,150,15,20,0.76
11355,150,22,18,1.19
11624,150,20,20,0.97
11629,150,28,16,1.44
11688,150,21,15,1.33
11728,150,22,8,1.77
11763,150,26,23,1.17
11764,150,17,21,0.76
11856,150,23,17,1.26
11857,150,14,20,0.77
11894,150,22,19,1.04
11895,150,22,17,1.21
11925,150,33,22,1.50
11930,150,21,17,1.10
12042,150,26,13,1.70
12045,150,22,19,1.06
12046,150,25,6,2.27
12072,150,29,14,1.61
12107,150,24,8,2.16
12109,150,20,18,1.16
12110,150,24,17,1.39
12130,150,26,14,1.43
12131,150,18,20,0.93
12421,150,18,20,0.93
12422,150,14,20,0.78
12438,150,19,15,1.08
12439,150,30,13,2.06
12458,150,17,20,0.94
12459,150,18,16,1.09
12465,1131,16,21,0.74
12493,150,20,26,0.80
12494,150,22,14,1.25
12495,150,26,20,1.17
12525,150,34,23,1.42
12526,150,28,19,1.39
12534,150,41,27,1.42
12535,150,24,17,1.29
12575,150,24,10,1.85
12808,150,17,18,1.17
12894,150,25,11,1.66
12930,150,27,12,1.73
12945,150,22,31,0.68
12996,150,21,19,1.03
13032,150,13,18,0.73
13034,150,18,21,0.90
13040,150,26,21,1.17
13071,150,18,16,1.13
13080,150,19,13,1.37
13143,150,31,15,1.70
13145,150,23,22,0.97
13200,150,15,19,0.76
13203,150,12,19,0.67
13207,150,18,21,0.82
13312,1049,9,16,0.63
13313,1049,19,20,1.03
13314,1049,10,17,0.71
13315,1049,26,21,1.19
13316,1049,40,28,1.43
13326,1049,24,15,1.36
13327,1049,28,18,1.55
13328,1049,29,27,1.05
13827,1196,24,16,1.26
14104,1196,34,16,1.87
14191,1196,22,23,1.03
14337,1196,9,18,0.57
14380,1196,27,17,1.57
