2016,07,30, fnatic, 08, Virtus.pro, 16, mirage, 13, 21, 0.60 
2016,07,30, Virtus.pro, 16, fnatic, 10, cobblestone, 17, 19, 0.92 
2016,07,29, NatusVincere, 14, fnatic, 16, train, 16, 19, 0.80 
2016,07,29, fnatic, 16, NatusVincere, 04, cobblestone, 16, 10, 1.16 
2016,07,21, EnVyUs, 07, fnatic, 16, dust2, 12, 10, 1.02 
2016,07,21, EnVyUs, 13, fnatic, 16, cobblestone, 21, 16, 1.13 
2016,07,09, Liquid, 16, fnatic, 13, cache, 23, 20, 1.20 
2016,07,09, fnatic, 13, Liquid, 16, cobblestone, 22, 19, 1.04 
2016,07,08, Gambit, 03, fnatic, 16, cache, 13, 03, 1.35 
2016,07,08, Gambit, 05, fnatic, 16, train, 23, 11, 1.83 
2016,07,07, fnatic, 16, FaZe, 07, mirage, 19, 11, 1.37 
2016,07,07, FaZe, 09, fnatic, 16, cache, 17, 14, 1.09 
2016,07,06, 0G2, 13, fnatic, 16, train, 22, 17, 1.25 
2016,07,05, FaZe, 16, fnatic, 14, dust2, 21, 18, 1.16 
2016,06,26, fnatic, 13, 0G2, 16, dust2, 15, 17, 0.85 
2016,06,26, fnatic, 02, 0G2, 16, overpass, 08, 16, 0.49 
2016,06,24, fnatic, 16, TSM, 14, cobblestone, 14, 17, 0.82 
2016,06,24, fnatic, 16, Cloud9, 13, dust2, 16, 19, 0.90 
2016,06,18, fnatic, 16, FaZe, 05, cobblestone, 14, 12, 1.04 
2016,06,18, fnatic, 16, FaZe, 12, cache, 18, 14, 1.05 
2016,06,16, TSM, 06, fnatic, 16, cobblestone, 17, 15, 1.20 
2016,06,16, TSM, 16, fnatic, 11, mirage, 17, 21, 0.86 
2016,06,16, fnatic, 16, TSM, 12, cache, 17, 14, 1.02 
2016,06,15, dignitas, 06, fnatic, 16, dust2, 14, 10, 1.16 
2016,06,15, fnatic, 16, dignitas, 09, cobblestone, 17, 13, 1.17 
2016,06,14, FaZe, 16, fnatic, 08, mirage, 06, 22, 0.28 
2016,06,14, FaZe, 00, fnatic, 16, cobblestone, 17, 05, 1.70 
2016,06,14, fnatic, 16, TSM, 03, mirage, 10, 13, 0.79 
2016,06,14, fnatic, 16, TSM, 13, cache, 16, 16, 0.93 
2016,05,26, mousesports, 17, fnatic, 19, dust2, 18, 21, 0.79 
2016,05,26, mousesports, 17, fnatic, 19, cobblestone, 22, 27, 0.83 
2016,05,25, fnatic, 16, NiP, 08, dust2, 20, 13, 1.31 
2016,05,25, fnatic, 16, NiP, 09, cache, 19, 14, 1.16 
2016,05,21, Astralis, 16, fnatic, 10, mirage, 09, 22, 0.48 
2016,05,21, fnatic, 09, Astralis, 16, cache, 08, 19, 0.51 
2016,05,19, mousesports, 05, fnatic, 16, train, 13, 10, 1.00 
2016,05,19, fnatic, 16, mousesports, 13, cache, 21, 17, 1.16 
2016,05,17, fnatic, 14, 0G2, 16, cache, 25, 20, 1.20 
2016,05,17, 0G2, 16, fnatic, 13, cobblestone, 20, 17, 1.07 
2016,05,14, 0G2, 16, fnatic, 12, train, 12, 20, 0.59 
2016,05,14, 0G2, 16, fnatic, 08, cache, 12, 20, 0.72 
2016,05,14, 0G2, 14, fnatic, 16, inferno, 16, 16, 0.96 
2016,05,12, Liquid, 13, fnatic, 16, mirage, 17, 20, 0.86 
2016,05,12, Liquid, 06, fnatic, 16, cache, 12, 11, 0.97 
2016,05,11, fnatic, 09, NiP, 16, train, 16, 19, 0.87 
2016,05,11, Cloud9, 10, fnatic, 16, inferno, 17, 13, 1.11 
2016,05,08, fnatic, 16, dignitas, 07, train, 24, 09, 1.70 
2016,05,08, dignitas, 11, fnatic, 16, cobblestone, 18, 19, 0.88 
2016,05,08, fnatic, 03, dignitas, 16, mirage, 13, 15, 0.96 
2016,05,04, fnatic, 07, NiP, 16, overpass, 22, 17, 1.31 
2016,05,04, fnatic, 11, NiP, 16, cobblestone, 17, 20, 0.87 
2016,05,03, fnatic, 16, EnVyUs, 14, cache, 14, 20, 0.74 
2016,05,03, EnVyUs, 08, fnatic, 16, mirage, 16, 15, 1.03 
2016,04,26, fnatic, 22, Astralis, 19, train, 29, 26, 1.10 
2016,04,26, Astralis, 16, fnatic, 05, overpass, 10, 18, 0.62 
2016,04,25, fnatic, 09, Virtus.pro, 16, cobblestone, 20, 18, 1.06 
2016,04,25, Virtus.pro, 14, fnatic, 16, train, 24, 19, 1.16 
2016,04,25, fnatic, 10, Virtus.pro, 16, overpass, 18, 16, 1.05 
2016,04,24, fnatic, 07, FaZe, 16, inferno, 09, 18, 0.55 
2016,04,24, FaZe, 13, fnatic, 16, cobblestone, 24, 16, 1.22 
2016,04,24, fnatic, 11, FaZe, 16, mirage, 12, 23, 0.54 
2016,04,20, FaZe, 16, fnatic, 10, inferno, 10, 19, 0.56 
2016,04,20, FaZe, 16, fnatic, 06, train, 10, 18, 0.55 
2016,04,19, fnatic, 13, NatusVincere, 16, cobblestone, 12, 17, 0.74 
2016,04,19, fnatic, 16, NatusVincere, 11, overpass, 12, 16, 0.77 
2016,04,01, fnatic, 05, Astralis, 16, cache, 04, 19, 0.26 
2016,04,01, Astralis, 16, fnatic, 10, overpass, 17, 19, 0.94 
2016,03,31, fnatic, 16, FaZe, 06, cobblestone, 19, 10, 1.40 
2016,03,31, fnatic, 16, FaZe, 10, mirage, 23, 15, 1.29 
2016,03,30, fnatic, 19, Liquid, 22, dust2, 28, 27, 1.00 
2016,03,29, Splyce, 05, fnatic, 16, train, 16, 09, 1.32 
2016,03,23, fnatic, 16, FlipSid3, 14, inferno, 18, 18, 1.00 
2016,03,23, FlipSid3, 13, fnatic, 16, overpass, 19, 15, 1.08 
2016,03,19, fnatic, 16, dignitas, 05, overpass, 16, 11, 1.16 
2016,03,19, dignitas, 06, fnatic, 16, train, 14, 13, 0.97 
2016,03,16, NiP, 10, fnatic, 16, inferno, 23, 12, 1.42 
2016,03,16, NiP, 16, fnatic, 06, cache, 11, 16, 0.69 
2016,03,13, mousesports, 19, fnatic, 17, dust2, 27, 24, 1.09 
2016,03,13, fnatic, 16, mousesports, 04, cache, 17, 13, 1.20 
2016,03,05, Luminosity, 15, fnatic, 19, inferno, 16, 24, 0.68 
2016,03,05, Luminosity, 03, fnatic, 16, cache, 13, 10, 1.11 
2016,03,05, Luminosity, 17, fnatic, 19, overpass, 17, 24, 0.75 
2016,03,04, fnatic, 16, Astralis, 07, inferno, 18, 12, 1.25 
2016,03,04, Astralis, 16, fnatic, 12, cache, 17, 17, 0.89 
2016,03,04, fnatic, 16, Astralis, 06, overpass, 12, 14, 0.86 
2016,03,04, Virtus.pro, 08, fnatic, 16, inferno, 17, 13, 1.09 
2016,03,04, fnatic, 16, Virtus.pro, 05, train, 20, 09, 1.57 
2016,03,02, mousesports, 17, fnatic, 19, dust2, 24, 21, 0.99 
2016,03,02, fnatic, 16, TheMongolz, 04, cache, 26, 08, 2.04 
2016,03,02, NiP, 14, fnatic, 16, inferno, 21, 17, 1.15 
2016,03,02, Luminosity, 16, fnatic, 12, inferno, 15, 18, 0.80 
2016,03,02, fnatic, 16, NatusVincere, 10, dust2, 22, 13, 1.34 
2016,02,25, fnatic, 16, Astralis, 12, train, 17, 15, 1.03 
2016,02,25, fnatic, 16, Astralis, 13, overpass, 18, 21, 0.82 
2016,02,25, Astralis, 02, fnatic, 16, cache, 14, 11, 1.13 
2016,02,24, fnatic, 16, 0SK, 06, cache, 11, 08, 1.04 
2016,02,24, 0SK, 11, fnatic, 16, overpass, 18, 18, 0.94 
2016,02,21, fnatic, 16, Astralis, 13, inferno, 14, 18, 0.83 
2016,02,21, Astralis, 14, fnatic, 16, dust2, 17, 19, 0.83 
2016,02,21, fnatic, 16, 0G2, 08, overpass, 11, 12, 0.84 
2016,02,21, 0G2, 07, fnatic, 16, inferno, 24, 11, 1.75 
2016,02,20, EnVyUs, 07, fnatic, 16, train, 18, 11, 1.28 
2016,02,20, fnatic, 19, dignitas, 17, cobblestone, 19, 28, 0.64 
2016,02,19, fnatic, 16, gBots, 13, inferno, 19, 15, 1.06 
2016,02,19, fnatic, 16, EnVyUs, 13, cobblestone, 15, 16, 0.92 
2016,02,19, EnVyUs, 16, fnatic, 10, train, 17, 22, 0.78 
2016,02,16, fnatic, 05, EnVyUs, 16, cache, 13, 15, 0.83 
2016,02,16, EnVyUs, 04, fnatic, 16, inferno, 13, 11, 0.97 
2016,02,15, fnatic, 16, 0G2, 07, inferno, 19, 10, 1.40 
2016,02,15, fnatic, 16, 0G2, 05, cobblestone, 17, 14, 1.09 
2016,02,11, Virtus.pro, 09, fnatic, 16, overpass, 20, 12, 1.26 
2016,02,11, Virtus.pro, 12, fnatic, 16, dust2, 13, 20, 0.64 
2016,01,17, NatusVincere, 07, fnatic, 16, cobblestone, 18, 11, 1.23 
2016,01,17, fnatic, 16, NatusVincere, 03, dust2, 11, 06, 1.19 
2016,01,16, Luminosity, 14, fnatic, 16, inferno, 24, 20, 1.02 
2016,01,16, fnatic, 16, Luminosity, 07, cache, 22, 10, 1.46 
2016,01,16, fnatic, 06, Luminosity, 16, mirage, 15, 17, 0.91 
2016,01,15, 0G2, 02, fnatic, 16, inferno, 17, 07, 1.48 
2016,01,15, fnatic, 16, 0G2, 08, cache, 17, 13, 1.11 
2016,01,14, fnatic, 16, 00?, 07, inferno, 18, 12, 1.27 
2016,01,14, fnatic, 08, 00?, 16, mirage, 17, 15, 0.99 
2016,01,14, 00?, 10, fnatic, 16, dust2, 17, 10, 1.25 
2016,01,14, ex-Titan, 04, fnatic, 16, dust2, 16, 07, 1.29 
2016,01,14, ex-Titan, 16, fnatic, 14, inferno, 10, 18, 0.62 
2016,01,14, ex-Titan, 10, fnatic, 16, cache, 15, 13, 0.98 
2016,01,14, EnVyUs, 16, fnatic, 07, train, 18, 18, 1.03 
2016,01,14, EnVyUs, 16, fnatic, 08, mirage, 13, 17, 0.79 
2015,12,13, fnatic, 16, NatusVincere, 06, cobblestone, 15, 11, 1.14 
2015,12,13, NatusVincere, 16, fnatic, 14, train, 22, 21, 0.97 
2015,12,13, NatusVincere, 16, fnatic, 06, mirage, 15, 18, 0.82 
2015,12,13, fnatic, 16, NatusVincere, 14, dust2, 09, 18, 0.58 
2015,12,13, NatusVincere, 14, fnatic, 16, inferno, 18, 16, 1.00 
2015,12,13, fnatic, 16, 00?, 14, mirage, 19, 20, 0.88 
2015,12,13, fnatic, 16, 00?, 12, inferno, 18, 19, 0.92 
2015,12,12, Liquid, 08, fnatic, 16, mirage, 22, 13, 1.36 
2015,12,12, fnatic, 16, Liquid, 14, cache, 23, 16, 1.14 
2015,12,11, fnatic, 06, EnVyUs, 16, inferno, 14, 16, 0.86 
2015,12,11, EnVyUs, 16, fnatic, 11, cobblestone, 24, 20, 1.13 
2015,12,10, fnatic, 16, Conquest, 10, inferno, 12, 16, 0.77 
2015,12,10, Conquest, 04, fnatic, 16, mirage, 22, 11, 1.75 
2015,12,06, NiP, 12, fnatic, 16, mirage, 17, 19, 0.96 
2015,12,06, NiP, 09, fnatic, 16, train, 19, 16, 1.07 
2015,12,06, fnatic, 09, NiP, 16, dust2, 10, 17, 0.62 
2015,12,06, 0SK, 05, fnatic, 16, inferno, 21, 11, 1.47 
2015,12,06, 0SK, 16, fnatic, 12, overpass, 25, 19, 1.44 
2015,12,06, fnatic, 16, 0SK, 06, mirage, 19, 11, 1.31 
2015,12,05, NiP, 16, fnatic, 12, cobblestone, 23, 18, 1.23 
2015,12,05, NiP, 14, fnatic, 16, inferno, 32, 18, 1.74 
2015,12,05, fnatic, 06, NiP, 16, cache, 20, 12, 1.29 
2015,12,04, fnatic, 16, 00?, 10, mirage, 16, 16, 0.94 
2015,12,04, 00?, 11, fnatic, 16, cache, 20, 18, 1.13 
