668,244,19,20,0.97
669,244,9,22,0.39
852,244,19,22,0.82
853,244,8,16,0.59
1111,244,32,14,1.94
1112,244,40,20,1.74
1113,244,21,15,1.26
1114,244,21,12,1.51
1433,244,7,16,0.42
1434,244,9,19,0.49
1847,244,13,20,0.71
1848,244,6,21,0.31
1849,244,10,18,0.55
1850,244,16,12,1.22
1866,244,27,25,1.13
1867,244,21,21,1.10
1938,244,20,22,1.05
1939,244,23,22,1.05
2417,244,17,23,0.82
2418,244,13,20,0.60
2489,244,23,23,0.99
2490,244,23,15,1.35
3452,244,16,18,0.92
3453,244,13,21,0.65
3503,244,19,19,1.12
3512,244,14,20,0.79
3520,244,14,16,0.83
3521,244,12,20,0.64
3522,244,18,12,1.31
3690,244,22,17,1.22
3691,244,23,14,1.36
3793,244,13,12,1.01
3794,244,33,22,1.44
3925,244,9,13,0.77
3926,244,21,22,0.96
