39,75,22,22,1.05
432,75,10,18,0.53
433,75,12,15,0.89
477,75,11,19,0.58
478,75,14,21,0.71
595,75,16,18,0.88
794,75,19,22,0.92
795,75,14,26,0.56
850,75,15,24,0.66
851,75,20,18,1.02
900,75,14,20,0.82
901,75,16,23,0.69
950,75,14,11,1.02
951,75,23,16,1.34
983,75,7,18,0.43
984,75,17,24,0.73
1092,75,24,17,1.22
1093,75,18,24,0.78
1171,75,10,23,0.51
1172,75,12,17,0.80
1189,75,17,12,1.10
1190,75,17,20,1.01
1270,75,9,23,0.46
1271,75,10,20,0.49
1275,75,21,18,1.16
1276,75,25,26,1.09
1299,75,17,20,0.91
1338,75,16,20,0.81
1339,75,16,20,0.81
1340,75,24,21,1.24
1352,75,30,32,1.01
1353,75,27,26,1.03
1354,75,16,11,1.15
1355,75,14,20,0.72
1448,75,16,18,0.89
1449,75,19,20,0.95
1487,75,3,17,0.25
1488,75,16,23,0.79
1496,75,24,19,1.26
1601,75,22,21,1.03
1602,75,9,20,0.48
1609,75,25,21,1.16
1610,75,8,18,0.43
1611,75,16,14,1.18
1634,75,17,18,0.96
1635,75,14,18,0.93
1658,75,17,22,0.81
1921,75,24,17,1.17
1922,75,28,24,1.23
2006,75,15,17,0.81
2007,75,10,18,0.53
2008,75,15,13,0.96
2011,75,19,16,1.10
2012,75,30,21,1.45
2013,75,22,8,1.65
2085,75,5,22,0.29
2086,75,3,18,0.17
2097,75,24,14,1.37
2098,75,19,18,0.98
2113,75,12,22,0.57
2114,75,20,19,1.09
2117,75,18,22,0.85
2118,75,20,21,0.88
2137,75,23,14,1.43
2138,75,21,20,1.04
2259,75,14,19,0.75
2261,75,16,18,0.83
2370,75,19,25,0.77
2376,75,17,20,0.84
2383,75,8,17,0.56
2399,75,17,16,1.04
2423,75,15,18,0.82
2424,75,10,20,0.52
2427,75,14,18,0.77
2428,75,8,20,0.44
2711,75,8,17,0.61
2712,75,12,21,0.62
4005,75,9,19,0.46
4006,75,13,20,0.68
4007,75,26,20,1.23
4460,52,30,29,1.01
4774,52,13,18,0.78
5198,52,14,4,1.59
5199,52,24,19,1.16
5200,52,19,18,1.00
5813,52,18,18,1.05
5814,52,24,22,1.14
5895,753,15,12,1.01
5896,753,25,21,1.20
5993,753,16,19,0.80
5994,753,24,18,1.24
5995,753,17,21,0.79
6004,753,9,11,0.77
6005,753,18,10,1.46
6082,753,21,16,1.30
6094,753,26,18,1.25
6107,753,10,17,0.66
8235,474,17,19,0.93
8236,474,10,11,0.79
8923,872,23,18,1.24
8924,872,10,22,0.49
8925,872,14,18,0.87
8934,981,14,24,0.56
8935,981,6,21,0.29
8999,981,23,17,1.32
9000,981,8,18,0.46
9487,981,7,16,0.56
9488,981,23,16,1.28
9489,981,19,18,0.89
10151,415,14,13,1.00
10152,415,16,22,0.86
10164,415,14,11,1.07
10165,415,10,19,0.58
10373,415,15,9,1.49
10374,415,16,18,0.85
10426,415,12,10,0.97
10427,415,23,14,1.38
13877,980,18,25,0.83
13951,980,17,25,0.74
13976,980,31,15,1.85
14118,980,18,5,1.97
14122,980,10,19,0.61
14241,980,18,13,1.18
15060,1268,16,20,0.89
