2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,197,MK,2,+4 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,198,MK,4,+1 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,199,ALTERNATEaTTaX,2,+2 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,200,MK,4,+1 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,201,ALTERNATEaTTaX,4,+2 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,202,MK,6,-1 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,203,ALTERNATEaTTaX,3,-1 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,204,MK,4,0 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,205,ALTERNATEaTTaX,2,-5 
2016,07,31,18:00,100,49,7,471,16,11,7,8,9,3,206,ALTERNATEaTTaX,1,-3 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,407,TSM,2,+1 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,408,Kaliber,0,+2 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,409,TSM,4,+3 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,410,TSM,3,0 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,411,Kaliber,3,-2 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,412,TSM,5,0 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,413,TSM,5,-3 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,414,Kaliber,4,+1 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,415,Kaliber,3,-4 
2016,05,24,22:15,270,114,1,563,16,11,6,9,10,2,416,Kaliber,2,+2 
2016,03,13,13:00,22,604,7,625,16,7,9,6,7,1,605,dignitas,4,+2 
2016,03,13,13:00,22,604,7,625,16,7,9,6,7,1,606,dignitas,2,+2 
2016,03,13,13:00,22,604,7,625,16,7,9,6,7,1,607,dignitas,6,0 
2016,03,13,13:00,22,604,7,625,16,7,9,6,7,1,608,dignitas,4,-4 
