2016,03,13, Ancient, 07, FlipSid3, 16, mirage, 10, 16, 0.61 
2016,03,13, Ancient, 09, FlipSid3, 16, overpass, 16, 21, 0.78 
2016,03,13, FlipSid3, 12, Ancient, 16, inferno, 18, 18, 0.89 
2016,03,13, 0SK, 17, Ancient, 19, mirage, 28, 25, 1.08 
2016,03,13, Ancient, 11, 0SK, 16, overpass, 16, 20, 0.77 
2016,03,13, 0SK, 13, Ancient, 16, train, 27, 18, 1.41 
2016,03,12, Orbit, 11, Ancient, 16, mirage, 12, 17, 0.76 
2016,03,10, Ancient, 16, 0SK, 14, overpass, 21, 22, 0.94 
2016,03,10, E-frag.net, 08, Ancient, 16, inferno, 24, 16, 1.35 
2016,02,28, Ancient, 16, Orgless, 11, inferno, 22, 14, 1.22 
2016,02,28, Ancient, 16, Orgless, 06, overpass, 19, 10, 1.56 
2016,02,28, ALTERNATEaTTaX, 03, Ancient, 16, cobblestone, 12, 10, 1.16 
2016,02,28, ALTERNATEaTTaX, 05, Ancient, 16, overpass, 19, 11, 1.28 
2016,02,27, ENCE, 14, Ancient, 16, train, 17, 22, 0.79 
2016,02,27, ALAMIX, 06, Ancient, 16, inferno, 11, 11, 0.88 
2016,02,27, Ancient, 01, Preparation, 16, cobblestone, 07, 15, 0.51 
2016,02,19, KoNSweden, 21, KoNDenmark, 19, inferno, 41, 29, 1.39 
2016,02,19, KoNNorway, 14, KoNSweden, 16, dust2, 21, 22, 0.90 
2015,12,18, OnlineBOTS, 17, PiTER, 19, dust2, 23, 26, 0.87 
2015,12,18, PiTER, 16, OnlineBOTS, 07, mirage, 17, 20, 0.80 
2015,12,16, AlienTech, 16, DEEZNUTS, 10, train, 18, 18, 0.94 
2015,12,16, DEEZNUTS, 11, AlienTech, 16, cache, 20, 19, 1.10 
2015,12,15, DEEZNUTS, 16, 0YP, 09, cobblestone, 16, 16, 1.08 
2015,12,15, DEEZNUTS, 14, 0YP, 16, mirage, 25, 21, 1.25 
2015,12,15, 0YP, 14, DEEZNUTS, 16, cache, 14, 25, 0.62 
2015,12,14, k1ck, 16, Publiclir.se, 14, cobblestone, 20, 21, 0.90 
2015,12,04, NoProblem!, 16, OnlineBOTS, 10, cache, 22, 21, 1.00 
2015,12,04, NoProblem!, 16, OnlineBOTS, 03, train, 10, 17, 0.65 
2015,12,04, NoProblem!, 14, OnlineBOTS, 16, overpass, 23, 17, 1.21 
2015,11,30, Publiclir.se, 14, Torpedo, 16, overpass, 18, 22, 0.80 
2015,11,30, Torpedo, 16, Publiclir.se, 13, mirage, 24, 20, 1.28 
2015,11,30, Publiclir.se, 16, Torpedo, 13, cache, 18, 18, 0.93 
2015,11,22, OnlineBOTS, 10, Publiclir.se, 16, inferno, 25, 15, 1.53 
2015,11,22, OnlineBOTS, 14, Publiclir.se, 16, cache, 15, 22, 0.73 
2015,11,22, Publiclir.se, 16, RCTIC, 19, cobblestone, 31, 24, 1.25 
2015,11,22, Publiclir.se, 16, RCTIC, 12, train, 26, 16, 1.31 
2015,11,22, RCTIC, 16, Publiclir.se, 08, mirage, 11, 19, 0.65 
2015,11,21, FTW.PRO, 04, Publiclir.se, 16, cache, 20, 06, 1.67 
2015,11,21, Publiclir.se, 16, FTW.PRO, 08, mirage, 22, 11, 1.50 
2015,11,20, Publiclir.se, 16, OnlineBOTS, 10, cache, 21, 14, 1.32 
2015,11,20, Publiclir.se, 16, FTW.EvoPrinfor, 00, cache, 11, 07, 1.14 
2015,11,20, Publiclir.se, 16, LECARTEL, 04, mirage, 22, 11, 1.63 
2015,11,12, EpiphanyBolt, 08, Publiclir.se, 16, mirage, 22, 13, 1.45 
2015,11,05, Publiclir.se, 08, Epsilon, 16, mirage, 21, 18, 1.13 
2015,11,05, Publiclir.se, 10, Epsilon, 16, train, 14, 19, 0.76 
2015,11,05, Epsilon, 05, Publiclir.se, 16, cache, 18, 10, 1.34 
2015,11,05, Epsilon, 08, Publiclir.se, 16, mirage, 18, 15, 1.17 
2015,11,04, Publiclir.se, 16, BX3, 09, cache, 21, 17, 1.15 
2015,11,04, BX3, 13, Publiclir.se, 16, inferno, 17, 17, 0.89 
2015,11,01, Publiclir.se, 06, MIXCAT, 16, inferno, 12, 17, 0.72 
2015,11,01, MIXCAT, 11, Publiclir.se, 16, cobblestone, 15, 17, 0.90 
2015,11,01, Publiclir.se, 13, MIXCAT, 16, mirage, 18, 21, 0.78 
2015,11,01, Publiclir.se, 08, MIXCAT, 16, cache, 20, 19, 1.20 
2015,10,31, Publiclir.se, 16, RCTIC, 13, mirage, 23, 22, 1.02 
2015,10,31, Publiclir.se, 16, RCTIC, 09, cobblestone, 30, 19, 1.59 
2015,10,30, Publiclir.se, 16, HS.GG, 12, overpass, 20, 20, 1.00 
2015,10,30, HS.GG, 16, Publiclir.se, 07, cobblestone, 16, 17, 0.95 
2015,10,30, Publiclir.se, 16, HS.GG, 06, mirage, 18, 15, 1.10 
2015,10,21, Reaction, 01, Publiclir.se, 16, cache, 17, 08, 1.44 
2015,10,20, stfuNerd, 17, NoProblem!, 21, mirage, 36, 26, 1.35 
2015,10,02, ESC, 02, NoProblem!, 16, overpass, 10, 18, 0.50 
2015,10,02, NoProblem!, 14, ESC, 16, cache, 25, 17, 1.22 
2015,10,02, ESC, 11, NoProblem!, 16, mirage, 21, 19, 1.08 
2015,10,02, ESC, 16, WorstPlayers, 04, train, 18, 11, 1.35 
2015,10,02, ESC, 16, WorstPlayers, 19, mirage, 28, 22, 1.19 
2015,10,02, WorstPlayers, 14, ESC, 16, cache, 19, 21, 0.91 
2015,09,28, Publiclir.se, 03, LDLCWhite, 16, cobblestone, 08, 16, 0.57 
2015,09,28, LDLCWhite, 14, Publiclir.se, 16, cache, 22, 22, 1.02 
2015,09,28, LDLCWhite, 16, Publiclir.se, 06, inferno, 11, 19, 0.63 
2015,09,22, Publiclir.se, 14, LANDODGERS, 16, mirage, 25, 21, 1.19 
2015,09,22, Publiclir.se, 04, CSGOEvoWhite, 16, cobblestone, 09, 17, 0.59 
2015,09,22, CSGOEvoWhite, 14, Publiclir.se, 16, mirage, 16, 21, 0.73 
2015,09,22, CSGOEvoWhite, 16, Publiclir.se, 01, cache, 06, 16, 0.41 
2015,09,21, Publiclir.se, 16, Planetkey, 05, mirage, 11, 09, 0.96 
2015,09,21, Planetkey, 10, Publiclir.se, 16, cache, 27, 13, 1.57 
2015,09,14, Publiclir.se, 16, Phenomenon, 19, cache, 28, 21, 1.23 
2015,08,25, TSK, 07, nerdRage, 16, cache, 19, 18, 1.09 
2015,08,25, TSK, 16, nerdRage, 04, mirage, 20, 09, 1.52 
2015,08,25, TSK, 16, myKPV, 14, mirage, 17, 19, 0.91 
2015,08,25, nerdRage, 16, TSK, 04, dust2, 08, 18, 0.42 
2015,08,25, nerdRage, 16, TSK, 06, cache, 12, 19, 0.70 
2015,08,24, myKPV, 14, TSK, 16, mirage, 18, 21, 0.94 
2015,08,24, myKPV, 09, TSK, 16, cache, 16, 18, 0.81 
