BO_3, 2016,08,06, Epsilon, SpaceSoldiers, Epsilon.rm.dust2; SpaceSoldiers.rm.nuke; Epsilon.pk.cache; SpaceSoldiers.pk.cbble; Epsilon.rm.train; SpaceSoldiers.rm.overpass 
BO_3, 2016,08,06, Epsilon, ENCE, Epsilon.rm.train; ENCE.rm.overpass; Epsilon.pk.nuke; ENCE.pk.dust2; Epsilon.rm.cache; ENCE.rm.mirage 
BO_3, 2016,08,05, Escape, Epsilon, Escape.rm.train; Epsilon.rm.cbble; Escape.pk.dust2; Epsilon.pk.nuke; Escape.rm.overpass; Epsilon.rm.cache 
BO_1, 2016,08,05, LGR, Epsilon, LGR.rm.overpass; Epsilon.rm.dust2; LGR.rm.mirage; Epsilon.rm.train; LGR.rm.nuke; Epsilon.rm.cbble 
BO_1, 2016,08,05, Millenium, Epsilon, Millenium.rm.cbble; Epsilon.rm.train; Millenium.rm.nuke; Epsilon.rm.dust2; Millenium.rm.overpass; Epsilon.rm.cache 
BO_3, 2016,07,30, fnatic, Virtus.pro, fnatic.rm.nuke; Virtus.pro.rm.dust2; fnatic.pk.cbble; Virtus.pro.pk.mirage; fnatic.rm.overpass; Virtus.pro.rm.cache 
BO_3, 2016,07,30, FlipSid3, Aperture, FlipSid3.rm.overpass; Aperture.rm.mirage; FlipSid3.rm.nuke; Aperture.rm.dust2; FlipSid3.pk.cache; Aperture.pk.train 
BO_3, 2016,07,30, Virtus.pro, mousesports, Virtus.pro.rm.dust2; mousesports.rm.nuke; Virtus.pro.pk.train; mousesports.pk.cache; Virtus.pro.rm.overpass; mousesports.rm.cbble 
BO_3, 2016,07,29, fnatic, NatusVincere, fnatic.rm.nuke; NatusVincere.rm.cache; fnatic.pk.cbble; NatusVincere.pk.train; fnatic.rm.overpass; NatusVincere.rm.mirage 
BO_5, 2016,07,24, X, Epsilon, X.rm.cache; Epsilon.rm.overpass; X.pk.train; Epsilon.pk.dust2; X.pk.cbble; Epsilon.pk.mirage 
BO_3, 2016,07,23, NiP, Virtus.pro, NiP.rm.mirage; Virtus.pro.rm.nuke; NiP.pk.dust2; Virtus.pro.pk.cbble; NiP.rm.overpass; Virtus.pro.rm.cache 
BO_3, 2016,07,22, Astralis, mousesports, Astralis.rm.nuke; mousesports.rm.overpass; Astralis.pk.mirage; mousesports.pk.dust2; Astralis.rm.cbble; mousesports.rm.train 
BO_3, 2016,07,22, VG.CyberZen, Epsilon, VG.CyberZen.rm.mirage; Epsilon.rm.train; VG.CyberZen.rm.dust2; Epsilon.rm.cbble; VG.CyberZen.pk.cache; Epsilon.pk.overpass 
BO_1, 2016,07,22, BornOfFire, Epsilon, BornOfFire.rm.mirage; Epsilon.rm.train; BornOfFire.rm.overpass; Epsilon.rm.cbble; BornOfFire.rm.nuke; Epsilon.rm.cache 
BO_1, 2016,07,22, TyLoo, Epsilon, TyLoo.rm.nuke; Epsilon.rm.cache; TyLoo.rm.overpass; Epsilon.rm.train; TyLoo.rm.dust2; Epsilon.rm.cbble 
BO_3, 2016,07,21, NatusVincere, Cloud9, NatusVincere.rm.cache; Cloud9.rm.nuke; NatusVincere.pk.overpass; Cloud9.pk.dust2; NatusVincere.rm.mirage; Cloud9.rm.train 
BO_3, 2016,07,21, EnVyUs, fnatic, EnVyUs.rm.overpass; fnatic.rm.nuke; EnVyUs.pk.cbble; fnatic.pk.dust2; EnVyUs.rm.train; fnatic.rm.mirage 
BO_3, 2016,07,16, FaZe, mousesports, FaZe.rm.cbble; mousesports.rm.mirage; FaZe.pk.train; mousesports.pk.dust2; FaZe.rm.nuke; mousesports.rm.overpass 
BO_3, 2016,07,15, Renegades, Virtus.pro, Renegades.rm.overpass; Virtus.pro.rm.nuke; Renegades.pk.cbble; Virtus.pro.pk.mirage; Renegades.rm.cache; Virtus.pro.rm.dust2 
BO_3, 2016,07,15, FaZe, CLG, FaZe.rm.nuke; CLG.rm.train; FaZe.pk.mirage; CLG.pk.cbble; FaZe.rm.overpass; CLG.rm.cache 
BO_3, 2016,07,14, G2, mousesports, G2.rm.mirage; mousesports.rm.nuke; G2.pk.dust2; mousesports.pk.cache; G2.rm.cbble; mousesports.rm.train 
BO_3, 2016,07,13, Gambit, Virtus.pro, Gambit.rm.overpass; Virtus.pro.rm.nuke; Gambit.pk.dust2; Virtus.pro.pk.mirage; Gambit.rm.cbble; Virtus.pro.rm.cache 
BO_3, 2016,07,13, Renegades, FlipSid3, Renegades.rm.overpass; FlipSid3.rm.dust2; Renegades.pk.cbble; FlipSid3.pk.train; Renegades.rm.cache; FlipSid3.rm.mirage 
BO_3, 2016,07,10, SK, Liquid, SK.rm.cache; Liquid.rm.overpass; SK.pk.train; Liquid.pk.cbble; none; none 
BO_3, 2016,07,09, Liquid, fnatic, Liquid.rm.overpass; fnatic.rm.nuke; Liquid.pk.cbble; fnatic.pk.cache; none; none 
BO_3, 2016,07,09, SK, Virtus.pro, SK.rm.cache; Virtus.pro.rm.overpass; SK.pk.cbble; Virtus.pro.pk.nuke; none; none 
BO_3, 2016,07,08, Gambit, fnatic, Gambit.rm.overpass; fnatic.rm.nuke; Gambit.pk.train; fnatic.pk.cache; none; none 
BO_3, 2016,07,08, NatusVincere, Liquid, NatusVincere.rm.cache; Liquid.rm.overpass; NatusVincere.pk.train; Liquid.pk.nuke; none; none 
BO_3, 2016,07,08, SK, FlipSid3, SK.rm.cache; FlipSid3.rm.dust2; SK.pk.mirage; FlipSid3.pk.nuke; none; none 
BO_3, 2016,07,08, Astralis, Virtus.pro, Astralis.rm.nuke; Virtus.pro.rm.dust2; Astralis.pk.overpass; Virtus.pro.pk.train; none; none 
BO_3, 2016,07,07, fnatic, FaZe, fnatic.rm.nuke; FaZe.rm.cbble; fnatic.pk.cache; FaZe.pk.mirage; none; none 
BO_3, 2016,07,07, Liquid, mousesports, Liquid.rm.cache; mousesports.rm.nuke; Liquid.pk.cbble; mousesports.pk.mirage; none; none 
BO_3, 2016,07,07, FlipSid3, NiP, FlipSid3.rm.dust2; NiP.rm.train; FlipSid3.pk.overpass; NiP.pk.cache; none; none 
BO_3, 2016,07,07, dignitas, Astralis, dignitas.rm.train; Astralis.rm.nuke; dignitas.pk.cbble; Astralis.pk.mirage; none; none 
BO_1, 2016,07,06, fnatic, G2, fnatic.rm.overpass; G2.rm.mirage; fnatic.rm.nuke; G2.rm.cbble; fnatic.rm.dust2; none 
BO_1, 2016,07,06, SK, FaZe, SK.rm.cache; FaZe.rm.overpass; SK.rm.dust2; FaZe.rm.nuke; SK.rm.mirage; none 
BO_1, 2016,07,06, mousesports, EnVyUs, mousesports.rm.cbble; EnVyUs.rm.overpass; mousesports.rm.mirage; EnVyUs.rm.cache; mousesports.rm.nuke; none 
BO_1, 2016,07,06, Liquid, Virtus.pro, Liquid.rm.mirage; Virtus.pro.rm.dust2; Liquid.rm.overpass; Virtus.pro.rm.nuke; Liquid.rm.train; none 
BO_1, 2016,07,06, OpTic, FlipSid3, OpTic.rm.overpass; FlipSid3.rm.dust2; OpTic.rm.mirage; FlipSid3.rm.cbble; OpTic.rm.nuke; none 
BO_1, 2016,07,06, NatusVincere, NiP, NatusVincere.rm.cache; NiP.rm.overpass; NatusVincere.rm.nuke; NiP.rm.train; NatusVincere.rm.dust2; none 
BO_1, 2016,07,06, CLG, dignitas, CLG.rm.overpass; dignitas.rm.train; CLG.rm.nuke; dignitas.rm.dust2; CLG.rm.cache; none 
BO_1, 2016,07,06, Astralis, Gambit, Astralis.rm.cbble; Gambit.rm.overpass; Astralis.rm.nuke; Gambit.rm.mirage; Astralis.rm.cache; none 
BO_1, 2016,07,05, fnatic, FaZe, fnatic.rm.mirage; FaZe.rm.cbble; fnatic.rm.nuke; FaZe.rm.train; fnatic.rm.overpass; none 
BO_1, 2016,07,05, SK, G2, SK.rm.cache; G2.rm.mirage; SK.rm.overpass; G2.rm.train; SK.rm.nuke; none 
BO_1, 2016,07,05, mousesports, Virtus.pro, mousesports.rm.overpass; Virtus.pro.rm.cache; mousesports.rm.cbble; Virtus.pro.rm.dust2; mousesports.rm.nuke; none 
BO_1, 2016,07,05, Liquid, EnVyUs, Liquid.rm.dust2; EnVyUs.rm.cbble; Liquid.rm.cache; EnVyUs.rm.overpass; Liquid.rm.mirage; none 
