2016,04,24, deadweight, 16, GODSENT, 14, mirage, 20, 19, 1.01 
2016,04,20, PiTER, 13, GODSENT, 16, mirage, 14, 20, 0.70 
2016,04,20, PiTER, 01, GODSENT, 16, inferno, 16, 06, 1.55 
2016,04,17, GODSENT, 10, NiP, 16, mirage, 17, 19, 0.86 
2016,04,17, GODSENT, 19, NiP, 16, train, 23, 20, 1.08 
2016,04,17, GODSENT, 14, NiP, 16, cobblestone, 17, 21, 0.89 
2016,04,16, mousesports, 13, GODSENT, 16, mirage, 18, 19, 0.92 
2016,04,16, GODSENT, 16, mousesports, 10, inferno, 16, 14, 1.02 
2016,04,16, mousesports, 16, GODSENT, 07, cache, 09, 20, 0.46 
2016,04,14, GODSENT, 16, CLG, 08, cache, 15, 15, 0.95 
2016,04,14, CLG, 16, GODSENT, 19, overpass, 25, 23, 1.08 
2016,04,13, GODSENT, 16, 0G2, 08, train, 19, 15, 1.16 
2016,04,12, NatusVincere, 16, GODSENT, 11, train, 17, 20, 0.84 
2016,04,07, GODSENT, 05, SpaceSoldiers, 16, cobblestone, 11, 17, 0.70 
2016,04,07, GODSENT, 10, SpaceSoldiers, 16, mirage, 19, 22, 0.87 
2016,03,28, Ancient, 08, CSGL, 16, cobblestone, 10, 17, 0.68 
2016,03,28, Ancient, 16, CSGL, 19, mirage, 31, 22, 1.29 
2016,03,27, Ancient, 16, eXplosive, 06, inferno, 13, 14, 0.87 
2016,03,27, Ancient, 16, eXplosive, 05, mirage, 14, 13, 0.90 
2016,03,27, Iwku, 05, Ancient, 16, cobblestone, 15, 13, 1.16 
2016,03,22, HellRaisers, 16, Ancient, 09, inferno, 15, 18, 0.80 
2016,03,22, HellRaisers, 16, Ancient, 05, cobblestone, 14, 17, 0.82 
2016,03,22, HellRaisers, 13, Ancient, 16, overpass, 13, 19, 0.70 
2016,03,21, Empire, 06, Ancient, 16, mirage, 18, 15, 1.10 
2016,03,21, Ancient, 16, Empire, 06, cobblestone, 16, 13, 1.10 
2016,03,21, Ancient, 16, eXplosive, 08, mirage, 22, 13, 1.41 
2016,03,20, CPHWolves, 11, Ancient, 16, overpass, 19, 16, 1.05 
2016,03,20, Ancient, 16, CPHWolves, 03, train, 19, 08, 1.58 
2016,03,20, FlipSid3, 10, Ancient, 16, train, 20, 16, 1.18 
2016,03,20, Ancient, 16, FlipSid3, 04, inferno, 12, 07, 1.12 
2016,03,20, Ancient, 16, ENCE, 10, mirage, 24, 16, 1.35 
2016,03,20, ENCE, 11, Ancient, 16, cobblestone, 22, 14, 1.31 
2016,03,17, CSGL, 16, Ancient, 12, train, 15, 21, 0.73 
2016,03,17, CSGL, 14, Ancient, 16, mirage, 14, 19, 0.77 
2016,03,17, Ancient, 17, CSGL, 19, cobblestone, 12, 27, 0.51 
2016,03,13, Ancient, 07, FlipSid3, 16, mirage, 11, 19, 0.57 
2016,03,13, Ancient, 09, FlipSid3, 16, overpass, 17, 21, 0.86 
2016,03,13, FlipSid3, 12, Ancient, 16, inferno, 23, 16, 1.31 
2016,03,13, 0SK, 17, Ancient, 19, mirage, 28, 25, 1.04 
2016,03,13, Ancient, 11, 0SK, 16, overpass, 20, 22, 0.98 
2016,03,13, 0SK, 13, Ancient, 16, train, 16, 17, 0.94 
2016,03,12, Orbit, 11, Ancient, 16, mirage, 20, 16, 1.08 
2016,03,10, Ancient, 16, 0SK, 14, overpass, 16, 20, 0.76 
2016,03,10, E-frag.net, 08, Ancient, 16, inferno, 07, 12, 0.68 
2016,02,28, Ancient, 16, Orgless, 11, inferno, 19, 15, 1.14 
2016,02,28, Ancient, 16, Orgless, 06, overpass, 16, 13, 1.07 
2016,02,28, ALTERNATEaTTaX, 03, Ancient, 16, cobblestone, 21, 08, 1.95 
2016,02,28, ALTERNATEaTTaX, 05, Ancient, 16, overpass, 19, 12, 1.19 
2016,02,27, ENCE, 14, Ancient, 16, train, 28, 17, 1.46 
2016,02,27, ALAMIX, 06, Ancient, 16, inferno, 28, 12, 1.78 
2016,02,27, Ancient, 01, Preparation, 16, cobblestone, 11, 15, 0.77 
2016,02,05, Ancient, 00, 0YP, 16, mirage, 06, 15, 0.40 
2016,02,05, 0YP, 16, Ancient, 14, cobblestone, 16, 21, 0.73 
2015,12,02, LondonConspiracy, 16, Epsilon, 10, cache, 18, 15, 1.01 
2015,12,02, Epsilon, 00, LondonConspiracy, 13, overpass, 15, 05, 1.69 
2015,11,11, HellRaisers, 16, GreyFace, 02, dust2, 06, 18, 0.31 
2015,11,11, GreyFace, 12, HellRaisers, 16, overpass, 14, 21, 0.70 
2015,11,03, GreyFace, 16, mousesports, 10, overpass, 29, 19, 1.44 
2015,11,03, GreyFace, 16, mousesports, 11, cache, 27, 19, 1.38 
2015,10,25, GreyFace, 10, Titan, 16, overpass, 20, 21, 0.93 
2015,10,25, Titan, 10, GreyFace, 16, train, 14, 16, 0.90 
2015,10,25, Titan, 16, GreyFace, 13, dust2, 18, 20, 0.99 
2015,10,22, TSM, 16, GreyFace, 11, dust2, 21, 18, 1.12 
2015,10,22, GreyFace, 06, TSM, 16, overpass, 14, 16, 0.97 
2015,10,13, GreyFace, 14, NiP, 16, dust2, 25, 18, 1.24 
2015,10,13, GreyFace, 12, NiP, 16, cache, 20, 18, 1.07 
2015,10,11, Poland, 16, Sweden, 10, dust2, 12, 18, 0.70 
2015,10,11, Sweden, 07, Poland, 16, train, 14, 20, 0.69 
2015,10,11, Poland, 14, Sweden, 16, cobblestone, 20, 17, 0.99 
2015,10,10, Sweden, 16, Canada, 11, cobblestone, 21, 14, 1.30 
2015,10,10, Canada, 17, Sweden, 19, inferno, 27, 22, 1.19 
2015,10,08, Indonesia, 04, Sweden, 16, dust2, 19, 09, 1.47 
2015,10,08, Sweden, 16, Indonesia, 02, mirage, 15, 06, 1.43 
2015,10,08, Germany, 16, Sweden, 13, cache, 19, 23, 0.90 
2015,10,08, Sweden, 16, Serbia, 07, inferno, 22, 14, 1.29 
2015,10,06, GreyFace, 14, KILLERFISH, 16, train, 27, 17, 1.41 
2015,10,06, KILLERFISH, 16, GreyFace, 01, mirage, 10, 17, 0.63 
2015,10,06, WorstPlayers, 14, GreyFace, 16, cache, 23, 16, 1.20 
2015,10,06, GreyFace, 16, WorstPlayers, 13, mirage, 22, 20, 1.13 
2015,10,05, GreyFace, 16, KILLERFISH, 05, cache, 16, 13, 1.14 
2015,10,05, GreyFace, 16, KILLERFISH, 13, mirage, 16, 19, 0.78 
2015,09,29, Sweden, 05, Belgium, 16, cobblestone, 12, 19, 0.64 
2015,09,28, Sweden, 16, Iceland, 12, train, 19, 18, 0.96 
2015,09,28, Norway, 14, Sweden, 16, dust2, 25, 24, 0.99 
2015,09,23, SententiaMortis, 06, 0G2, 16, dust2, 18, 15, 1.18 
2015,09,23, 0G2, 16, SententiaMortis, 08, cache, 17, 14, 1.03 
2015,09,23, E-frag.net, 05, 0G2, 16, dust2, 17, 12, 1.16 
2015,09,23, E-frag.net, 04, 0G2, 16, train, 10, 12, 0.80 
2015,09,13, dignitas, 16, AWTR, 12, mirage, 25, 20, 1.21 
2015,09,13, dignitas, 16, AWTR, 08, overpass, 12, 20, 0.63 
2015,09,12, Epsilon, 07, AWTR, 16, mirage, 22, 11, 1.50 
2015,06,17, SpaceSoldiers, 16, 1337, 13, mirage, 15, 18, 0.80 
2015,06,17, 1337, 17, SpaceSoldiers, 19, dust2, 16, 26, 0.67 
2015,06,17, SpaceSoldiers, 10, 1337, 16, inferno, 18, 17, 1.02 
2015,06,15, 0SK, 10, 1337, 16, mirage, 16, 18, 0.90 
2015,06,11, 1337, 16, 0SK, 13, train, 14, 18, 0.75 
2015,06,11, 1337, 16, 0SK, 21, cobblestone, 17, 26, 0.69 
2015,05,30, VingeN, 08, dignitas, 16, cache, 10, 19, 0.57 
2015,05,30, VingeN, 08, dignitas, 16, inferno, 16, 19, 0.82 
2015,05,28, mousesports, 16, 1337, 13, mirage, 18, 18, 0.97 
2015,05,28, mousesports, 16, 1337, 09, dust2, 08, 18, 0.52 
2015,05,25, x6tence, 12, 1337, 16, train, 24, 22, 1.12 
2015,05,25, 1337, 16, AlienTech.Black, 06, cache, 23, 10, 1.58 
2015,05,23, VingeN, 16, INSHOCK, 03, inferno, 15, 08, 1.47 
2015,05,23, TRICKED, 10, VingeN, 16, cache, 20, 19, 1.02 
2015,05,21, Titan, 09, Property, 16, cache, 16, 15, 0.95 
2015,05,21, Titan, 14, Property, 16, dust2, 24, 22, 1.12 
2015,05,21, PENTA, 16, Property, 14, cache, 20, 18, 1.00 
2015,05,21, PENTA, 07, Property, 16, inferno, 19, 13, 1.15 
2015,05,20, Property, 11, 0G2, 16, cache, 20, 18, 1.06 
2015,05,17, Property, 04, HellRaisers, 16, overpass, 08, 17, 0.57 
2015,05,17, HellRaisers, 01, Property, 16, cache, 19, 07, 1.76 
2015,05,12, Property, 09, CPHWolves, 16, dust2, 20, 19, 1.07 
2015,05,12, Property, 16, CPHWolves, 05, inferno, 24, 12, 1.65 
2015,05,11, mousesports, 16, Property, 06, cache, 16, 14, 1.02 
2015,05,11, Property, 12, mousesports, 16, cobblestone, 16, 22, 0.78 
2015,05,05, LGB, 16, Property, 14, inferno, 19, 18, 0.97 
2015,05,05, Property, 03, LGB, 16, mirage, 05, 19, 0.25 
2015,05,04, 0G2, 16, Property, 13, cobblestone, 16, 23, 0.69 
2015,04,27, Property, 16, PENTA, 01, mirage, 13, 04, 1.40 
2015,04,27, PENTA, 22, Property, 19, cache, 24, 29, 0.81 
2015,04,21, Property, 10, NatusVincere, 16, inferno, 12, 17, 0.74 
2015,04,21, NatusVincere, 16, Property, 09, mirage, 09, 20, 0.56 
2015,04,20, Property, 07, LDLCWhite, 16, cobblestone, 09, 19, 0.49 
2015,04,20, LDLCWhite, 21, Property, 19, dust2, 29, 24, 1.03 
2015,04,20, LDLCWhite, 13, Property, 16, inferno, 14, 21, 0.73 
2015,04,04, Property, 05, 3DMAX, 16, dust2, 09, 18, 0.53 
2015,04,04, Property, 10, 0G2, 16, nuke, 16, 18, 0.92 
2015,04,04, Property, 16, 0G2, 09, mirage, 23, 13, 1.46 
2015,04,04, Property, 06, 0G2, 16, overpass, 18, 18, 0.94 
2015,04,03, Property, 16, Publiclir.se, 02, dust2, 20, 09, 1.66 
2015,04,03, Publiclir.se, 07, Property, 16, cache, 22, 10, 1.51 
2015,04,03, Publiclir.se, 16, Property, 05, inferno, 07, 17, 0.43 
2015,04,03, PlayingDucks, 09, Property, 16, cache, 26, 14, 1.72 
2015,04,03, PlayingDucks, 10, Property, 16, mirage, 19, 17, 1.09 
2015,04,03, Property, 16, Lemondogs, 03, cache, 21, 05, 1.74 
2015,04,03, Property, 16, Lemondogs, 00, inferno, 07, 07, 0.93 
2015,03,28, Property, 13, Orbit, 16, inferno, 21, 17, 1.10 
2015,03,28, Orbit, 16, Property, 08, cache, 15, 21, 0.77 
2015,03,24, Property, 16, FlipSid3, 11, nuke, 13, 15, 0.85 
2015,03,24, Property, 21, FlipSid3, 16, cache, 13, 25, 0.62 
2015,03,21, Property, 10, NiP, 16, mirage, 16, 19, 0.90 
2015,03,21, Property, 13, NiP, 16, inferno, 16, 22, 0.74 
2015,03,21, NiP, 13, Property, 16, cache, 27, 16, 1.26 
2015,03,21, Property, 16, 0G2, 10, cache, 20, 12, 1.22 
2015,03,21, Property, 16, 0G2, 11, mirage, 13, 16, 0.80 
2015,03,21, EnVyUs, 16, Property, 00, cache, 07, 16, 0.51 
2015,03,21, Property, 11, EnVyUs, 16, dust2, 16, 16, 0.88 
2015,03,07, volgare, 28, Property, 25, mirage, 50, 32, 1.35 
2015,03,07, Property, 16, volgare, 12, cache, 18, 19, 1.01 
2015,03,07, Property, 23, volgare, 25, inferno, 30, 30, 0.99 
2015,01,13, PENTA, 16, FlipSid3, 06, dust2, 08, 17, 0.54 
2015,01,13, FlipSid3, 20, PENTA, 22, inferno, 29, 28, 1.00 
2015,01,12, FlipSid3, 16, ALTERNATEaTTaX, 03, mirage, 19, 10, 1.34 
2015,01,12, FlipSid3, 16, ALTERNATEaTTaX, 09, cache, 17, 13, 1.10 
2014,12,17, unu.AiN, 16, FlipSid3, 11, overpass, 09, 21, 0.57 
2014,12,17, unu.AiN, 16, FlipSid3, 04, inferno, 11, 18, 0.57 
2014,12,15, Sweden, 11, Poland, 16, overpass, 13, 22, 0.70 
2014,12,15, Sweden, 14, Poland, 16, mirage, 23, 23, 1.00 
2014,12,15, Poland, 10, Sweden, 16, cache, 22, 16, 1.24 
2014,12,15, Availer'sStars, 07, kassad'sLegends, 16, mirage, 12, 18, 0.79 
2014,12,14, Finland, 08, Sweden, 16, mirage, 21, 15, 1.23 
2014,12,14, Finland, 05, Sweden, 16, cache, 17, 11, 1.26 
2014,12,14, Sweden, 10, France, 16, nuke, 23, 18, 1.30 
2014,12,14, France, 14, Sweden, 16, dust2, 26, 20, 1.25 
2014,12,14, France, 16, Sweden, 11, inferno, 28, 18, 1.53 
2014,11,24, Orbit, 16, FlipSid3, 10, cache, 25, 14, 1.45 
2014,11,24, Orbit, 16, FlipSid3, 03, mirage, 21, 10, 1.62 
2014,11,24, Orbit, 16, GGL, 05, dust2, 23, 12, 1.71 
2014,11,24, GGL, 17, Orbit, 19, inferno, 28, 21, 1.30 
2014,11,20, Orbit, 07, CPHWolves, 16, inferno, 11, 19, 0.59 
2014,11,20, Orbit, 11, CPHWolves, 16, dust2, 26, 18, 1.27 
2014,11,16, myXMG, 16, Orbit, 12, inferno, 12, 20, 0.67 
2014,11,16, myXMG, 16, Orbit, 03, cobblestone, 08, 17, 0.53 
2014,11,16, Orbit, 16, myXMG, 09, mirage, 14, 16, 0.83 
2014,10,18, Orbit, 10, PENTA, 16, cache, 11, 24, 0.42 
2014,09,28, PENTA, 16, AliGon, 08, dust2, 13, 19, 0.72 
2014,09,18, LondonConspiracy, 16, Epsilonfe, 02, dust2, 18, 08, 1.55 
2014,09,18, Epsilonfe, 05, LondonConspiracy, 16, mirage, 24, 11, 1.62 
2014,09,16, dAT, 16, LondonConspiracy, 11, overpass, 14, 22, 0.67 
2014,09,16, dAT, 16, LondonConspiracy, 06, inferno, 08, 19, 0.44 
2014,09,16, dAT, 12, LondonConspiracy, 16, mirage, 29, 18, 1.47 
2014,08,27, LondonConspiracy, 16, OverGaming, 02, mirage, 20, 11, 1.57 
2014,08,27, OverGaming, 13, LondonConspiracy, 16, dust2, 22, 21, 1.06 
2014,08,26, LondonConspiracy, 16, dAT, 10, mirage, 24, 18, 1.25 
2014,08,26, LondonConspiracy, 25, dAT, 21, inferno, 33, 33, 1.06 
2014,07,26, Planetkey, 16, tomtebloss, 02, dust2, 03, 18, 0.14 
2014,07,26, Planetkey, 16, tomtebloss, 07, inferno, 16, 21, 0.85 
2014,07,26, Titan, 16, tomtebloss, 02, mirage, 09, 17, 0.53 
2014,07,26, Titan, 16, tomtebloss, 03, inferno, 13, 17, 0.81 
2014,07,16, ESG!, 06, AliGon, 16, dust2, 13, 15, 0.99 
2014,07,16, AliGon, 16, ESG!, 06, inferno, 21, 13, 1.37 
2014,07,16, ESG!, 16, AliGon, 12, mirage, 31, 23, 1.53 
2014,06,15, hiGhrollers, 08, 0SK, 16, train, 15, 21, 0.74 
2014,06,15, hiGhrollers, 12, 0SK, 16, mirage, 19, 22, 0.87 
2014,05,22, Virtus.pro, 06, LGB, 16, dust2, 00, 02, 0.74 
2014,02,25, oBG, 18, Wizards, 21, inferno, 24, 31, 0.85 
2014,02,25, 3DMAX, 16, oBG, 06, dust2, 12, 20, 0.66 
2014,02,25, oBG, 12, 3DMAX, 16, inferno, 29, 20, 1.28 
2014,01,26, zX9, 13, Minttu, 16, dust2, 13, 23, 0.58 
2014,01,26, zX9, 08, Minttu, 16, inferno, 11, 18, 0.64 
2013,12,10, NatusVincere, 16, 0TC, 06, train, 08, 17, 0.52 
2013,12,10, UniversalSoldiers, 16, 0TC, 11, dust2, 17, 20, 0.76 
