2016,05,20, TSM, 11, OpTic, 16, mirage, 19, 19, 1.07 
2016,05,20, TSM, 16, OpTic, 08, cache, 20, 11, 1.26 
2016,05,20, OpTic, 16, TSM, 07, overpass, 09, 17, 0.57 
2016,05,20, NRG, 10, TSM, 16, train, 26, 16, 1.51 
2016,05,20, NRG, 16, TSM, 10, overpass, 13, 20, 0.65 
2016,05,20, NRG, 13, TSM, 16, cache, 20, 19, 0.98 
2016,05,20, Cloud9, 16, TSM, 04, dust2, 05, 19, 0.28 
2016,05,20, TSM, 10, Cloud9, 16, cobblestone, 20, 19, 1.22 
2016,05,20, Cloud9, 10, TSM, 16, inferno, 10, 13, 0.75 
2016,05,19, Kaliber, 04, TSM, 16, overpass, 20, 09, 1.55 
2016,05,19, TSM, 07, TempoStorm, 16, cobblestone, 15, 16, 0.92 
2016,05,18, CLG, 06, TSM, 16, overpass, 19, 13, 1.19 
2016,05,18, CLG, 08, TSM, 16, cache, 13, 14, 0.89 
2016,05,09, TSM, 16, Prospects, 03, mirage, 18, 11, 1.38 
2016,05,09, TSM, 16, Prospects, 12, cobblestone, 25, 16, 1.28 
2016,05,08, TSM, 16, WithoutaRoof, 06, cache, 21, 10, 1.43 
2016,05,08, TSM, 19, WithoutaRoof, 17, cobblestone, 21, 25, 0.82 
2016,05,08, TSM, 16, DISMAY, 10, cache, 18, 20, 0.86 
2016,05,08, DISMAY, 07, TSM, 16, train, 21, 16, 1.24 
2016,05,07, TSM, 16, OpTic, 10, cobblestone, 19, 14, 1.17 
2016,05,07, TSM, 16, OpTic, 12, cache, 17, 18, 0.90 
2016,05,01, TSM, 12, Luminosity, 16, train, 19, 22, 0.97 
2016,05,01, TSM, 14, Luminosity, 16, dust2, 15, 24, 0.66 
2016,05,01, TSM, 16, Luminosity, 13, cobblestone, 30, 21, 1.39 
2016,04,30, TSM, 14, compLexity, 16, dust2, 20, 21, 0.96 
2016,04,30, TSM, 16, compLexity, 19, mirage, 26, 25, 1.12 
2016,04,29, NRG, 12, TSM, 16, dust2, 15, 22, 0.66 
2016,04,29, NRG, 16, TSM, 19, mirage, 16, 25, 0.66 
2016,04,29, NRG, 19, TSM, 16, train, 29, 24, 1.10 
2016,04,24, TSM, 14, Liquid, 16, cobblestone, 18, 21, 0.84 
2016,04,24, Liquid, 16, TSM, 10, mirage, 11, 22, 0.52 
2016,04,24, TSM, 16, Liquid, 14, dust2, 16, 19, 0.80 
2016,04,19, TSM, 09, EchoFox, 16, cobblestone, 13, 21, 0.77 
2016,04,19, TSM, 17, EchoFox, 19, dust2, 27, 27, 1.04 
2016,04,19, TSM, 16, EchoFox, 11, train, 14, 19, 0.78 
2016,04,19, ACE, 05, TSM, 16, mirage, 25, 14, 1.68 
2016,04,19, TSM, 16, ACE, 06, dust2, 21, 12, 1.43 
2016,04,13, Prospects, 06, TSM, 16, dust2, 11, 13, 0.80 
2016,04,13, TSM, 16, Prospects, 14, mirage, 19, 22, 0.86 
2016,03,21, Luminosity, 16, TSM, 02, cache, 08, 17, 0.58 
2016,03,21, Luminosity, 16, TSM, 06, cobblestone, 12, 19, 0.65 
2016,03,21, TSM, 16, Luminosity, 11, mirage, 17, 18, 1.03 
2016,03,20, TSM, 07, Liquid, 16, cobblestone, 15, 20, 0.85 
2016,03,20, TSM, 16, Liquid, 19, dust2, 17, 21, 0.88 
2016,03,19, TSM, 16, Renegades, 10, overpass, 19, 21, 0.86 
2016,03,19, Renegades, 16, TSM, 04, cache, 07, 18, 0.43 
2016,03,19, Renegades, 16, TSM, 19, cobblestone, 23, 20, 1.01 
2016,03,15, compLexity, 00, TSM, 16, inferno, 12, 07, 1.19 
2016,03,15, compLexity, 16, TSM, 19, train, 26, 25, 0.99 
2016,03,15, TSM, 03, compLexity, 16, overpass, 10, 16, 0.69 
2016,03,03, Selfless, 16, TSM, 14, overpass, 22, 21, 1.03 
2016,03,03, TSM, 16, Selfless, 06, cobblestone, 16, 13, 1.13 
2016,03,03, Selfless, 16, TSM, 08, cache, 14, 19, 0.71 
2016,02,24, ex-AstralAuthority, 07, TSM, 16, mirage, 18, 15, 1.09 
2016,02,24, TSM, 16, ex-AstralAuthority, 11, overpass, 22, 17, 1.20 
2016,02,21, TSM, 09, Renegades, 16, train, 15, 18, 0.85 
2016,02,21, TSM, 07, Renegades, 16, cobblestone, 15, 19, 0.76 
2016,01,24, TSM, 11, Winterfox, 16, inferno, 20, 18, 1.08 
2016,01,24, TSM, 07, Winterfox, 16, cache, 19, 18, 1.14 
2015,12,12, Luminosity, 16, CLG, 12, overpass, 13, 20, 0.66 
2015,12,12, CLG, 08, Luminosity, 16, mirage, 13, 18, 0.78 
2015,12,11, CLG, 06, 00?, 16, inferno, 10, 18, 0.58 
2015,12,11, CLG, 12, 00?, 16, mirage, 13, 17, 0.75 
2015,12,06, CLG, 16, compLexity, 06, train, 19, 11, 1.26 
2015,12,06, CLG, 21, compLexity, 16, mirage, 26, 22, 1.12 
2015,12,06, CLG, 16, Splyce, 08, cobblestone, 19, 14, 1.24 
2015,12,06, CLG, 16, Splyce, 07, dust2, 31, 12, 2.05 
2015,12,06, CLG, 08, Splyce, 16, train, 11, 19, 0.58 
2015,12,06, Nexus, 06, CLG, 16, mirage, 18, 09, 1.43 
2015,12,05, CLG, 16, ACE, 11, mirage, 16, 17, 0.93 
