2016,05,29, Gambit, 09, Epsilon, 16, mirage, 21, 18, 1.07 
2016,05,29, Gambit, 13, Epsilon, 16, cache, 16, 21, 0.79 
2016,05,29, Epsilon, 13, Gambit, 16, dust2, 21, 21, 0.93 
2016,05,29, Epsilon, 16, Tricked, 14, train, 15, 22, 0.69 
2016,05,29, Tricked, 05, Epsilon, 16, mirage, 18, 12, 1.29 
2016,05,29, Tricked, 16, Epsilon, 04, dust2, 06, 18, 0.36 
2016,05,29, PRIDE, 15, Epsilon, 19, mirage, 21, 23, 0.88 
2016,05,29, Epsilon, 13, PRIDE, 16, overpass, 16, 23, 0.71 
2016,05,29, Epsilon, 16, PRIDE, 03, train, 23, 11, 1.72 
2016,05,25, Epsilon, 15, Millenium, 19, dust2, 13, 33, 0.39 
2016,05,25, Epsilon, 16, Millenium, 11, overpass, 16, 24, 0.69 
2016,05,25, Epsilon, 16, Millenium, 19, cache, 27, 29, 1.02 
2016,05,24, Epsilon, 07, AGG, 16, dust2, 12, 20, 0.67 
2016,05,24, Epsilon, 12, AGG, 16, train, 12, 23, 0.59 
2016,05,23, Epsilon, 16, AlienTech, 11, train, 16, 17, 0.93 
2016,05,14, Epsilon, 13, Orbit, 16, train, 16, 20, 0.79 
2016,05,14, Epsilon, 15, Orbit, 19, mirage, 19, 27, 0.75 
2016,05,14, Epsilon, 16, Orbit, 13, dust2, 13, 23, 0.62 
2016,05,14, Epsilon, 16, 0SK, 14, overpass, 25, 21, 1.23 
2016,05,14, Epsilon, 11, dignitas, 16, overpass, 14, 21, 0.76 
2016,05,10, Epsilon, 16, Rasta, 01, overpass, 10, 07, 1.11 
2016,05,01, Epsilon, 19, GameAgents, 17, cache, 25, 23, 1.08 
2016,05,01, Epsilon, 16, GameAgents, 09, dust2, 18, 16, 1.03 
2016,05,01, Epsilon, 16, CPHWolves, 13, dust2, 27, 16, 1.44 
2016,05,01, Epsilon, 19, CPHWolves, 22, overpass, 32, 26, 1.18 
2016,05,01, CPHWolves, 12, Epsilon, 16, train, 16, 21, 0.74 
2016,04,30, Epsilon, 16, ALTERNATEaTTaX, 13, dust2, 16, 19, 0.82 
2016,04,28, AliGon, 17, CPHWolves, 19, train, 26, 26, 1.01 
2016,04,28, AliGon, 19, CPHWolves, 16, dust2, 23, 20, 1.00 
2016,04,28, CPHWolves, 16, AliGon, 13, inferno, 24, 18, 1.24 
2016,04,27, RCTIC, 12, Epsilon, 16, dust2, 26, 17, 1.37 
2016,04,27, RCTIC, 12, Epsilon, 16, cache, 20, 16, 1.03 
2016,04,27, AliGon, 16, Enso, 11, dust2, 31, 19, 1.54 
2016,04,27, AliGon, 16, Enso, 06, mirage, 15, 13, 1.01 
2016,04,22, Epsilon, 12, HellRaisers, 16, cache, 27, 19, 1.48 
2016,04,22, HellRaisers, 16, Epsilon, 14, mirage, 30, 23, 1.28 
2016,04,20, Epsilon, 16, PENTA, 03, mirage, 13, 14, 0.85 
2016,04,20, PENTA, 16, Epsilon, 11, cobblestone, 16, 18, 0.92 
2016,04,20, PENTA, 04, Epsilon, 16, dust2, 17, 16, 1.02 
2016,04,19, AliGon, 16, RCTIC, 07, inferno, 22, 11, 1.63 
2016,04,19, RCTIC, 09, AliGon, 16, cobblestone, 23, 16, 1.36 
2016,04,18, Enso, 06, AliGon, 16, dust2, 26, 12, 1.86 
2016,04,18, AliGon, 12, Enso, 16, inferno, 25, 20, 1.35 
2016,04,17, nerdRage, 06, Epsilon, 16, cobblestone, 25, 13, 1.65 
2016,04,17, nerdRage, 14, Epsilon, 16, dust2, 12, 23, 0.60 
2016,04,14, AliGon, 16, EpiphanyBolt, 11, cache, 25, 18, 1.28 
2016,04,14, AliGon, 16, EpiphanyBolt, 06, inferno, 19, 16, 1.15 
2016,03,25, Plantronics, 15, Publiclir.se, 19, cache, 23, 28, 0.95 
2016,03,25, Plantronics, 16, ENCE, 07, dust2, 19, 16, 1.04 
2016,03,25, 0SK, 16, Plantronics, 07, mirage, 15, 18, 0.82 
2016,03,24, Plantronics, 16, WinOut, 08, cobblestone, 18, 20, 0.91 
2016,03,24, Plantronics, 16, WinOut, 05, inferno, 19, 13, 1.23 
2016,03,24, Plantronics, 16, n0_0rg, 01, cache, 12, 07, 1.17 
2016,03,24, n0_0rg, 05, Plantronics, 16, dust2, 20, 16, 1.38 
2016,03,24, Aquiver.RED, 10, Plantronics, 16, cobblestone, 21, 16, 1.23 
2016,03,24, Tekweb, 05, Plantronics, 16, dust2, 12, 14, 0.83 
2016,03,12, Gambit, 16, AliGon, 10, cache, 14, 18, 0.79 
2016,02,27, AliGon, 04, Orgless, 16, mirage, 12, 18, 0.67 
2016,02,27, AliGon, 16, Torpedo, 09, mirage, 27, 17, 1.58 
2016,02,27, ALTERNATEaTTaX, 16, AliGon, 09, cache, 18, 19, 0.94 
2016,01,30, Lemondogs, 13, DenDD, 16, mirage, 30, 17, 1.52 
2016,01,30, HellRaisers, 16, Lemondogs, 14, dust2, 24, 21, 1.22 
2016,01,10, AliGon, 13, Vexed, 16, mirage, 15, 21, 0.78 
2016,01,10, AliGon, 12, Vexed, 16, overpass, 12, 22, 0.62 
2016,01,08, AliGon, 26, ALTERNATEaTTaX, 21, train, 34, 31, 1.13 
2016,01,08, ALTERNATEaTTaX, 16, AliGon, 09, dust2, 17, 19, 0.90 
2016,01,08, AliGon, 16, ALTERNATEaTTaX, 07, cache, 23, 15, 1.40 
2015,12,17, AliGon, 06, PiTER, 16, mirage, 20, 18, 1.15 
2015,12,17, EpiphanyBolt, 19, AliGon, 17, cache, 20, 24, 0.80 
2015,12,17, AliGon, 16, LowLandLions, 14, dust2, 32, 21, 1.43 
2015,11,25, AliGon, 14, BX3, 16, inferno, 22, 20, 1.04 
2015,11,25, BX3, 16, AliGon, 07, dust2, 09, 20, 0.48 
2015,11,24, AliGon, 17, E-frag.net, 19, dust2, 26, 29, 0.92 
2015,11,24, AliGon, 04, E-frag.net, 16, train, 12, 19, 0.60 
2015,11,23, AliGon, 16, gBots, 12, dust2, 18, 20, 0.85 
2015,11,23, gBots, 08, AliGon, 16, train, 24, 14, 1.54 
2015,11,16, ESC, 16, AliGon, 06, mirage, 16, 16, 1.17 
2015,11,16, AliGon, 16, nerdRage, 03, mirage, 14, 11, 1.14 
2015,11,16, Epsilon, 22, AliGon, 25, train, 33, 31, 1.09 
2015,11,03, AliGon, 21, Arcade, 19, dust2, 31, 30, 1.01 
2015,11,03, AliGon, 16, Arcade, 06, cache, 22, 16, 1.43 
2015,11,03, AliGon, 16, Arcade, 14, dust2, 17, 22, 0.85 
2015,11,03, AliGon, 18, Arcade, 21, mirage, 21, 25, 0.91 
2015,11,02, Reason, 05, AliGon, 16, mirage, 20, 08, 1.69 
2015,11,02, AliGon, 08, Reason, 16, cache, 18, 18, 0.98 
2015,11,02, AliGon, 16, Reason, 01, train, 18, 06, 1.65 
2015,10,30, MaxAndRelax, 16, EuropeanMisfits, 03, mirage, 18, 11, 1.47 
2015,10,30, EuropeanMisfits, 16, MaxAndRelax, 12, cache, 31, 16, 1.75 
2015,10,30, EuropeanMisfits, 11, MaxAndRelax, 16, dust2, 27, 16, 1.55 
2015,09,27, MaxAndRelax, 16, Orbit, 03, inferno, 18, 09, 1.50 
2015,09,27, MaxAndRelax, 05, Orbit, 16, mirage, 17, 18, 1.01 
2015,09,24, MaxAndRelax, 16, volgare, 10, dust2, 23, 12, 1.38 
2015,09,24, MaxAndRelax, 19, volgare, 16, mirage, 27, 22, 1.15 
2015,09,23, 0SK, 19, MaxAndRelax, 22, mirage, 35, 24, 1.29 
2015,09,23, MaxAndRelax, 16, 0SK, 02, train, 17, 10, 1.35 
2015,08,30, AliGon, 16, PiTER, 21, cache, 31, 25, 1.11 
2015,05,31, ISKOLD, 06, LGB, 16, dust2, 14, 20, 0.68 
2015,05,31, ISKOLD, 05, LGB, 16, cache, 21, 15, 1.25 
2015,05,31, LGB, 12, ISKOLD, 16, mirage, 19, 20, 0.88 
2015,05,23, ISKOLD, 26, AliGon, 23, inferno, 24, 33, 0.72 
2015,04,21, Games4u, 16, Acer, 12, dust2, 18, 17, 1.00 
2015,04,04, Reason, 16, Games4u, 02, inferno, 11, 17, 0.60 
2015,04,04, Games4u, 16, Acer, 04, mirage, 18, 10, 1.39 
2015,04,03, Games4u, 16, Lions, 11, inferno, 15, 14, 1.05 
2015,04,03, Orbit, 16, Games4u, 05, inferno, 18, 17, 1.01 
2015,04,03, Games4u, 06, Orbit, 16, cache, 12, 19, 0.65 
2015,04,03, FUGL?, 04, Games4u, 16, dust2, 10, 15, 0.68 
2015,04,03, FUGL?, 09, Games4u, 16, inferno, 23, 17, 1.19 
2015,04,03, Games4u, 13, 3DMAX, 16, inferno, 22, 18, 1.18 
2015,04,03, 3DMAX, 16, Games4u, 08, dust2, 18, 17, 1.06 
2015,04,02, schlaegeros, 10, Games4u, 16, cache, 26, 14, 1.59 
2015,04,02, Games4u, 16, Frederiksberg, 08, mirage, 11, 12, 0.82 
2015,04,02, Lucidez, 09, Games4u, 16, dust2, 20, 13, 1.27 
2015,04,02, Games4u, 16, Lucidez, 09, inferno, 20, 17, 1.28 
2015,03,08, AliGon, 12, PENTA, 16, inferno, 13, 18, 0.85 
2015,03,08, AliGon, 13, PENTA, 16, dust2, 18, 20, 0.99 
2015,03,08, AliGon, 12, PENTA, 16, cache, 16, 21, 0.95 
2015,03,07, AliGon, 16, dignitas, 10, inferno, 21, 17, 1.16 
2015,03,07, dignitas, 10, AliGon, 16, cache, 19, 19, 1.05 
