2016,05,22, OpTic, 13, TempoStorm, 16, dust2, 18, 19, 0.88 
2016,05,21, TempoStorm, 06, OpTic, 16, cobblestone, 22, 12, 1.50 
2016,05,21, TempoStorm, 07, OpTic, 16, train, 19, 12, 1.26 
2016,05,20, TSM, 11, OpTic, 16, mirage, 24, 14, 1.35 
2016,05,20, TSM, 16, OpTic, 08, cache, 09, 22, 0.41 
2016,05,20, OpTic, 16, TSM, 07, overpass, 20, 13, 1.38 
2016,05,19, OpTic, 16, Selfless, 01, train, 13, 03, 1.48 
2016,05,19, WinOut, 02, OpTic, 16, train, 18, 06, 1.57 
2016,05,12, OpTic, 13, Luminosity, 16, overpass, 11, 20, 0.59 
2016,05,12, Luminosity, 16, OpTic, 12, inferno, 19, 23, 0.84 
2016,05,11, 0G2, 16, OpTic, 07, cobblestone, 13, 18, 0.75 
2016,05,11, Astralis, 07, OpTic, 16, inferno, 23, 06, 1.72 
2016,05,07, TSM, 16, OpTic, 10, cobblestone, 12, 22, 0.69 
2016,05,07, TSM, 16, OpTic, 12, cache, 16, 20, 0.86 
2016,05,05, OpTic, 11, compLexity, 16, inferno, 14, 20, 0.75 
2016,05,05, compLexity, 03, OpTic, 16, cache, 12, 06, 1.15 
2016,05,05, compLexity, 16, OpTic, 02, train, 09, 17, 0.59 
2016,05,05, Luminosity, 16, OpTic, 11, train, 18, 20, 0.94 
2016,05,05, OpTic, 04, Luminosity, 16, cobblestone, 06, 17, 0.40 
2016,04,29, Virtus.pro, 16, OpTic, 08, inferno, 14, 18, 0.91 
2016,04,29, OpTic, 06, Virtus.pro, 16, mirage, 08, 19, 0.47 
2016,04,29, OpTic, 16, Splyce, 08, cobblestone, 18, 12, 1.25 
2016,04,29, OpTic, 12, Splyce, 16, train, 19, 22, 0.89 
2016,04,29, OpTic, 16, Splyce, 03, mirage, 16, 08, 1.42 
2016,04,28, OpTic, 03, HellRaisers, 16, overpass, 15, 17, 0.90 
2016,04,28, HellRaisers, 16, OpTic, 08, cache, 22, 18, 1.16 
2016,04,28, HellRaisers, 08, OpTic, 16, cobblestone, 13, 17, 0.76 
2016,04,27, NRG, 08, OpTic, 16, overpass, 25, 17, 1.42 
2016,04,27, OpTic, 10, NRG, 16, cache, 19, 22, 1.07 
2016,04,25, OpTic, 19, Liquid, 16, train, 19, 23, 0.82 
2016,04,25, OpTic, 16, Liquid, 09, cache, 17, 18, 0.91 
2016,04,24, CLG, 07, OpTic, 16, overpass, 15, 14, 1.04 
2016,04,24, OpTic, 16, CLG, 07, train, 12, 14, 0.88 
2016,04,23, Cloud9, 16, OpTic, 08, dust2, 11, 16, 0.73 
2016,04,23, Cloud9, 05, OpTic, 16, cache, 19, 14, 1.25 
2016,04,23, Cloud9, 16, OpTic, 13, mirage, 24, 19, 1.23 
2016,04,18, OpTic, 16, EchoFox, 13, cobblestone, 21, 16, 1.13 
2016,04,18, EchoFox, 11, OpTic, 16, inferno, 22, 12, 1.65 
2016,04,11, OpTic, 16, WithoutaRoof, 02, mirage, 19, 06, 1.59 
