2016,04,06, 0SK, 16, Gambit, 05, mirage, 08, 18, 0.55 
2016,04,06, 0SK, 08, Gambit, 16, train, 10, 14, 0.71 
2016,03,31, Gambit, 10, CLG, 16, mirage, 16, 19, 0.93 
2016,03,31, CLG, 16, Gambit, 11, cobblestone, 15, 18, 0.82 
2016,03,31, CLG, 13, Gambit, 16, cache, 24, 21, 1.18 
2016,03,30, Gambit, 16, EnVyUs, 13, cache, 20, 21, 0.92 
2016,03,29, Gambit, 10, Astralis, 16, train, 18, 20, 0.92 
2016,03,23, PENTA, 20, Gambit, 22, cache, 28, 24, 1.06 
2016,03,23, Gambit, 16, PENTA, 09, mirage, 28, 12, 1.68 
2016,03,20, Gambit, 05, HellRaisers, 16, cache, 16, 18, 1.03 
2016,03,20, HellRaisers, 16, Gambit, 05, dust2, 16, 15, 0.95 
2016,03,14, fm-eSports, 10, Gambit, 16, inferno, 16, 18, 0.85 
2016,03,14, Gambit, 16, fm-eSports, 10, mirage, 19, 18, 1.06 
2016,03,14, Gambit, 10, fm-eSports, 16, cobblestone, 09, 19, 0.53 
2016,03,13, noKappa, 16, Gambit, 14, cobblestone, 14, 23, 0.68 
2016,03,13, noKappa, 16, Gambit, 05, train, 12, 18, 0.68 
2016,03,13, noKappa, 09, Gambit, 16, inferno, 22, 12, 1.39 
2016,03,12, Gambit, 16, AliGon, 10, cache, 19, 15, 1.09 
2016,03,09, Gambit, 16, fm-eSports, 09, train, 08, 13, 0.68 
2016,03,09, Gambit, 16, fm-eSports, 10, cobblestone, 21, 17, 1.31 
2016,02,27, Renegades, 11, Gambit, 16, train, 12, 17, 0.70 
2016,02,27, Gambit, 16, Cloud9, 09, cache, 14, 14, 0.87 
2016,02,24, Gambit, 08, CSGL, 16, cobblestone, 16, 17, 0.84 
2016,02,24, Gambit, 13, CSGL, 16, cache, 13, 21, 0.64 
2016,01,24, Gambit, 16, Rebels, 03, train, 15, 12, 1.23 
2016,01,24, Rebels, 04, Gambit, 16, inferno, 13, 10, 1.01 
2016,01,24, Gambit, 16, Method, 08, cobblestone, 18, 13, 1.22 
2016,01,24, Method, 11, Gambit, 16, cache, 12, 20, 0.71 
2016,01,24, Gambit, 14, Method, 16, train, 17, 20, 0.80 
2016,01,22, Rebels, 14, Gambit, 16, inferno, 13, 19, 0.68 
2016,01,22, Gambit, 36, Rebels, 32, cobblestone, 44, 51, 0.84 
2016,01,22, Gambit, 16, eXplosive, 04, cache, 20, 09, 1.57 
2016,01,18, Gambit, 16, Temp.no, 04, inferno, 22, 07, 1.80 
2016,01,18, Temp.no, 05, Gambit, 16, mirage, 12, 10, 1.04 
2015,12,13, Revival, 16, HS.GG, 08, dust2, 09, 19, 0.51 
2015,12,13, Revival, 16, HS.GG, 03, mirage, 09, 18, 0.50 
2015,12,12, eXplosive, 16, HS.GG, 10, cache, 19, 20, 1.07 
2015,12,12, HS.GG, 11, eXplosive, 16, cobblestone, 10, 24, 0.44 
2015,12,06, HS.GG, 04, Rebels, 16, cobblestone, 11, 17, 0.70 
2015,12,06, Rebels, 16, HS.GG, 03, mirage, 09, 17, 0.54 
2015,12,06, HS.GG, 16, Rebels, 09, inferno, 09, 12, 0.77 
2015,12,02, HS.GG, 06, FlipSid3, 16, inferno, 14, 16, 0.97 
2015,12,02, HS.GG, 13, FlipSid3, 16, cobblestone, 20, 24, 0.94 
2015,12,02, FlipSid3, 07, HS.GG, 16, mirage, 10, 17, 0.60 
2015,10,30, Publiclir.se, 16, HS.GG, 12, overpass, 14, 22, 0.70 
2015,10,30, HS.GG, 16, Publiclir.se, 07, cobblestone, 24, 12, 1.62 
2015,10,30, Publiclir.se, 16, HS.GG, 06, mirage, 20, 18, 1.15 
2015,10,11, France, 16, Russia, 11, mirage, 19, 20, 0.99 
2015,10,11, Russia, 16, France, 19, cobblestone, 20, 28, 0.71 
2015,10,10, Russia, 16, Norway, 10, mirage, 09, 17, 0.71 
2015,10,10, Russia, 10, Norway, 16, dust2, 08, 23, 0.35 
2015,10,10, Norway, 16, Russia, 19, overpass, 24, 22, 1.03 
2015,10,08, Russia, 16, Kyrgyzstan, 02, mirage, 18, 08, 1.71 
2015,10,08, Russia, 16, Kyrgyzstan, 10, cobblestone, 31, 15, 1.70 
2015,10,08, Russia, 16, Tunisia, 04, overpass, 16, 08, 1.42 
2015,10,08, Russia, 16, Tunisia, 03, inferno, 12, 09, 1.08 
2015,10,01, Russia, 16, Hungary, 12, inferno, 18, 22, 0.82 
2015,10,01, Hungary, 07, Russia, 16, overpass, 17, 11, 1.22 
2015,09,30, PiTER, 03, E-frag.net, 16, train, 13, 17, 0.90 
2015,09,30, PiTER, 07, E-frag.net, 16, mirage, 16, 19, 0.85 
2015,09,30, Enervate, 06, PiTER, 16, dust2, 22, 12, 1.58 
2015,09,30, PiTER, 10, Enervate, 16, cache, 22, 21, 1.13 
2015,09,30, Enervate, 05, PiTER, 16, cobblestone, 19, 09, 1.36 
2015,09,30, PiTER, 05, E-frag.net, 16, overpass, 06, 18, 0.38 
2015,09,30, E-frag.net, 16, PiTER, 02, cache, 08, 17, 0.48 
2015,09,29, Russia, 05, Slovakia, 16, mirage, 14, 18, 0.73 
2015,09,28, Germany, 14, Russia, 16, mirage, 24, 20, 1.21 
2015,09,28, UnitedKingdom, 04, Russia, 16, mirage, 10, 09, 0.90 
2015,09,28, VegaSquadron, 11, PiTER, 16, mirage, 15, 16, 0.99 
2015,09,28, PiTER, 16, VegaSquadron, 13, cache, 21, 16, 1.15 
2015,09,22, LANDODGERS, 16, CSGOEvoWhite, 12, overpass, 21, 19, 1.12 
2015,09,22, LANDODGERS, 16, CSGOEvoWhite, 13, cache, 11, 23, 0.55 
2015,09,22, Publiclir.se, 14, LANDODGERS, 16, mirage, 21, 22, 0.88 
2015,09,21, Planetkey, 06, LANDODGERS, 16, cache, 19, 14, 1.18 
2015,09,21, CSGOEvoWhite, 16, LANDODGERS, 01, dust2, 08, 16, 0.58 
2015,09,21, CSGOEvoWhite, 16, LANDODGERS, 10, cache, 14, 18, 0.75 
2015,09,21, LANDODGERS, 16, CSGOEvoWhite, 14, mirage, 19, 20, 0.99 
2015,09,18, PiTER, 10, NewEra, 16, tuscan, 12, 21, 0.65 
2015,09,18, NewEra, 11, PiTER, 16, season, 22, 20, 1.11 
2015,09,17, Finland, 13, Russia, 16, mirage, 19, 13, 1.10 
2015,09,17, Russia, 03, Turkey, 16, mirage, 09, 17, 0.57 
2015,09,13, k1ck, 26, WorstPlayers, 20, cobblestone, 35, 29, 1.13 
2015,09,13, k1ck, 16, WorstPlayers, 04, train, 08, 16, 0.61 
2015,09,12, LosJefes, 12, WorstPlayers, 16, mirage, 21, 17, 1.26 
2015,09,05, Phenomenon, 16, dope, 03, mirage, 10, 17, 0.53 
2015,09,05, dope, 03, Phenomenon, 16, cache, 18, 16, 1.13 
2015,09,04, dope, 12, PiTER, 16, cobblestone, 16, 19, 0.86 
2015,09,04, PiTER, 16, dope, 07, mirage, 16, 20, 0.86 
2015,09,03, Phenomenon, 16, dope, 11, cobblestone, 19, 18, 1.03 
2015,09,03, dope, 13, Phenomenon, 16, mirage, 17, 22, 0.71 
2015,09,02, EpiphanyBolt, 16, dope, 03, cache, 10, 17, 0.65 
2015,09,02, dope, 16, EpiphanyBolt, 14, mirage, 30, 19, 1.44 
2015,09,02, dope, 09, EpiphanyBolt, 16, cobblestone, 23, 17, 1.24 
2015,09,01, Pries, 19, dope, 17, cobblestone, 29, 24, 1.09 
2015,09,01, Pries, 16, dope, 06, dust2, 11, 19, 0.58 
2015,08,29, dope, 19, ACG, 17, mirage, 25, 26, 0.97 
2015,08,29, dope, 12, ACG, 16, cache, 16, 20, 0.88 
2015,08,29, dope, 16, ACG, 14, dust2, 31, 17, 1.56 
2015,06,20, HellRaisers, 09, FlipSid3, 16, cache, 21, 20, 1.05 
2015,06,20, NatusVincere, 16, HellRaisers, 11, overpass, 06, 21, 0.39 
2015,06,19, GPlay, 16, HellRaisers, 14, inferno, 16, 23, 0.70 
2015,06,19, EnVyUs, 16, HellRaisers, 07, cache, 17, 17, 1.02 
2015,06,19, 0G2, 16, HellRaisers, 06, overpass, 11, 19, 0.58 
2015,06,15, GPlay, 08, HellRaisers, 16, dust2, 19, 15, 1.16 
