2016,05,08, TSM, 16, WithoutaRoof, 06, cache, 22, 14, 1.40 
2016,05,08, TSM, 19, WithoutaRoof, 17, cobblestone, 32, 30, 1.17 
2016,05,08, TSM, 16, DISMAY, 10, cache, 23, 16, 1.23 
2016,05,08, DISMAY, 07, TSM, 16, train, 21, 14, 1.28 
2016,05,07, TSM, 16, OpTic, 10, cobblestone, 17, 17, 0.90 
2016,05,07, TSM, 16, OpTic, 12, cache, 29, 17, 1.52 
2016,05,01, TSM, 12, Luminosity, 16, train, 19, 20, 0.92 
2016,05,01, TSM, 14, Luminosity, 16, dust2, 23, 22, 1.09 
2016,05,01, TSM, 16, Luminosity, 13, cobblestone, 13, 22, 0.59 
2016,04,30, TSM, 14, compLexity, 16, dust2, 23, 20, 1.11 
2016,04,30, TSM, 16, compLexity, 19, mirage, 31, 26, 1.13 
2016,04,29, NRG, 12, TSM, 16, dust2, 24, 22, 1.18 
2016,04,29, NRG, 16, TSM, 19, mirage, 26, 25, 1.04 
2016,04,29, NRG, 19, TSM, 16, train, 24, 26, 1.00 
2016,04,24, TSM, 14, Liquid, 16, cobblestone, 18, 24, 0.76 
2016,04,24, Liquid, 16, TSM, 10, mirage, 16, 20, 0.84 
2016,04,24, TSM, 16, Liquid, 14, dust2, 26, 22, 1.19 
2016,04,19, TSM, 09, EchoFox, 16, cobblestone, 12, 19, 0.69 
2016,04,19, TSM, 17, EchoFox, 19, dust2, 23, 26, 0.92 
2016,04,19, TSM, 16, EchoFox, 11, train, 23, 22, 1.10 
2016,04,19, ACE, 05, TSM, 16, mirage, 13, 12, 0.98 
2016,04,19, TSM, 16, ACE, 06, dust2, 23, 10, 1.61 
2016,04,13, Prospects, 06, TSM, 16, dust2, 18, 13, 1.31 
2016,04,13, TSM, 16, Prospects, 14, mirage, 24, 20, 1.10 
2016,03,21, Luminosity, 16, TSM, 02, cache, 07, 18, 0.39 
2016,03,21, Luminosity, 16, TSM, 06, cobblestone, 08, 19, 0.49 
2016,03,21, TSM, 16, Luminosity, 11, mirage, 22, 15, 1.19 
2016,03,20, TSM, 07, Liquid, 16, cobblestone, 17, 19, 0.99 
2016,03,20, TSM, 16, Liquid, 19, dust2, 19, 28, 0.70 
2016,03,19, TSM, 16, Renegades, 10, overpass, 23, 17, 1.29 
2016,03,19, Renegades, 16, TSM, 04, cache, 17, 19, 1.10 
2016,03,19, Renegades, 16, TSM, 19, cobblestone, 28, 20, 1.30 
2016,03,15, compLexity, 00, TSM, 16, inferno, 21, 03, 2.09 
2016,03,15, compLexity, 16, TSM, 19, train, 29, 21, 1.22 
2016,03,15, TSM, 03, compLexity, 16, overpass, 09, 19, 0.40 
2016,03,03, Selfless, 16, TSM, 14, overpass, 27, 20, 1.33 
2016,03,03, TSM, 16, Selfless, 06, cobblestone, 18, 11, 1.36 
2016,03,03, Selfless, 16, TSM, 08, cache, 17, 18, 0.99 
2016,02,24, ex-AstralAuthority, 07, TSM, 16, mirage, 29, 13, 1.99 
2016,02,24, TSM, 16, ex-AstralAuthority, 11, overpass, 24, 20, 1.30 
2016,02,21, TSM, 09, Renegades, 16, train, 10, 20, 0.50 
2016,02,21, TSM, 07, Renegades, 16, cobblestone, 12, 19, 0.73 
2016,01,24, TSM, 11, Winterfox, 16, inferno, 18, 17, 1.03 
2016,01,24, TSM, 07, Winterfox, 16, cache, 15, 18, 0.80 
2015,12,09, Denial, 08, Splyce, 16, cache, 14, 20, 0.74 
2015,12,09, Splyce, 16, Denial, 07, dust2, 19, 16, 1.22 
2015,12,01, Splyce, 05, Denial, 16, overpass, 17, 15, 1.19 
2015,12,01, Denial, 16, Splyce, 10, cobblestone, 23, 16, 1.30 
2015,11,30, Denial, 06, Enemy, 16, cache, 17, 17, 1.04 
2015,11,30, Enemy, 16, Denial, 03, inferno, 07, 18, 0.38 
2015,11,06, GamesAcademy, 19, Denial, 17, inferno, 20, 29, 0.77 
2015,11,06, GamesAcademy, 16, Denial, 07, dust2, 09, 20, 0.51 
2015,11,06, Denial, 16, GamesAcademy, 11, cache, 14, 20, 0.75 
2015,10,08, Denial, 16, Coast, 06, mirage, 24, 12, 1.57 
2015,10,08, Coast, 16, Denial, 11, dust2, 22, 24, 0.96 
2015,10,07, Denial, 16, Liquid, 12, mirage, 29, 19, 1.40 
2015,10,07, Liquid, 16, Denial, 06, cache, 15, 18, 0.85 
2015,10,06, Splyce, 04, Luminosity, 16, dust2, 07, 16, 0.48 
2015,10,06, Luminosity, 16, Splyce, 09, cobblestone, 15, 19, 0.86 
2015,10,06, compLexity, 14, Trifecta, 16, dust2, 19, 19, 0.96 
2015,10,06, Trifecta, 16, compLexity, 08, overpass, 16, 17, 0.89 
2015,10,02, Splyce, 08, Trifecta, 16, dust2, 18, 17, 0.96 
2015,10,02, Splyce, 16, Trifecta, 08, cobblestone, 14, 20, 0.77 
2015,09,22, Enemy, 05, Trifecta, 16, cache, 13, 16, 0.79 
2015,09,22, Trifecta, 09, Enemy, 16, train, 14, 21, 0.78 
2015,09,22, Trifecta, 16, Luminosity, 08, cache, 22, 14, 1.30 
2015,09,22, Luminosity, 16, Trifecta, 04, inferno, 10, 17, 0.66 
2015,09,18, Mortality, 17, Method, 19, dust2, 24, 24, 0.89 
2015,09,18, Mortality, 06, Method, 16, mirage, 13, 17, 0.78 
2015,09,09, CLG, 16, Mortality, 10, cobblestone, 16, 19, 0.89 
2015,09,09, CLG, 12, Mortality, 16, dust2, 25, 22, 1.17 
2015,08,27, Mortality, 12, 3sUP, 16, mirage, 24, 20, 1.22 
2015,08,27, Mortality, 20, 3sUP, 22, dust2, 35, 32, 1.10 
2015,08,25, Mythic, 16, Mortality, 07, cache, 06, 20, 0.37 
2015,08,25, Mythic, 14, Mortality, 16, dust2, 23, 21, 1.06 
2015,08,18, Conquest, 19, Mortality, 16, inferno, 23, 24, 0.97 
2015,08,18, Mortality, 26, Conquest, 28, cache, 36, 39, 0.92 
2015,08,13, Method, 16, Mortality, 09, dust2, 19, 17, 1.06 
2015,08,13, Method, 13, Mortality, 16, inferno, 11, 19, 0.64 
2015,08,12, Enemy, 13, Mortality, 16, dust2, 19, 19, 0.97 
2015,08,12, Mortality, 16, Enemy, 06, train, 28, 12, 1.83 
2015,08,12, Enemy, 16, Mortality, 12, cache, 24, 19, 1.14 
2015,08,10, Mortality, 22, AstralAuthority, 20, train, 37, 30, 1.15 
2015,08,10, Mortality, 13, AstralAuthority, 16, cache, 19, 23, 0.84 
2015,08,10, AstralAuthority, 12, Mortality, 16, inferno, 28, 15, 1.48 
