2016,04,21, dignitas, 14, SpaceSoldiers, 16, inferno, 18, 19, 0.94 
2016,04,20, FlipSid3, 07, dignitas, 16, cobblestone, 16, 16, 0.93 
2016,04,20, dignitas, 03, FlipSid3, 16, overpass, 12, 16, 0.72 
2016,04,16, EnVyUs, 16, dignitas, 08, mirage, 24, 20, 1.29 
2016,04,16, dignitas, 12, EnVyUs, 16, inferno, 24, 15, 1.41 
2016,04,13, dignitas, 16, Astralis, 09, cache, 14, 18, 0.84 
2016,04,12, NiP, 02, dignitas, 16, overpass, 15, 09, 1.27 
2016,04,10, dignitas, 16, FlipSid3, 08, inferno, 09, 16, 0.63 
2016,04,10, dignitas, 13, FlipSid3, 16, overpass, 24, 19, 1.21 
2016,04,10, FlipSid3, 08, dignitas, 16, mirage, 26, 12, 1.68 
2016,04,10, dignitas, 16, Virtus.pro, 14, mirage, 18, 23, 0.75 
2016,04,10, Virtus.pro, 16, dignitas, 04, cache, 06, 18, 0.42 
2016,04,10, Virtus.pro, 13, dignitas, 16, cobblestone, 35, 18, 1.60 
2016,04,07, dignitas, 16, EnVyUs, 07, inferno, 12, 13, 0.92 
2016,04,07, EnVyUs, 14, dignitas, 16, mirage, 16, 25, 0.66 
2016,04,06, HellRaisers, 09, dignitas, 16, inferno, 25, 11, 1.59 
2016,04,06, dignitas, 19, HellRaisers, 17, cache, 24, 26, 0.93 
2016,04,06, dignitas, 16, XPC, 04, overpass, 19, 12, 1.32 
2016,04,06, XPC, 15, dignitas, 19, mirage, 45, 20, 2.06 
2016,03,25, E-frag.net, 16, dignitas, 14, overpass, 19, 19, 0.94 
2016,03,25, E-frag.net, 08, dignitas, 16, mirage, 05, 17, 0.41 
2016,03,25, dignitas, 06, E-frag.net, 16, cache, 12, 22, 0.64 
2016,03,25, Preparation, 14, dignitas, 16, mirage, 16, 19, 0.86 
2016,03,25, Fragsters, 07, dignitas, 16, overpass, 19, 10, 1.43 
2016,03,22, mousesports, 10, dignitas, 16, inferno, 19, 16, 1.10 
2016,03,22, mousesports, 16, dignitas, 19, cobblestone, 25, 21, 1.06 
2016,03,20, dignitas, 05, Astralis, 16, mirage, 08, 19, 0.48 
2016,03,20, dignitas, 11, Astralis, 16, inferno, 16, 21, 0.87 
2016,03,20, AGG, 08, dignitas, 16, cobblestone, 35, 10, 2.20 
2016,03,20, dignitas, 16, AGG, 10, mirage, 22, 15, 1.28 
2016,03,20, AGG, 16, dignitas, 03, train, 08, 18, 0.43 
2016,03,20, dignitas, 16, HellRaisers, 04, mirage, 15, 08, 1.44 
2016,03,20, HellRaisers, 05, dignitas, 16, overpass, 21, 09, 1.61 
2016,03,20, HellRaisers, 16, dignitas, 07, cobblestone, 11, 18, 0.60 
2016,03,20, NewSkillInfinity, 03, dignitas, 16, inferno, 20, 07, 1.67 
2016,03,20, dignitas, 19, NewSkillInfinity, 15, mirage, 29, 25, 1.10 
2016,03,19, fnatic, 16, dignitas, 05, overpass, 08, 17, 0.50 
2016,03,19, dignitas, 06, fnatic, 16, train, 12, 17, 0.69 
2016,03,16, dignitas, 16, DenDD, 11, overpass, 21, 16, 1.15 
2016,03,16, DenDD, 10, dignitas, 16, train, 21, 16, 1.30 
2016,03,16, 0G2, 10, dignitas, 16, overpass, 24, 19, 1.21 
2016,03,16, dignitas, 06, 0G2, 16, inferno, 14, 17, 0.88 
2016,03,15, dignitas, 03, NatusVincere, 16, overpass, 13, 18, 0.71 
2016,03,15, dignitas, 14, NatusVincere, 16, mirage, 24, 17, 1.25 
2016,03,13, dignitas, 03, CSGL, 16, cobblestone, 09, 15, 0.63 
2016,03,13, dignitas, 13, CSGL, 16, cache, 14, 24, 0.58 
2016,03,13, dignitas, 16, TDJSF, 04, cobblestone, 19, 08, 1.43 
2016,03,13, dignitas, 16, TDJSF, 07, cache, 24, 14, 1.42 
2016,03,10, dignitas, 16, fm-eSports, 12, cobblestone, 30, 21, 1.45 
2016,03,10, dignitas, 16, fm-eSports, 04, train, 18, 10, 1.39 
2016,03,09, Team123, 11, dignitas, 16, overpass, 27, 20, 1.37 
2016,03,09, DenDD, 06, dignitas, 16, mirage, 10, 14, 0.73 
2016,02,27, Cloud9, 16, dignitas, 13, cache, 21, 26, 0.87 
2016,02,27, Renegades, 16, dignitas, 09, inferno, 16, 15, 1.07 
2016,02,21, Astralis, 16, dignitas, 12, overpass, 16, 22, 0.71 
2016,02,21, dignitas, 11, Astralis, 16, mirage, 20, 20, 1.02 
2016,02,20, dignitas, 16, Vexed, 05, cobblestone, 11, 10, 0.98 
2016,02,20, fnatic, 19, dignitas, 17, cobblestone, 33, 21, 1.40 
2016,02,19, dignitas, 16, Vexed, 07, mirage, 25, 08, 1.72 
2016,02,19, dignitas, 16, gBots, 14, cobblestone, 32, 19, 1.50 
2016,02,17, NiP, 16, dignitas, 08, mirage, 11, 21, 0.58 
2016,02,17, dignitas, 08, NiP, 16, train, 15, 20, 0.73 
2016,02,15, Virtus.pro, 14, dignitas, 16, overpass, 22, 21, 1.05 
2016,02,15, dignitas, 16, Virtus.pro, 05, mirage, 16, 11, 1.14 
2016,02,07, dignitas, 13, EnVyUs, 16, inferno, 13, 23, 0.62 
2016,02,07, dignitas, 07, EnVyUs, 16, mirage, 12, 17, 0.72 
2016,02,07, dignitas, 04, EnVyUs, 16, cobblestone, 08, 18, 0.44 
2016,02,06, dignitas, 16, CLG, 10, overpass, 22, 15, 1.25 
2016,02,06, dignitas, 16, CLG, 14, cobblestone, 21, 20, 1.01 
2016,02,04, dignitas, 16, EnVyUs, 05, inferno, 12, 10, 1.02 
2016,02,04, dignitas, 16, EnVyUs, 09, cobblestone, 19, 13, 1.21 
2016,02,04, dignitas, 16, FlipSid3, 12, cobblestone, 27, 16, 1.34 
2016,02,04, dignitas, 16, FlipSid3, 13, inferno, 19, 17, 1.13 
2016,01,31, mousesports, 03, dignitas, 16, cobblestone, 19, 09, 1.48 
2016,01,31, mousesports, 09, dignitas, 16, cache, 22, 12, 1.35 
2016,01,23, NatusVincere, 16, dignitas, 09, train, 19, 20, 1.15 
2016,01,23, NatusVincere, 16, dignitas, 13, cobblestone, 25, 20, 1.13 
2016,01,23, dignitas, 16, mousesports, 13, mirage, 22, 20, 1.07 
2016,01,23, mousesports, 04, dignitas, 16, cobblestone, 19, 08, 1.43 
2016,01,22, dignitas, 22, Virtus.pro, 20, cobblestone, 45, 26, 1.58 
2016,01,22, dignitas, 16, Virtus.pro, 07, mirage, 18, 14, 1.15 
2016,01,22, dignitas, 11, Virtus.pro, 16, cache, 21, 20, 1.05 
2016,01,22, dignitas, 09, Astralis, 16, overpass, 15, 16, 0.93 
2016,01,19, CSGL, 09, dignitas, 16, cobblestone, 22, 15, 1.39 
2016,01,19, CSGL, 05, dignitas, 16, mirage, 13, 12, 0.95 
2016,01,11, dignitas, 06, EnVyUs, 16, inferno, 13, 16, 0.77 
2016,01,11, dignitas, 11, EnVyUs, 16, train, 17, 19, 0.88 
2016,01,10, HellRaisers, 14, dignitas, 16, overpass, 20, 19, 0.97 
2016,01,10, HellRaisers, 10, dignitas, 16, cobblestone, 29, 17, 1.48 
2016,01,10, dignitas, 16, unu.AiN, 12, overpass, 29, 19, 1.44 
2016,01,10, dignitas, 16, unu.AiN, 05, train, 21, 10, 1.57 
2016,01,10, dignitas, 16, BLUEJAYS, 06, cobblestone, 26, 11, 1.76 
2016,01,10, dignitas, 16, BLUEJAYS, 03, cache, 19, 10, 1.56 
2016,01,08, dignitas, 22, BX3, 20, overpass, 35, 29, 1.21 
2016,01,08, BX3, 04, dignitas, 16, mirage, 21, 10, 1.75 
2016,01,07, dignitas, 10, EnVyUs, 16, mirage, 16, 24, 0.64 
2016,01,07, EnVyUs, 16, dignitas, 13, train, 19, 20, 0.92 
2015,12,17, 0G2, 07, dignitas, 16, cache, 18, 12, 1.30 
2015,12,17, 0G2, 09, dignitas, 16, overpass, 30, 12, 1.82 
2015,12,15, dignitas, 16, 0SK, 14, cobblestone, 24, 15, 1.25 
2015,12,15, dignitas, 26, 0SK, 23, train, 37, 29, 1.13 
2015,12,14, dignitas, 16, HellRaisers, 05, cobblestone, 19, 11, 1.37 
2015,12,14, HellRaisers, 11, dignitas, 16, inferno, 19, 17, 0.98 
2015,12,14, dignitas, 16, HellRaisers, 21, overpass, 29, 27, 1.11 
2015,12,14, HellRaisers, 16, dignitas, 14, cache, 20, 22, 0.83 
2015,12,14, dignitas, 16, HellRaisers, 13, mirage, 20, 18, 0.93 
2015,12,08, HellRaisers, 04, dignitas, 16, mirage, 16, 11, 1.18 
2015,12,08, HellRaisers, 09, dignitas, 16, overpass, 25, 12, 1.45 
2015,12,07, dignitas, 07, EnVyUs, 16, mirage, 15, 17, 0.88 
2015,12,07, dignitas, 16, EnVyUs, 09, train, 18, 12, 1.19 
2015,12,07, dignitas, 14, EnVyUs, 16, cobblestone, 25, 22, 1.11 
2015,12,04, NoProblem!, 16, OnlineBOTS, 10, cache, 38, 16, 2.14 
2015,12,04, NoProblem!, 16, OnlineBOTS, 03, train, 27, 04, 2.41 
2015,12,04, NoProblem!, 14, OnlineBOTS, 16, overpass, 19, 22, 0.88 
2015,12,01, NatusVincere, 10, dignitas, 16, mirage, 24, 15, 1.38 
2015,12,01, dignitas, 16, NatusVincere, 09, train, 30, 10, 2.05 
2015,12,01, NatusVincere, 21, dignitas, 19, cobblestone, 20, 29, 0.70 
2015,11,30, TSM, 16, dignitas, 12, mirage, 30, 21, 1.45 
2015,11,30, dignitas, 19, TSM, 16, overpass, 30, 22, 1.22 
2015,11,30, TSM, 16, dignitas, 06, inferno, 17, 17, 1.04 
2015,11,30, 0G2, 16, dignitas, 12, cache, 26, 16, 1.35 
2015,11,30, 0G2, 16, dignitas, 14, inferno, 22, 24, 0.95 
2015,11,24, dignitas, 08, fnatic, 16, train, 17, 19, 0.91 
2015,11,24, dignitas, 19, fnatic, 17, cobblestone, 36, 21, 1.42 
2015,11,24, dignitas, 10, fnatic, 16, cache, 12, 21, 0.59 
2015,11,17, PENTA, 10, dignitas, 16, dust2, 23, 16, 1.28 
2015,11,17, Titan, 16, dignitas, 13, overpass, 22, 21, 0.98 
2015,11,17, Virtus.pro, 07, dignitas, 16, cobblestone, 19, 12, 1.18 
2015,11,16, DenDD, 11, dignitas, 16, cobblestone, 28, 16, 1.61 
2015,11,16, DenDD, 16, dignitas, 14, train, 17, 24, 0.77 
2015,11,16, DenDD, 03, dignitas, 16, cache, 23, 08, 1.88 
2015,11,12, fnatic, 16, dignitas, 04, inferno, 16, 17, 0.96 
2015,11,12, Virtus.pro, 04, dignitas, 16, cache, 15, 13, 1.14 
2015,11,08, dignitas, 13, Conquest, 16, cache, 22, 20, 1.05 
2015,11,08, Conquest, 19, dignitas, 22, train, 32, 28, 1.09 
2015,11,08, dignitas, 09, Conquest, 16, cobblestone, 13, 19, 0.72 
2015,11,07, Virtus.pro, 16, dignitas, 11, mirage, 08, 20, 0.46 
2015,11,07, Virtus.pro, 16, dignitas, 13, inferno, 15, 22, 0.75 
2015,11,07, dignitas, 19, Virtus.pro, 17, train, 27, 22, 1.11 
2015,11,07, Liquid, 13, dignitas, 16, cobblestone, 22, 21, 0.94 
2015,11,07, dignitas, 16, Liquid, 08, train, 17, 14, 1.00 
2015,11,03, dignitas, 04, NiP, 16, train, 07, 16, 0.51 
2015,10,29, dignitas, 14, CLG, 16, cobblestone, 20, 22, 0.89 
2015,10,28, EnVyUs, 16, dignitas, 06, cobblestone, 11, 18, 0.65 
2015,10,21, dignitas, 19, FlipSid3, 17, mirage, 24, 21, 1.03 
2015,10,21, dignitas, 16, FlipSid3, 07, inferno, 14, 11, 1.11 
2015,10,20, dignitas, 16, PENTA, 11, mirage, 15, 16, 0.86 
2015,10,19, dignitas, 16, 0SK, 08, cache, 09, 18, 0.54 
2015,10,19, dignitas, 16, HellRaisers, 09, mirage, 26, 13, 1.49 
2015,10,19, dignitas, 05, NatusVincere, 16, overpass, 09, 18, 0.50 
