2016,03,04, Astralis, 16, fnatic, 12, cache, 17, 19, 1.02 
2016,03,04, fnatic, 16, Astralis, 06, overpass, 17, 16, 1.13 
2016,03,03, Astralis, 16, TempoStorm, 12, cache, 14, 20, 0.80 
2016,03,03, FaZe, 05, Astralis, 16, inferno, 21, 09, 1.63 
2016,03,03, Astralis, 16, E-frag.net, 05, mirage, 20, 11, 1.38 
2016,03,03, Virtus.pro, 06, Astralis, 16, overpass, 20, 12, 1.34 
2016,03,03, Astralis, 16, EnVyUs, 11, train, 23, 17, 1.23 
2016,02,25, fnatic, 16, Astralis, 12, train, 29, 18, 1.41 
2016,02,25, fnatic, 16, Astralis, 13, overpass, 21, 20, 1.16 
2016,02,25, Astralis, 02, fnatic, 16, cache, 18, 13, 1.32 
2016,02,24, Astralis, 16, Virtus.pro, 11, cache, 19, 17, 1.11 
2016,02,24, Virtus.pro, 03, Astralis, 16, overpass, 13, 07, 1.21 
2016,02,21, fnatic, 16, Astralis, 13, inferno, 18, 21, 0.94 
2016,02,21, Astralis, 14, fnatic, 16, dust2, 16, 18, 0.93 
2016,02,21, Astralis, 16, dignitas, 12, overpass, 33, 15, 1.88 
2016,02,21, dignitas, 11, Astralis, 16, mirage, 19, 19, 0.98 
2016,02,20, 0G2, 16, Astralis, 13, dust2, 20, 22, 0.95 
2016,02,20, Astralis, 16, EnVyUs, 09, mirage, 25, 11, 1.55 
2016,02,19, Astralis, 16, x6tence, 02, mirage, 16, 07, 1.56 
2016,02,19, 0G2, 17, Astralis, 19, dust2, 28, 23, 1.22 
2016,02,16, Astralis, 16, FlipSid3, 07, overpass, 27, 10, 2.00 
2016,02,16, FlipSid3, 07, Astralis, 16, mirage, 25, 12, 1.70 
2016,02,10, 0G2, 16, Astralis, 08, cache, 20, 18, 1.12 
2016,02,10, Astralis, 16, 0G2, 10, inferno, 20, 20, 0.90 
2016,02,09, Astralis, 14, NatusVincere, 16, overpass, 31, 19, 1.51 
2016,02,09, NatusVincere, 13, Astralis, 16, mirage, 20, 18, 1.09 
2016,02,07, Astralis, 16, CLG, 04, dust2, 25, 09, 1.87 
2016,02,07, CLG, 03, Astralis, 16, overpass, 13, 11, 1.04 
2016,02,06, Astralis, 08, EnVyUs, 16, mirage, 18, 16, 1.24 
2016,02,06, Astralis, 16, EnVyUs, 13, overpass, 23, 18, 1.21 
2016,02,06, Astralis, 13, EnVyUs, 16, cache, 12, 21, 0.59 
2016,02,05, Astralis, 19, 0G2, 15, cache, 30, 21, 1.17 
2016,02,05, 0G2, 16, Astralis, 13, overpass, 21, 21, 1.03 
2016,02,05, 0G2, 11, Astralis, 16, train, 18, 14, 1.16 
2016,02,05, Method, 04, Astralis, 16, overpass, 21, 08, 1.63 
2016,02,05, Astralis, 16, Method, 02, mirage, 16, 07, 1.40 
2016,01,23, Astralis, 12, Luminosity, 16, overpass, 11, 24, 0.49 
2016,01,23, Astralis, 08, Luminosity, 16, train, 15, 16, 0.84 
2016,01,22, Astralis, 22, mousesports, 19, mirage, 31, 28, 1.16 
2016,01,22, dignitas, 09, Astralis, 16, overpass, 25, 12, 1.56 
2016,01,15, 00?, 13, NatusVincere, 16, mirage, 22, 21, 1.16 
2016,01,15, 00?, 16, NatusVincere, 11, overpass, 22, 17, 1.24 
2016,01,15, 00?, 04, NatusVincere, 16, dust2, 07, 18, 0.43 
2016,01,14, fnatic, 16, 00?, 07, inferno, 09, 22, 0.44 
2016,01,14, fnatic, 08, 00?, 16, mirage, 17, 13, 1.18 
2016,01,14, 00?, 10, fnatic, 16, dust2, 17, 19, 0.90 
2016,01,14, 00?, 13, EnVyUs, 16, inferno, 22, 22, 0.97 
2016,01,14, EnVyUs, 16, 00?, 14, mirage, 18, 17, 0.95 
2016,01,14, 00?, 16, ex-Titan, 14, train, 21, 15, 1.17 
2016,01,14, 00?, 16, ex-Titan, 07, dust2, 22, 09, 1.57 
2016,01,12, EnVyUs, 07, 00?, 16, cache, 17, 12, 1.21 
2016,01,12, EnVyUs, 05, 00?, 16, overpass, 15, 14, 0.98 
2016,01,11, 00?, 16, Titan, 07, dust2, 18, 13, 1.16 
2016,01,11, Titan, 21, 00?, 17, train, 30, 26, 1.15 
2016,01,11, Titan, 19, 00?, 21, overpass, 17, 32, 0.58 
2016,01,09, 00?, 19, Vexed, 17, train, 25, 19, 1.13 
2016,01,09, 00?, 16, Vexed, 03, overpass, 14, 12, 1.01 
2016,01,08, 00?, 16, PENTA, 02, cache, 15, 10, 1.25 
2016,01,08, PENTA, 05, 00?, 16, mirage, 26, 09, 2.00 
2015,12,17, 00?, 16, EnVyUs, 13, train, 12, 23, 0.53 
2015,12,17, 00?, 16, EnVyUs, 10, inferno, 16, 18, 0.90 
2015,12,13, fnatic, 16, 00?, 14, mirage, 26, 16, 1.45 
2015,12,13, fnatic, 16, 00?, 12, inferno, 23, 17, 1.15 
2015,12,11, NatusVincere, 13, 00?, 16, inferno, 18, 21, 0.84 
2015,12,11, 00?, 16, NatusVincere, 12, train, 24, 14, 1.46 
2015,12,11, CLG, 06, 00?, 16, inferno, 27, 10, 1.89 
2015,12,11, CLG, 12, 00?, 16, mirage, 27, 14, 1.50 
2015,12,07, E-frag.net, 12, 00?, 16, cache, 24, 20, 1.11 
2015,12,07, 00?, 16, E-frag.net, 06, overpass, 17, 11, 1.26 
2015,12,05, 0SK, 16, 00?, 02, cache, 02, 17, 0.14 
2015,12,05, 0SK, 16, 00?, 13, mirage, 24, 21, 1.18 
2015,12,05, 00?, 16, 0SK, 09, train, 19, 14, 1.04 
2015,12,04, fnatic, 16, 00?, 10, mirage, 17, 18, 0.89 
2015,12,04, 00?, 11, fnatic, 16, cache, 22, 19, 1.16 
2015,12,02, TSM, 10, 0G2, 16, mirage, 14, 20, 0.73 
2015,12,02, TSM, 14, 0G2, 16, inferno, 29, 20, 1.33 
2015,12,02, TSM, 19, DenDD, 16, overpass, 23, 20, 1.03 
2015,12,02, TSM, 11, DenDD, 16, inferno, 20, 17, 1.09 
2015,12,02, TSM, 16, DenDD, 09, cache, 14, 19, 0.76 
2015,12,01, TSM, 16, E-frag.net, 05, inferno, 13, 13, 0.97 
2015,12,01, E-frag.net, 09, TSM, 16, overpass, 24, 14, 1.44 
2015,12,01, TSM, 05, E-frag.net, 16, dust2, 13, 15, 0.86 
2015,11,30, TSM, 16, dignitas, 12, mirage, 14, 20, 0.71 
2015,11,30, dignitas, 19, TSM, 16, overpass, 21, 28, 0.76 
2015,11,30, TSM, 16, dignitas, 06, inferno, 17, 14, 1.15 
2015,11,28, TSM, 17, Luminosity, 21, inferno, 17, 28, 0.70 
2015,11,28, TSM, 06, Luminosity, 16, overpass, 13, 19, 0.71 
2015,11,28, TSM, 16, Luminosity, 05, mirage, 14, 13, 0.98 
2015,11,26, Virtus.pro, 13, TSM, 16, mirage, 18, 22, 0.86 
2015,11,26, Liquid, 00, TSM, 16, overpass, 28, 06, 2.62 
2015,11,23, NatusVincere, 16, TSM, 08, cobblestone, 14, 19, 0.75 
2015,11,23, TSM, 10, NatusVincere, 16, dust2, 16, 19, 0.85 
2015,11,22, TSM, 16, 0G2, 06, mirage, 18, 11, 1.28 
2015,11,22, 0G2, 07, TSM, 16, overpass, 24, 14, 1.59 
2015,11,22, TSM, 05, 0G2, 16, cache, 13, 18, 0.72 
2015,11,21, Cloud9, 05, TSM, 16, dust2, 19, 12, 1.44 
2015,11,21, Cloud9, 16, TSM, 14, cache, 24, 21, 1.16 
2015,11,21, TSM, 16, Cloud9, 11, overpass, 24, 17, 1.30 
2015,11,18, TSM, 14, fnatic, 16, inferno, 23, 22, 1.03 
2015,11,18, TSM, 11, fnatic, 16, dust2, 20, 21, 0.95 
2015,11,17, EnVyUs, 16, TSM, 12, cobblestone, 22, 21, 1.03 
2015,11,17, mousesports, 07, TSM, 16, cache, 18, 15, 1.16 
2015,11,17, HellRaisers, 04, TSM, 16, dust2, 25, 13, 1.82 
2015,11,17, TSM, 22, HellRaisers, 19, overpass, 32, 31, 0.99 
2015,11,03, TSM, 16, 0SK, 11, overpass, 27, 21, 1.47 
2015,11,03, TSM, 16, HellRaisers, 14, cache, 23, 19, 1.13 
2015,11,03, HellRaisers, 11, TSM, 16, inferno, 20, 17, 1.11 
2015,10,31, TSM, 08, NiP, 16, dust2, 14, 20, 0.82 
2015,10,31, NiP, 16, TSM, 10, train, 16, 18, 0.92 
2015,10,29, TSM, 16, 0G2, 06, dust2, 15, 14, 1.02 
2015,10,28, FlipSid3, 06, TSM, 16, cache, 17, 12, 1.20 
2015,10,25, TSM, 16, LDLCWhite, 14, inferno, 21, 22, 0.96 
2015,10,25, LDLCWhite, 05, TSM, 16, overpass, 16, 12, 1.21 
2015,10,24, TSM, 16, EnVyUs, 09, inferno, 25, 17, 1.37 
2015,10,24, TSM, 16, Virtus.pro, 03, overpass, 25, 06, 2.09 
2015,10,22, TSM, 20, fnatic, 22, mirage, 30, 28, 0.98 
2015,10,22, TSM, 16, GreyFace, 11, dust2, 23, 19, 1.13 
2015,10,22, GreyFace, 06, TSM, 16, overpass, 12, 14, 0.78 
2015,10,21, TSM, 05, Virtus.pro, 16, overpass, 18, 15, 1.17 
2015,10,20, TSM, 13, EnVyUs, 16, mirage, 28, 22, 1.32 
2015,10,20, TSM, 16, PENTA, 01, cobblestone, 14, 10, 1.19 
2015,10,20, Virtus.pro, 11, TSM, 16, mirage, 17, 18, 1.01 
2015,10,19, TSM, 16, Titan, 05, inferno, 15, 14, 1.01 
2015,10,19, Titan, 12, TSM, 16, dust2, 26, 21, 1.44 
2015,10,18, TSM, 16, dignitas, 06, mirage, 24, 08, 1.69 
2015,10,18, TSM, 19, NatusVincere, 16, cache, 27, 24, 1.10 
2015,10,18, HellRaisers, 16, TSM, 08, cache, 20, 20, 1.07 
2015,10,18, HellRaisers, 06, TSM, 16, mirage, 17, 09, 1.34 
2015,10,17, PENTA, 03, TSM, 16, inferno, 20, 08, 1.75 
2015,10,15, NiP, 16, TSM, 09, inferno, 11, 21, 0.57 
2015,10,15, NiP, 16, TSM, 12, cache, 21, 22, 1.13 
2015,10,15, TSM, 16, NiP, 13, dust2, 20, 24, 0.94 
2015,10,15, TSM, 16, mousesports, 13, dust2, 27, 21, 1.22 
2015,10,15, Titan, 13, TSM, 16, cobblestone, 22, 23, 0.94 
2015,10,14, TSM, 13, NiP, 16, dust2, 28, 23, 1.34 
2015,10,14, Titan, 05, TSM, 16, overpass, 16, 12, 1.07 
2015,10,14, TSM, 16, ttc, 08, overpass, 27, 13, 1.60 
2015,10,14, TSM, 16, ttc, 07, cache, 18, 15, 1.04 
2015,10,13, TSM, 16, fnatic, 03, dust2, 25, 12, 1.80 
2015,10,13, 0G2, 19, TSM, 21, dust2, 27, 30, 0.94 
2015,10,13, Torpedo, 04, TSM, 16, overpass, 27, 07, 2.04 
2015,10,13, TSM, 19, Torpedo, 15, cache, 31, 20, 1.30 
2015,10,08, TSM, 16, dignitas, 03, dust2, 25, 07, 1.92 
2015,10,06, NiP, 10, TSM, 16, cobblestone, 22, 18, 1.29 
2015,10,06, TSM, 16, Titan, 05, overpass, 23, 11, 1.61 
2015,10,06, TSM, 16, HellRaisers, 05, overpass, 25, 10, 1.81 
2015,10,04, Virtus.pro, 12, TSM, 16, overpass, 21, 16, 1.12 
2015,10,04, TSM, 16, Virtus.pro, 12, train, 26, 17, 1.34 
2015,10,03, TSM, 16, Virtus.pro, 14, train, 25, 14, 1.34 
2015,10,03, Virtus.pro, 12, TSM, 16, inferno, 26, 20, 1.36 
2015,10,02, fnatic, 10, TSM, 16, dust2, 29, 14, 1.62 
2015,10,02, TSM, 16, fnatic, 14, inferno, 19, 19, 0.93 
2015,09,30, TSM, 16, Virtus.pro, 11, cache, 26, 17, 1.34 
2015,09,30, TSM, 16, 0G2, 05, dust2, 18, 12, 1.34 
2015,09,29, NiP, 12, TSM, 16, dust2, 17, 19, 0.85 
2015,09,29, TSM, 16, EnVyUs, 13, dust2, 25, 17, 1.30 
2015,09,29, TSM, 16, EnVyUs, 09, cache, 26, 12, 1.92 
2015,09,24, TSM, 16, Virtus.pro, 03, train, 16, 12, 1.13 
2015,09,24, TSM, 16, Virtus.pro, 11, overpass, 23, 16, 1.26 
2015,09,22, TSM, 16, NiP, 05, train, 13, 14, 0.90 
2015,09,22, NatusVincere, 16, TSM, 10, train, 07, 23, 0.39 
2015,09,20, TSM, 13, EnVyUs, 16, inferno, 22, 17, 1.25 
2015,09,20, TSM, 13, EnVyUs, 16, dust2, 18, 20, 0.91 
2015,09,20, dignitas, 14, TSM, 16, overpass, 20, 17, 1.03 
2015,09,20, TSM, 16, dignitas, 06, mirage, 15, 13, 0.98 
2015,09,19, 0G2, 08, TSM, 16, dust2, 24, 17, 1.32 
2015,09,19, CPHWolves, 05, TSM, 16, overpass, 17, 09, 1.36 
2015,09,17, fnatic, 16, TSM, 09, train, 18, 19, 1.10 
2015,09,16, Poland, 10, Denmark, 16, cache, 25, 16, 1.36 
2015,09,16, Titan, 17, TSM, 21, dust2, 39, 26, 1.37 
2015,09,16, fnatic, 16, TSM, 09, inferno, 11, 22, 0.54 
2015,09,16, TSM, 16, 0SK, 04, dust2, 23, 09, 1.64 
2015,09,15, TSM, 12, EnVyUs, 16, inferno, 21, 21, 1.18 
2015,09,15, TSM, 16, HellRaisers, 09, overpass, 17, 17, 1.06 
2015,09,12, Virtus.pro, 16, TSM, 14, mirage, 20, 23, 0.81 
2015,09,12, Virtus.pro, 16, TSM, 07, cobblestone, 16, 17, 0.92 
2015,09,12, TSM, 16, Virtus.pro, 03, dust2, 22, 09, 1.64 
2015,09,12, Virtus.pro, 16, TSM, 07, train, 21, 18, 1.14 
2015,09,12, TSM, 16, Virtus.pro, 13, overpass, 24, 18, 1.12 
2015,09,11, NiP, 10, TSM, 16, inferno, 28, 17, 1.47 
2015,09,11, TSM, 16, NiP, 08, mirage, 20, 15, 1.20 
2015,09,11, TSM, 07, NiP, 16, dust2, 16, 19, 0.98 
2015,09,10, fnatic, 17, TSM, 19, dust2, 27, 25, 1.10 
2015,09,10, NatusVincere, 10, TSM, 16, overpass, 18, 14, 1.09 
2015,09,05, fnatic, 16, TSM, 09, inferno, 18, 21, 0.87 
2015,09,05, TSM, 13, fnatic, 16, mirage, 30, 20, 1.42 
2015,09,05, TSM, 16, fnatic, 06, train, 21, 13, 1.37 
2015,09,05, TSM, 10, fnatic, 16, dust2, 21, 22, 1.09 
2015,09,05, fnatic, 16, TSM, 12, cobblestone, 16, 18, 0.83 
2015,09,04, TSM, 21, Kinguin, 18, mirage, 31, 28, 1.06 
2015,09,04, Kinguin, 15, TSM, 21, dust2, 29, 26, 1.09 
2015,09,04, TSM, 07, Kinguin, 16, train, 07, 21, 0.35 
2015,09,03, TSM, 16, NatusVincere, 10, dust2, 25, 12, 1.56 
2015,09,03, TSM, 16, mousesports, 07, overpass, 19, 11, 1.37 
2015,09,02, TSM, 16, NatusVincere, 11, overpass, 20, 18, 1.23 
2015,09,02, TSM, 16, NatusVincere, 09, dust2, 21, 15, 1.26 
2015,08,28, Virtus.pro, 16, TSM, 12, mirage, 14, 20, 0.71 
2015,08,28, TSM, 12, Virtus.pro, 16, cache, 23, 21, 1.18 
2015,08,28, Virtus.pro, 06, TSM, 16, overpass, 19, 10, 1.32 
2015,08,28, TSM, 14, Virtus.pro, 16, train, 26, 22, 1.17 
2015,08,28, Virtus.pro, 13, TSM, 16, inferno, 17, 16, 0.98 
2015,08,27, TSM, 12, NatusVincere, 16, overpass, 19, 22, 0.89 
2015,08,27, NatusVincere, 16, TSM, 04, dust2, 13, 18, 0.74 
2015,08,27, TSM, 16, NatusVincere, 12, mirage, 20, 17, 1.06 
2015,08,26, Kinguin, 12, TSM, 16, dust2, 23, 19, 1.13 
2015,08,26, TSM, 16, Kinguin, 05, train, 16, 12, 1.10 
2015,08,23, TSM, 09, EnVyUs, 16, inferno, 15, 14, 0.95 
2015,08,23, EnVyUs, 08, TSM, 16, dust2, 18, 09, 1.31 
2015,08,23, TSM, 12, EnVyUs, 16, cache, 20, 19, 1.07 
2015,08,22, Kinguin, 08, TSM, 16, overpass, 19, 11, 1.27 
2015,08,22, TSM, 16, Kinguin, 06, dust2, 16, 14, 1.09 
2015,08,20, NiP, 03, TSM, 16, cache, 20, 07, 1.94 
2015,08,20, TSM, 16, Renegades, 11, train, 22, 15, 1.28 
2015,08,13, TSM, 16, fnatic, 10, dust2, 26, 13, 1.53 
2015,08,13, TSM, 16, fnatic, 04, inferno, 16, 10, 1.22 
2015,08,10, PENTA, 05, TSM, 16, train, 21, 08, 1.56 
2015,08,10, TSM, 16, PENTA, 08, mirage, 17, 14, 1.08 
2015,08,08, EnVyUs, 16, TSM, 12, inferno, 17, 18, 0.90 
2015,08,08, TSM, 09, EnVyUs, 16, cobblestone, 13, 20, 0.69 
2015,08,08, TSM, 03, EnVyUs, 16, cache, 13, 17, 0.90 
2015,08,08, TSM, 16, Renegades, 04, dust2, 17, 08, 1.34 
2015,08,07, TSM, 16, 0SK, 06, overpass, 20, 10, 1.49 
2015,08,07, 0SK, 15, TSM, 19, cobblestone, 22, 23, 0.97 
2015,08,07, CLG, 07, TSM, 16, inferno, 38, 11, 2.58 
2015,08,06, mousesports, 08, TSM, 16, dust2, 27, 11, 1.74 
2015,08,06, CLG, 12, TSM, 16, train, 31, 18, 1.73 
2015,08,05, TSM, 16, Renegades, 06, mirage, 19, 09, 1.34 
2015,08,05, EnVyUs, 16, TSM, 11, cobblestone, 12, 22, 0.57 
2015,07,31, TSM, 14, HellRaisers, 16, mirage, 18, 16, 0.89 
2015,07,31, TSM, 10, HellRaisers, 16, dust2, 15, 21, 0.73 
2015,07,30, TSM, 08, E-frag.net, 16, overpass, 15, 18, 0.87 
2015,07,30, TSM, 12, E-frag.net, 16, mirage, 19, 21, 0.92 
2015,07,30, E-frag.net, 04, TSM, 16, inferno, 19, 08, 1.52 
2015,07,18, TSM, 16, Cloud9, 02, mirage, 20, 06, 1.70 
2015,07,18, TSM, 16, Cloud9, 14, cache, 21, 16, 1.10 
2015,07,18, TSM, 16, NatusVincere, 05, dust2, 16, 09, 1.24 
2015,07,18, TSM, 16, NatusVincere, 05, train, 20, 11, 1.52 
2015,07,18, NatusVincere, 16, TSM, 06, mirage, 14, 20, 0.74 
2015,07,16, TSM, 16, fnatic, 10, overpass, 29, 15, 1.57 
2015,07,16, TSM, 16, NiP, 13, mirage, 19, 20, 0.94 
2015,07,02, fnatic, 16, TSM, 14, overpass, 17, 19, 0.87 
2015,07,02, TSM, 12, KeydStars, 16, inferno, 20, 22, 0.94 
2015,06,30, TSM, 16, NiP, 05, cache, 24, 10, 1.66 
2015,06,30, TSM, 16, Titan, 03, mirage, 14, 09, 1.14 
2015,06,30, TSM, 12, FlipSid3, 16, overpass, 20, 19, 1.00 
2015,06,29, TSM, 03, fnatic, 16, cache, 08, 17, 0.44 
2015,06,29, TSM, 16, EnVyUs, 13, inferno, 29, 14, 1.54 
2015,06,29, TSM, 14, NatusVincere, 16, mirage, 21, 22, 0.94 
2015,06,29, NatusVincere, 06, TSM, 16, overpass, 20, 12, 1.47 
2015,06,24, TSM, 16, GPlay, 02, mirage, 21, 09, 1.67 
2015,06,24, TSM, 16, GPlay, 13, inferno, 16, 19, 0.86 
2015,06,24, Titan, 16, TSM, 14, dust2, 23, 18, 1.16 
2015,06,21, mousesports, 05, TSM, 16, overpass, 18, 09, 1.49 
2015,06,21, TSM, 14, mousesports, 16, cache, 21, 22, 1.07 
2015,06,16, EnVyUs, 16, TSM, 13, dust2, 19, 22, 0.84 
2015,06,16, HellRaisers, 07, TSM, 16, overpass, 14, 12, 0.97 
2015,06,16, TSM, 16, HellRaisers, 02, train, 25, 08, 2.13 
2015,06,15, TSM, 16, HellRaisers, 12, cobblestone, 22, 14, 1.26 
2015,06,10, TSM, 19, HellRaisers, 16, mirage, 27, 27, 0.97 
2015,06,10, Virtus.pro, 10, TSM, 16, overpass, 25, 16, 1.36 
2015,06,10, TSM, 16, NiP, 07, mirage, 27, 14, 1.70 
2015,06,09, NiP, 04, TSM, 16, cache, 24, 09, 1.89 
2015,06,09, PENTA, 02, TSM, 16, overpass, 18, 11, 1.44 
2015,06,09, TSM, 16, PENTA, 06, train, 21, 12, 1.43 
2015,06,08, TSM, 16, FlipSid3, 10, train, 15, 15, 0.94 
2015,06,08, Titan, 02, TSM, 01, dust2, 03, 02, 1.30 
2015,06,07, fnatic, 07, TSM, 16, dust2, 19, 13, 1.25 
2015,06,07, TSM, 16, fnatic, 11, inferno, 23, 18, 1.18 
2015,06,07, fnatic, 16, TSM, 07, mirage, 14, 18, 0.79 
2015,06,07, fnatic, 05, TSM, 16, cobblestone, 19, 10, 1.40 
2015,06,07, TSM, 19, NatusVincere, 17, inferno, 31, 22, 1.19 
2015,06,07, NatusVincere, 17, TSM, 19, overpass, 29, 22, 1.22 
2015,06,06, fnatic, 16, TSM, 08, inferno, 14, 16, 0.93 
2015,06,06, fnatic, 16, TSM, 08, cache, 13, 22, 0.59 
2015,06,06, fnatic, 17, TSM, 19, mirage, 28, 24, 1.14 
2015,06,06, HellRaisers, 23, TSM, 25, cache, 40, 32, 1.20 
2015,06,06, TSM, 16, HellRaisers, 06, mirage, 26, 09, 1.76 
2015,06,04, mousesports, 16, TSM, 05, dust2, 17, 17, 1.03 
2015,06,04, TSM, 17, mousesports, 19, mirage, 30, 25, 1.07 
