2016,02,11, mousesports, 21, LDLCWhite, 18, dust2, 26, 27, 0.96 
2016,02,09, Granted, 08, Platinium, 16, inferno, 11, 16, 0.68 
2016,02,09, Platinium, 16, Granted, 11, mirage, 11, 10, 0.98 
2016,02,06, LDLCWhite, 16, ENCE, 07, cache, 21, 13, 1.45 
2016,02,06, LDLCWhite, 16, ENCE, 10, dust2, 23, 16, 1.25 
2016,02,06, LDLCWhite, 16, LDLCBlue, 09, mirage, 27, 12, 1.56 
2016,02,06, LDLCBlue, 02, LDLCWhite, 16, cobblestone, 19, 10, 1.57 
2016,02,05, EpiphanyBolt, 13, LDLCWhite, 16, inferno, 27, 17, 1.44 
2016,02,05, EpiphanyBolt, 01, LDLCWhite, 16, dust2, 20, 07, 1.80 
2016,02,05, ENCE, 16, LDLCWhite, 14, cobblestone, 31, 22, 1.33 
2016,02,05, EpiphanyBolt, 14, LDLCWhite, 16, cobblestone, 24, 19, 1.14 
2016,01,29, 0CG, 16, LDLCWhite, 13, cache, 28, 18, 1.38 
2016,01,29, LDLCWhite, 13, PENTA, 16, cache, 25, 20, 1.31 
2016,01,10, LDLCWhite, 07, unu.AiN, 16, inferno, 11, 20, 0.61 
2016,01,10, unu.AiN, 16, LDLCWhite, 02, cobblestone, 08, 18, 0.44 
2016,01,06, LDLCWhite, 16, Pulse, 05, overpass, 13, 13, 0.94 
2016,01,06, Pulse, 04, LDLCWhite, 16, cache, 22, 12, 1.59 
2015,12,15, Titan, 16, LDLCWhite, 12, cobblestone, 17, 19, 0.85 
2015,12,15, Titan, 02, LDLCWhite, 16, cache, 15, 08, 1.38 
2015,12,15, LDLCWhite, 08, Titan, 16, dust2, 08, 21, 0.45 
2015,12,10, CSGL, 16, LDLCWhite, 08, cobblestone, 09, 19, 0.51 
2015,12,10, LDLCWhite, 05, CSGL, 16, cache, 21, 19, 1.41 
2015,12,03, PENTA, 16, LDLCWhite, 09, dust2, 11, 20, 0.60 
2015,12,03, PENTA, 19, LDLCWhite, 17, cobblestone, 20, 24, 0.91 
2015,12,03, LDLCWhite, 06, mousesports, 16, mirage, 09, 18, 0.54 
2015,12,03, mousesports, 14, LDLCWhite, 16, dust2, 24, 20, 1.23 
2015,11,25, LDLCWhite, 01, unu.AiN, 16, cobblestone, 08, 16, 0.48 
2015,11,25, LDLCWhite, 16, unu.AiN, 11, inferno, 17, 14, 1.05 
2015,11,25, LDLCWhite, 14, unu.AiN, 16, dust2, 17, 20, 0.98 
2015,11,11, LDLCWhite, 08, LondonConspiracy, 16, cache, 14, 17, 0.77 
