2016,03,12, EnVyUs, 10, Astralis, 16, train, 22, 14, 1.28 
2016,03,08, Astralis, 16, mousesports, 04, dust2, 29, 02, 2.53 
2016,03,08, Astralis, 16, mousesports, 12, mirage, 15, 20, 0.76 
2016,03,04, fnatic, 16, Astralis, 07, inferno, 14, 17, 0.85 
2016,03,04, Astralis, 16, fnatic, 12, cache, 18, 18, 0.91 
2016,03,04, fnatic, 16, Astralis, 06, overpass, 17, 17, 0.94 
2016,03,03, Astralis, 16, TempoStorm, 12, cache, 20, 17, 1.17 
2016,03,03, FaZe, 05, Astralis, 16, inferno, 18, 11, 1.22 
2016,03,03, Astralis, 16, E-frag.net, 05, mirage, 14, 09, 1.16 
2016,03,03, Virtus.pro, 06, Astralis, 16, overpass, 09, 13, 0.73 
2016,03,03, Astralis, 16, EnVyUs, 11, train, 23, 15, 1.33 
2016,02,25, fnatic, 16, Astralis, 12, train, 16, 21, 0.78 
2016,02,25, fnatic, 16, Astralis, 13, overpass, 24, 21, 1.24 
2016,02,25, Astralis, 02, fnatic, 16, cache, 11, 16, 0.63 
2016,02,24, Astralis, 16, Virtus.pro, 11, cache, 18, 17, 0.97 
2016,02,24, Virtus.pro, 03, Astralis, 16, overpass, 19, 07, 1.50 
2016,02,21, fnatic, 16, Astralis, 13, inferno, 18, 22, 0.88 
2016,02,21, Astralis, 14, fnatic, 16, dust2, 20, 19, 1.01 
2016,02,21, Astralis, 16, dignitas, 12, overpass, 15, 21, 0.76 
2016,02,21, dignitas, 11, Astralis, 16, mirage, 23, 14, 1.34 
2016,02,20, 0G2, 16, Astralis, 13, dust2, 12, 26, 0.51 
2016,02,20, Astralis, 16, EnVyUs, 09, mirage, 17, 16, 0.95 
2016,02,19, Astralis, 16, x6tence, 02, mirage, 14, 07, 1.37 
2016,02,19, 0G2, 17, Astralis, 19, dust2, 30, 23, 1.25 
2016,02,16, Astralis, 16, FlipSid3, 07, overpass, 19, 10, 1.33 
2016,02,16, FlipSid3, 07, Astralis, 16, mirage, 24, 11, 1.63 
2016,02,10, 0G2, 16, Astralis, 08, cache, 18, 19, 0.94 
2016,02,10, Astralis, 16, 0G2, 10, inferno, 20, 16, 1.07 
2016,02,09, Astralis, 14, NatusVincere, 16, overpass, 14, 24, 0.63 
2016,02,09, NatusVincere, 13, Astralis, 16, mirage, 21, 19, 0.99 
2016,02,07, Astralis, 16, CLG, 04, dust2, 22, 08, 1.70 
2016,02,07, CLG, 03, Astralis, 16, overpass, 17, 10, 1.32 
2016,02,06, Astralis, 08, EnVyUs, 16, mirage, 12, 19, 0.68 
2016,02,06, Astralis, 16, EnVyUs, 13, overpass, 24, 15, 1.23 
2016,02,06, Astralis, 13, EnVyUs, 16, cache, 27, 21, 1.32 
2016,02,05, Astralis, 19, 0G2, 15, cache, 23, 24, 0.92 
2016,02,05, 0G2, 16, Astralis, 13, overpass, 11, 22, 0.55 
2016,02,05, 0G2, 11, Astralis, 16, train, 27, 16, 1.45 
2016,02,05, Method, 04, Astralis, 16, overpass, 16, 09, 1.26 
2016,02,05, Astralis, 16, Method, 02, mirage, 13, 09, 1.20 
2016,01,23, Astralis, 12, Luminosity, 16, overpass, 15, 20, 0.78 
2016,01,23, Astralis, 08, Luminosity, 16, train, 14, 19, 0.80 
2016,01,22, Astralis, 22, mousesports, 19, mirage, 29, 33, 0.95 
2016,01,22, dignitas, 09, Astralis, 16, overpass, 16, 13, 1.07 
2016,01,15, 00?, 13, NatusVincere, 16, mirage, 20, 24, 0.90 
2016,01,15, 00?, 16, NatusVincere, 11, overpass, 18, 15, 0.98 
2016,01,15, 00?, 04, NatusVincere, 16, dust2, 08, 19, 0.43 
2016,01,14, fnatic, 16, 00?, 07, inferno, 14, 16, 1.03 
2016,01,14, fnatic, 08, 00?, 16, mirage, 16, 13, 1.00 
2016,01,14, 00?, 10, fnatic, 16, dust2, 14, 14, 0.92 
2016,01,14, 00?, 13, EnVyUs, 16, inferno, 20, 21, 1.00 
2016,01,14, EnVyUs, 16, 00?, 14, mirage, 19, 20, 0.90 
2016,01,14, 00?, 16, ex-Titan, 14, train, 22, 19, 1.01 
2016,01,14, 00?, 16, ex-Titan, 07, dust2, 22, 08, 1.53 
2016,01,12, EnVyUs, 07, 00?, 16, cache, 22, 14, 1.42 
2016,01,12, EnVyUs, 05, 00?, 16, overpass, 13, 10, 1.00 
2016,01,11, 00?, 16, Titan, 07, dust2, 25, 10, 1.67 
2016,01,11, Titan, 21, 00?, 17, train, 20, 28, 0.76 
2016,01,11, Titan, 19, 00?, 21, overpass, 29, 27, 1.02 
2016,01,09, 00?, 19, Vexed, 17, train, 34, 23, 1.29 
2016,01,09, 00?, 16, Vexed, 03, overpass, 18, 07, 1.52 
2016,01,08, 00?, 16, PENTA, 02, cache, 11, 07, 1.17 
2016,01,08, PENTA, 05, 00?, 16, mirage, 15, 10, 1.08 
2015,12,18, dignitas, 06, CSGL, 16, overpass, 09, 18, 0.60 
2015,12,18, CSGL, 16, dignitas, 12, train, 16, 19, 0.82 
2015,12,18, dignitas, 16, CSGL, 09, cache, 24, 14, 1.44 
2015,12,17, 00?, 16, EnVyUs, 13, train, 20, 18, 0.97 
2015,12,17, 00?, 16, EnVyUs, 10, inferno, 19, 13, 1.15 
2015,12,13, fnatic, 16, 00?, 14, mirage, 15, 16, 0.86 
2015,12,13, fnatic, 16, 00?, 12, inferno, 17, 20, 0.86 
2015,12,11, NatusVincere, 13, 00?, 16, inferno, 22, 21, 1.10 
2015,12,11, 00?, 16, NatusVincere, 12, train, 14, 19, 0.74 
2015,12,11, CLG, 06, 00?, 16, inferno, 13, 12, 0.94 
2015,12,11, CLG, 12, 00?, 16, mirage, 16, 16, 0.91 
2015,12,07, E-frag.net, 12, 00?, 16, cache, 14, 17, 0.78 
2015,12,07, 00?, 16, E-frag.net, 06, overpass, 25, 11, 1.78 
2015,12,05, 0SK, 16, 00?, 02, cache, 08, 17, 0.45 
2015,12,05, 0SK, 16, 00?, 13, mirage, 12, 22, 0.58 
2015,12,05, 00?, 16, 0SK, 09, train, 21, 13, 1.30 
2015,12,04, fnatic, 16, 00?, 10, mirage, 19, 18, 1.04 
2015,12,04, 00?, 11, fnatic, 16, cache, 13, 23, 0.54 
2015,12,02, TSM, 10, 0G2, 16, mirage, 15, 20, 0.74 
2015,12,02, TSM, 14, 0G2, 16, inferno, 16, 21, 0.79 
2015,12,02, TSM, 19, DenDD, 16, overpass, 26, 19, 1.16 
2015,12,02, TSM, 11, DenDD, 16, inferno, 15, 22, 0.72 
2015,12,02, TSM, 16, DenDD, 09, cache, 15, 12, 0.95 
2015,12,01, TSM, 16, E-frag.net, 05, inferno, 17, 12, 1.30 
2015,12,01, E-frag.net, 09, TSM, 16, overpass, 17, 16, 1.00 
2015,12,01, TSM, 05, E-frag.net, 16, dust2, 09, 18, 0.53 
2015,11,30, TSM, 16, dignitas, 12, mirage, 17, 17, 0.95 
2015,11,30, dignitas, 19, TSM, 16, overpass, 30, 23, 1.18 
2015,11,30, TSM, 16, dignitas, 06, inferno, 15, 11, 1.16 
