2016,01,19, FlipSid3, 21, 0G2, 16, train, 27, 25, 1.05 
2016,01,15, 0G2, 02, fnatic, 16, inferno, 13, 16, 0.79 
2016,01,15, fnatic, 16, 0G2, 08, cache, 19, 19, 1.02 
2016,01,14, 0G2, 14, NatusVincere, 16, train, 14, 21, 0.73 
2016,01,14, 0G2, 17, NatusVincere, 19, dust2, 27, 25, 1.04 
2016,01,13, CyberZen, 11, 0G2, 16, mirage, 22, 20, 1.13 
2016,01,13, 0G2, 16, CyberZen, 14, cache, 18, 19, 0.94 
2016,01,13, 0G2, 06, CyberZen, 16, inferno, 09, 17, 0.61 
2016,01,13, 0G2, 07, Luminosity, 16, inferno, 14, 18, 0.76 
2016,01,13, Luminosity, 16, 0G2, 09, train, 23, 18, 1.44 
2016,01,11, ALTERNATEaTTaX, 04, 0G2, 16, dust2, 13, 11, 1.00 
2016,01,11, ALTERNATEaTTaX, 14, 0G2, 16, cobblestone, 25, 22, 1.11 
2015,12,17, 0G2, 07, dignitas, 16, cache, 13, 20, 0.65 
2015,12,17, 0G2, 09, dignitas, 16, overpass, 24, 20, 1.15 
2015,12,16, Arcade, 06, 0G2, 16, mirage, 21, 18, 1.10 
2015,12,16, 0G2, 12, Arcade, 16, cache, 16, 23, 0.75 
2015,12,16, Arcade, 13, 0G2, 16, inferno, 16, 20, 0.81 
2015,12,14, E-frag.net, 07, 0G2, 16, cache, 11, 15, 0.71 
2015,12,14, 0G2, 16, E-frag.net, 09, inferno, 18, 17, 0.98 
2015,12,08, LondonConspiracy, 11, 0G2, 16, dust2, 22, 20, 1.09 
2015,12,08, LondonConspiracy, 16, 0G2, 05, inferno, 08, 18, 0.55 
2015,12,08, Vexed, 09, 0G2, 16, dust2, 19, 18, 0.98 
2015,12,08, Vexed, 07, 0G2, 16, mirage, 17, 13, 1.22 
2015,12,03, 0G2, 01, fnatic, 16, cache, 06, 17, 0.36 
2015,12,03, fnatic, 16, 0G2, 06, mirage, 20, 17, 1.39 
2015,12,02, TSM, 10, 0G2, 16, mirage, 28, 15, 1.74 
2015,12,02, TSM, 14, 0G2, 16, inferno, 31, 19, 1.55 
2015,12,01, 0G2, 05, 0SK, 16, train, 09, 16, 0.58 
2015,12,01, 0G2, 16, 0SK, 10, dust2, 31, 18, 1.74 
2015,12,01, 0G2, 14, 0SK, 16, mirage, 19, 20, 0.96 
2015,11,30, 0G2, 16, dignitas, 12, cache, 19, 21, 0.92 
2015,11,30, 0G2, 16, dignitas, 14, inferno, 22, 19, 1.16 
2015,11,22, TSM, 16, 0G2, 06, mirage, 08, 19, 0.47 
2015,11,22, 0G2, 07, TSM, 16, overpass, 18, 17, 1.14 
2015,11,22, TSM, 05, 0G2, 16, cache, 21, 10, 1.46 
2015,11,21, 0G2, 16, CLG, 07, cache, 17, 17, 1.01 
2015,11,21, 0G2, 19, CLG, 17, mirage, 22, 26, 0.91 
2015,11,17, Titan, 16, dignitas, 13, overpass, 21, 19, 1.11 
2015,11,17, Virtus.pro, 07, dignitas, 16, cobblestone, 30, 15, 1.70 
2015,11,14, Virtus.pro, 10, 0G2, 16, cache, 20, 15, 1.21 
2015,11,13, 0G2, 16, Virtus.pro, 13, train, 24, 20, 1.18 
2015,11,12, 0G2, 16, PENTA, 11, mirage, 24, 17, 1.22 
2015,11,12, 0G2, 16, PENTA, 10, cache, 10, 18, 0.62 
2015,11,08, dignitas, 13, Conquest, 16, cache, 25, 24, 1.20 
2015,11,08, Conquest, 19, dignitas, 22, train, 44, 28, 1.45 
2015,11,08, dignitas, 09, Conquest, 16, cobblestone, 22, 17, 1.27 
2015,11,07, Virtus.pro, 16, dignitas, 11, mirage, 20, 20, 1.02 
2015,11,07, Virtus.pro, 16, dignitas, 13, inferno, 22, 20, 1.27 
2015,11,07, dignitas, 19, Virtus.pro, 17, train, 32, 26, 1.21 
