2016,05,04, 0G2, 07, FaZe, 16, inferno, 15, 17, 0.88 
2016,05,04, FaZe, 09, 0G2, 16, cache, 14, 17, 0.78 
2016,04,28, Astralis, 16, 0G2, 04, overpass, 09, 19, 0.47 
2016,04,28, Astralis, 16, 0G2, 13, dust2, 19, 20, 1.00 
2016,04,26, 0G2, 10, NiP, 16, dust2, 09, 19, 0.55 
2016,04,26, 0G2, 16, NiP, 13, cobblestone, 12, 19, 0.69 
2016,04,20, 0G2, 16, NatusVincere, 03, overpass, 15, 10, 1.29 
2016,04,20, NatusVincere, 19, 0G2, 16, train, 22, 27, 0.84 
2016,04,13, GODSENT, 16, 0G2, 08, train, 16, 20, 0.91 
2016,04,12, 0G2, 02, CLG, 16, dust2, 12, 16, 0.84 
2016,04,10, EnVyUs, 22, 0G2, 20, inferno, 19, 31, 0.72 
2016,04,10, 0G2, 16, EnVyUs, 06, dust2, 24, 10, 1.88 
2016,04,10, EnVyUs, 16, 0G2, 07, cobblestone, 12, 20, 0.67 
2016,04,09, 0G2, 16, Gambit, 10, inferno, 16, 13, 0.99 
2016,04,09, Gambit, 06, 0G2, 16, cache, 18, 11, 1.38 
2016,04,09, 0G2, 16, Gambit, 07, dust2, 15, 13, 1.03 
2016,02,25, k1ck, 16, LDLCWhite, 12, cobblestone, 13, 20, 0.68 
2016,02,25, LDLCWhite, 16, k1ck, 13, cache, 28, 17, 1.28 
2016,02,25, k1ck, 16, LDLCWhite, 10, dust2, 14, 20, 0.79 
2016,02,12, ALTERNATEaTTaX, 16, LDLCWhite, 10, mirage, 17, 19, 0.88 
2016,02,12, ALTERNATEaTTaX, 07, LDLCWhite, 16, cobblestone, 20, 13, 1.31 
2016,02,12, LDLCWhite, 16, ALTERNATEaTTaX, 21, cache, 29, 28, 1.03 
2016,02,11, mousesports, 16, LDLCWhite, 13, cobblestone, 17, 19, 0.87 
2016,02,11, mousesports, 21, LDLCWhite, 18, dust2, 20, 31, 0.67 
2016,02,06, LDLCWhite, 16, ENCE, 07, cache, 20, 11, 1.38 
2016,02,06, LDLCWhite, 16, ENCE, 10, dust2, 26, 10, 1.72 
2016,02,06, LDLCWhite, 16, LDLCBlue, 09, mirage, 20, 11, 1.47 
2016,02,06, LDLCBlue, 02, LDLCWhite, 16, cobblestone, 19, 07, 1.67 
2016,02,05, EpiphanyBolt, 13, LDLCWhite, 16, inferno, 22, 20, 1.11 
2016,02,05, EpiphanyBolt, 01, LDLCWhite, 16, dust2, 21, 09, 1.86 
2016,02,05, ENCE, 16, LDLCWhite, 14, cobblestone, 15, 22, 0.69 
2016,02,05, EpiphanyBolt, 14, LDLCWhite, 16, cobblestone, 23, 20, 1.13 
2016,01,29, 0CG, 16, LDLCWhite, 13, cache, 20, 23, 0.84 
2016,01,29, LDLCWhite, 13, PENTA, 16, cache, 15, 19, 0.79 
2016,01,10, LDLCWhite, 07, unu.AiN, 16, inferno, 22, 17, 1.37 
2016,01,10, unu.AiN, 16, LDLCWhite, 02, cobblestone, 13, 16, 0.98 
2016,01,06, LDLCWhite, 16, Pulse, 05, overpass, 14, 12, 1.18 
2016,01,06, Pulse, 04, LDLCWhite, 16, cache, 15, 10, 1.18 
2015,12,15, Titan, 16, LDLCWhite, 12, cobblestone, 19, 19, 0.93 
2015,12,15, Titan, 02, LDLCWhite, 16, cache, 24, 05, 2.06 
2015,12,15, LDLCWhite, 08, Titan, 16, dust2, 16, 19, 0.94 
2015,12,10, CSGL, 16, LDLCWhite, 08, cobblestone, 16, 20, 0.74 
2015,12,10, LDLCWhite, 05, CSGL, 16, cache, 06, 17, 0.42 
2015,12,03, PENTA, 16, LDLCWhite, 09, dust2, 16, 19, 0.82 
2015,12,03, PENTA, 19, LDLCWhite, 17, cobblestone, 29, 30, 1.03 
2015,12,03, LDLCWhite, 06, mousesports, 16, mirage, 16, 20, 1.00 
2015,12,03, mousesports, 14, LDLCWhite, 16, dust2, 15, 21, 0.78 
2015,11,25, LDLCWhite, 01, unu.AiN, 16, cobblestone, 08, 17, 0.43 
2015,11,25, LDLCWhite, 16, unu.AiN, 11, inferno, 19, 16, 1.11 
2015,11,25, LDLCWhite, 14, unu.AiN, 16, dust2, 25, 19, 1.30 
2015,11,11, LDLCWhite, 08, LondonConspiracy, 16, cache, 14, 20, 0.72 
2015,11,11, LDLCWhite, 12, LondonConspiracy, 16, inferno, 29, 20, 1.53 
2015,11,11, LDLCWhite, 16, LondonConspiracy, 14, dust2, 24, 20, 1.15 
2015,11,10, LDLCWhite, 16, GRS.GP, 07, dust2, 20, 12, 1.39 
2015,11,10, LDLCWhite, 16, GRS.GP, 03, inferno, 25, 07, 2.19 
2015,11,09, LDLCWhite, 16, LDLCBlue, 08, cobblestone, 24, 14, 1.61 
2015,11,09, LDLCBlue, 10, LDLCWhite, 16, dust2, 29, 13, 1.63 
2015,11,09, LDLCWhite, 13, LDLCBlue, 16, overpass, 20, 20, 0.99 
2015,11,09, LDLCBlue, 25, LDLCWhite, 28, inferno, 38, 36, 0.97 
2015,11,09, LDLCWhite, 16, LDLCBlue, 19, mirage, 17, 27, 0.68 
2015,11,04, 0G2, 16, LDLCWhite, 07, cache, 12, 19, 0.63 
2015,11,04, 0G2, 12, LDLCWhite, 16, inferno, 12, 18, 0.69 
2015,11,04, LDLCWhite, 12, 0G2, 16, dust2, 14, 20, 0.75 
2015,10,25, TSM, 16, LDLCWhite, 14, inferno, 25, 23, 1.14 
2015,10,25, LDLCWhite, 05, TSM, 16, overpass, 11, 20, 0.53 
2015,10,23, LDLCWhite, 16, DenDD, 09, cache, 15, 19, 0.77 
2015,10,23, LDLCWhite, 12, DenDD, 16, cobblestone, 15, 23, 0.70 
2015,10,22, LDLCWhite, 13, HellRaisers, 16, inferno, 20, 22, 0.89 
2015,10,22, HellRaisers, 16, LDLCWhite, 11, cobblestone, 23, 20, 1.18 
2015,10,19, LDLCWhite, 16, Pulse, 04, dust2, 19, 09, 1.68 
2015,10,19, LDLCWhite, 16, Pulse, 04, cache, 26, 10, 2.10 
2015,10,15, KILLERFISH, 16, LDLCWhite, 11, cache, 18, 21, 0.87 
2015,10,15, LDLCWhite, 09, KILLERFISH, 16, cobblestone, 21, 16, 1.37 
2015,10,05, LDLCWhite, 16, Evokate, 10, inferno, 21, 15, 1.22 
2015,10,05, Evokate, 05, LDLCWhite, 16, dust2, 18, 12, 1.26 
2015,09,28, Publiclir.se, 03, LDLCWhite, 16, cobblestone, 21, 07, 1.81 
2015,09,28, LDLCWhite, 14, Publiclir.se, 16, cache, 28, 22, 1.29 
2015,09,28, LDLCWhite, 16, Publiclir.se, 06, inferno, 20, 14, 1.32 
2015,09,18, Fraternitas, 16, LDLCWhite, 13, dust2, 22, 22, 1.03 
2015,09,18, LDLCWhite, 13, Fraternitas, 16, overpass, 16, 20, 0.87 
2015,09,18, LDLCWhite, 16, Fraternitas, 10, inferno, 22, 16, 1.24 
2015,09,18, LDLCWhite, 16, KeydStars, 06, cache, 25, 13, 1.60 
