2016,03,15, dignitas, 03, NatusVincere, 16, overpass, 06, 18, 0.31 
2016,03,15, dignitas, 14, NatusVincere, 16, mirage, 22, 24, 1.03 
2016,03,13, dignitas, 03, CSGL, 16, cobblestone, 15, 16, 0.91 
2016,03,13, dignitas, 13, CSGL, 16, cache, 21, 21, 0.99 
2016,03,13, dignitas, 16, TDJSF, 04, cobblestone, 19, 11, 1.36 
2016,03,13, dignitas, 16, TDJSF, 07, cache, 18, 15, 1.22 
2016,03,10, dignitas, 16, fm-eSports, 12, cobblestone, 15, 16, 0.86 
2016,03,10, dignitas, 16, fm-eSports, 04, train, 18, 08, 1.50 
2016,03,09, Team123, 11, dignitas, 16, overpass, 12, 16, 0.85 
2016,03,09, DenDD, 06, dignitas, 16, mirage, 20, 10, 1.34 
2016,02,27, Cloud9, 16, dignitas, 13, cache, 16, 22, 0.74 
2016,02,27, Renegades, 16, dignitas, 09, inferno, 15, 18, 0.99 
2016,02,21, Astralis, 16, dignitas, 12, overpass, 21, 22, 1.05 
2016,02,21, dignitas, 11, Astralis, 16, mirage, 15, 21, 0.84 
2016,02,20, dignitas, 16, Vexed, 05, cobblestone, 19, 09, 1.53 
2016,02,20, fnatic, 19, dignitas, 17, cobblestone, 19, 26, 0.78 
2016,02,19, dignitas, 16, Vexed, 07, mirage, 21, 13, 1.45 
2016,02,19, dignitas, 16, gBots, 14, cobblestone, 18, 18, 0.92 
2016,02,17, NiP, 16, dignitas, 08, mirage, 15, 21, 0.84 
2016,02,17, dignitas, 08, NiP, 16, train, 13, 17, 0.81 
2016,02,15, Virtus.pro, 14, dignitas, 16, overpass, 14, 19, 0.77 
2016,02,15, dignitas, 16, Virtus.pro, 05, mirage, 13, 12, 0.95 
2016,02,07, dignitas, 13, EnVyUs, 16, inferno, 21, 19, 1.03 
2016,02,07, dignitas, 07, EnVyUs, 16, mirage, 17, 18, 0.97 
2016,02,07, dignitas, 04, EnVyUs, 16, cobblestone, 13, 18, 0.91 
2016,02,06, dignitas, 16, CLG, 10, overpass, 17, 13, 1.04 
2016,02,06, dignitas, 16, CLG, 14, cobblestone, 29, 21, 1.34 
2016,02,04, dignitas, 16, EnVyUs, 05, inferno, 18, 10, 1.50 
2016,02,04, dignitas, 16, EnVyUs, 09, cobblestone, 11, 11, 0.85 
2016,02,04, dignitas, 16, FlipSid3, 12, cobblestone, 15, 17, 0.93 
2016,02,04, dignitas, 16, FlipSid3, 13, inferno, 18, 21, 0.82 
2016,01,31, mousesports, 03, dignitas, 16, cobblestone, 22, 11, 1.59 
2016,01,31, mousesports, 09, dignitas, 16, cache, 18, 17, 1.07 
2016,01,23, NatusVincere, 16, dignitas, 09, train, 03, 23, 0.19 
2016,01,23, NatusVincere, 16, dignitas, 13, cobblestone, 15, 22, 0.69 
2016,01,23, dignitas, 16, mousesports, 13, mirage, 22, 20, 1.09 
2016,01,23, mousesports, 04, dignitas, 16, cobblestone, 14, 10, 1.14 
2016,01,22, dignitas, 22, Virtus.pro, 20, cobblestone, 23, 28, 0.85 
2016,01,22, dignitas, 16, Virtus.pro, 07, mirage, 19, 13, 1.30 
2016,01,22, dignitas, 11, Virtus.pro, 16, cache, 21, 20, 1.29 
2016,01,22, dignitas, 09, Astralis, 16, overpass, 18, 17, 1.12 
2016,01,19, CSGL, 09, dignitas, 16, cobblestone, 29, 15, 1.69 
2016,01,19, CSGL, 05, dignitas, 16, mirage, 27, 07, 2.14 
2016,01,11, dignitas, 06, EnVyUs, 16, inferno, 12, 18, 0.71 
2016,01,11, dignitas, 11, EnVyUs, 16, train, 24, 21, 1.20 
2016,01,10, HellRaisers, 14, dignitas, 16, overpass, 22, 19, 1.05 
2016,01,10, HellRaisers, 10, dignitas, 16, cobblestone, 13, 17, 0.79 
2016,01,10, dignitas, 16, unu.AiN, 12, overpass, 29, 18, 1.36 
2016,01,10, dignitas, 16, unu.AiN, 05, train, 18, 09, 1.32 
2016,01,10, dignitas, 16, BLUEJAYS, 06, cobblestone, 15, 10, 1.12 
2016,01,10, dignitas, 16, BLUEJAYS, 03, cache, 19, 10, 1.62 
2016,01,08, dignitas, 22, BX3, 20, overpass, 27, 30, 0.89 
2016,01,08, BX3, 04, dignitas, 16, mirage, 23, 09, 1.64 
2016,01,07, dignitas, 10, EnVyUs, 16, mirage, 20, 21, 1.02 
2016,01,07, EnVyUs, 16, dignitas, 13, train, 21, 24, 0.95 
2015,12,18, dignitas, 06, CSGL, 16, overpass, 13, 19, 0.68 
2015,12,18, CSGL, 16, dignitas, 12, train, 23, 18, 1.25 
2015,12,18, dignitas, 16, CSGL, 09, cache, 14, 18, 0.79 
2015,12,17, 0G2, 07, dignitas, 16, cache, 19, 12, 1.26 
2015,12,17, 0G2, 09, dignitas, 16, overpass, 18, 17, 1.00 
2015,12,15, dignitas, 16, 0SK, 14, cobblestone, 19, 21, 0.87 
2015,12,15, dignitas, 26, 0SK, 23, train, 37, 29, 1.15 
2015,12,14, dignitas, 16, HellRaisers, 05, cobblestone, 15, 12, 1.11 
2015,12,14, HellRaisers, 11, dignitas, 16, inferno, 20, 16, 1.21 
2015,12,14, dignitas, 16, HellRaisers, 21, overpass, 29, 26, 1.07 
2015,12,14, HellRaisers, 16, dignitas, 14, cache, 21, 19, 0.96 
2015,12,14, dignitas, 16, HellRaisers, 13, mirage, 24, 18, 1.26 
2015,12,08, HellRaisers, 04, dignitas, 16, mirage, 18, 10, 1.39 
2015,12,08, HellRaisers, 09, dignitas, 16, overpass, 24, 18, 1.24 
2015,12,07, dignitas, 07, EnVyUs, 16, mirage, 08, 20, 0.42 
2015,12,07, dignitas, 16, EnVyUs, 09, train, 20, 13, 1.20 
2015,12,07, dignitas, 14, EnVyUs, 16, cobblestone, 20, 24, 0.86 
2015,12,01, NatusVincere, 10, dignitas, 16, mirage, 18, 15, 1.04 
2015,12,01, dignitas, 16, NatusVincere, 09, train, 16, 16, 0.94 
2015,12,01, NatusVincere, 21, dignitas, 19, cobblestone, 28, 29, 0.98 
2015,11,30, TSM, 16, dignitas, 12, mirage, 22, 23, 0.91 
2015,11,30, dignitas, 19, TSM, 16, overpass, 23, 27, 0.93 
2015,11,30, TSM, 16, dignitas, 06, inferno, 10, 17, 0.67 
2015,11,30, 0G2, 16, dignitas, 12, cache, 34, 18, 1.74 
2015,11,30, 0G2, 16, dignitas, 14, inferno, 27, 21, 1.21 
2015,11,24, dignitas, 08, fnatic, 16, train, 20, 19, 1.08 
2015,11,24, dignitas, 19, fnatic, 17, cobblestone, 22, 28, 0.79 
2015,11,24, dignitas, 10, fnatic, 16, cache, 18, 22, 0.88 
2015,11,17, PENTA, 10, dignitas, 16, dust2, 10, 18, 0.64 
2015,11,12, fnatic, 16, dignitas, 04, inferno, 05, 18, 0.29 
2015,11,12, Virtus.pro, 04, dignitas, 16, cache, 17, 10, 1.35 
2015,11,10, LondonConspiracy, 16, Infused, 11, mirage, 21, 12, 1.25 
2015,11,10, Infused, 07, LondonConspiracy, 16, train, 20, 10, 1.36 
2015,11,04, 0G2, 16, LDLCWhite, 07, cache, 17, 14, 1.09 
2015,11,04, 0G2, 12, LDLCWhite, 16, inferno, 21, 20, 1.07 
2015,11,04, LDLCWhite, 12, 0G2, 16, dust2, 23, 15, 1.25 
2015,10,20, NoProblem!, 20, LondonConspiracy, 26, mirage, 54, 29, 1.67 
2015,10,18, 0G2, 16, Orgless, 03, inferno, 17, 11, 1.27 
2015,10,18, 0G2, 16, Orgless, 09, train, 23, 13, 1.42 
2015,09,28, Norway, 14, Sweden, 16, dust2, 21, 23, 0.97 
2015,09,26, FlipSid3, 16, CPHWolves, 13, overpass, 17, 22, 0.77 
2015,09,26, FlipSid3, 16, CPHWolves, 10, mirage, 22, 21, 1.31 
2015,09,23, CPHWolves, 16, CSGL, 01, dust2, 21, 08, 2.01 
2015,09,23, CPHWolves, 16, CSGL, 14, mirage, 27, 21, 1.21 
2015,09,23, CPHWolves, 14, CSGL, 16, cache, 18, 21, 1.02 
2015,09,23, FlipSid3, 16, CPHWolves, 12, mirage, 24, 22, 1.04 
2015,09,23, CPHWolves, 02, FlipSid3, 16, train, 06, 16, 0.37 
2015,09,20, CPHWolves, 09, EnVyUs, 16, cobblestone, 15, 17, 0.88 
2015,09,20, CPHWolves, 08, EnVyUs, 16, mirage, 13, 18, 0.80 
2015,09,20, 0G2, 11, CPHWolves, 16, mirage, 17, 20, 0.82 
2015,09,20, 0SK, 13, CPHWolves, 16, cobblestone, 15, 18, 0.82 
2015,09,19, CPHWolves, 05, TSM, 16, overpass, 18, 16, 1.16 
2015,09,17, Norway, 16, Belarus, 06, mirage, 23, 14, 1.46 
