2016,03,13, compLexity, 10, OpTic, 16, overpass, 24, 16, 1.31 
2016,03,13, Renegades, 16, OpTic, 09, cobblestone, 14, 19, 0.73 
2016,03,13, Renegades, 07, OpTic, 16, inferno, 18, 14, 1.10 
2016,03,10, OpTic, 16, Cloud9, 07, cobblestone, 15, 14, 1.02 
2016,03,10, Cloud9, 13, OpTic, 16, cache, 12, 15, 0.86 
2016,03,09, Selfless, 07, OpTic, 16, mirage, 15, 08, 1.15 
2016,03,09, OpTic, 16, Selfless, 06, overpass, 17, 12, 1.25 
2016,03,08, OpTic, 16, Liquid, 12, overpass, 16, 17, 1.01 
2016,03,08, OpTic, 07, Liquid, 16, cache, 14, 20, 0.72 
2016,03,08, Liquid, 17, OpTic, 19, train, 22, 26, 0.85 
2016,02,25, AGG, 07, OpTic, 16, inferno, 14, 15, 0.92 
2016,02,25, OpTic, 16, AGG, 06, mirage, 16, 11, 1.15 
2016,02,23, ACE, 12, OpTic, 16, cache, 18, 17, 1.00 
2016,02,23, OpTic, 16, ACE, 03, mirage, 19, 06, 1.55 
2016,02,21, OpTic, 01, TempoStorm, 16, cobblestone, 04, 17, 0.30 
2016,02,21, TempoStorm, 19, OpTic, 22, mirage, 29, 26, 1.02 
2016,02,21, TempoStorm, 16, OpTic, 10, inferno, 15, 21, 0.71 
2016,02,21, OpTic, 16, Torment, 03, inferno, 23, 06, 1.97 
2016,02,21, Torment, 09, OpTic, 16, cobblestone, 19, 13, 1.19 
2016,02,17, OpTic, 16, Splyce, 06, cobblestone, 20, 08, 1.60 
2016,02,17, Splyce, 04, OpTic, 16, cache, 11, 10, 1.01 
2016,02,15, OpTic, 10, Cloud9, 16, train, 17, 21, 0.79 
2016,02,15, OpTic, 11, Cloud9, 16, dust2, 17, 20, 0.82 
2016,02,15, Cloud9, 04, OpTic, 16, inferno, 16, 09, 1.32 
2016,02,14, OpTic, 16, Enemy, 06, mirage, 13, 10, 0.99 
2016,02,14, OpTic, 09, Enemy, 16, train, 17, 22, 0.81 
2016,02,14, Enemy, 09, OpTic, 16, overpass, 13, 15, 0.83 
2016,02,10, OpTic, 16, AGG, 11, cache, 24, 12, 1.50 
2016,02,10, AGG, 10, OpTic, 16, train, 28, 17, 1.54 
2016,01,24, Winterfox, 16, OpTic, 10, cache, 11, 17, 0.70 
2016,01,24, OpTic, 09, Winterfox, 16, inferno, 14, 12, 1.03 
2016,01,24, OpTic, 16, Winterfox, 08, cobblestone, 22, 15, 1.22 
2016,01,23, NRG, 08, OpTic, 16, cache, 15, 12, 1.05 
2016,01,23, NRG, 08, OpTic, 16, inferno, 20, 13, 1.34 
2016,01,17, OpTic, 08, Splyce, 16, mirage, 14, 17, 0.92 
2016,01,17, Splyce, 05, OpTic, 16, cache, 13, 15, 0.92 
2016,01,17, Splyce, 19, OpTic, 17, cobblestone, 30, 22, 1.37 
2016,01,16, Winterfox, 11, OpTic, 16, overpass, 14, 16, 0.83 
2016,01,07, CSGL, 03, OpTic, 16, cobblestone, 12, 11, 0.93 
2016,01,07, CSGL, 13, OpTic, 16, train, 12, 23, 0.61 
2015,12,19, Conquest, 16, Enemy, 10, cobblestone, 18, 15, 1.04 
2015,12,19, Enemy, 14, Conquest, 16, inferno, 09, 17, 0.60 
2015,12,18, Dogmen, 07, Conquest, 16, inferno, 17, 13, 1.25 
2015,12,18, Conquest, 16, Dogmen, 13, cache, 17, 18, 0.90 
2015,12,17, compLexity, 09, Conquest, 16, inferno, 18, 13, 1.09 
2015,12,17, compLexity, 12, Conquest, 16, cache, 11, 22, 0.52 
2015,12,12, Conquest, 06, Liquid, 16, overpass, 16, 18, 0.97 
2015,12,12, Conquest, 07, Liquid, 16, cache, 19, 14, 1.26 
2015,12,12, Liquid, 12, Conquest, 16, inferno, 13, 17, 0.79 
2015,12,10, fnatic, 16, Conquest, 10, inferno, 17, 20, 0.82 
2015,12,10, Conquest, 04, fnatic, 16, mirage, 13, 17, 0.96 
2015,12,06, compLexity, 16, Nexus, 02, cache, 12, 17, 0.67 
2015,12,06, compLexity, 12, Nexus, 16, cobblestone, 28, 18, 1.40 
2015,12,06, compLexity, 16, Nexus, 02, inferno, 10, 17, 0.83 
2015,12,04, Conquest, 19, Enemy, 16, inferno, 26, 20, 1.09 
2015,12,04, Conquest, 16, Enemy, 02, mirage, 12, 08, 1.11 
2015,11,20, CLG, 13, Conquest, 16, inferno, 17, 18, 0.88 
2015,11,20, 3sUP, 11, Conquest, 16, mirage, 17, 20, 0.82 
2015,11,15, compLexity, 16, Conquest, 10, cobblestone, 07, 22, 0.37 
2015,11,14, Conquest, 04, Cloud9, 16, inferno, 14, 16, 0.92 
2015,11,13, Conquest, 25, compLexity, 22, inferno, 26, 33, 0.82 
2015,11,13, SKDC, 08, Conquest, 16, cache, 18, 16, 1.12 
2015,11,12, CLG, 13, Conquest, 16, overpass, 23, 19, 1.12 
2015,11,12, Conquest, 16, CLG, 03, mirage, 20, 09, 1.64 
2015,11,12, Conquest, 12, CLG, 16, dust2, 14, 21, 0.77 
2015,11,12, Liquid, 16, Conquest, 08, cache, 13, 19, 0.70 
2015,11,11, Cloud9, 16, Conquest, 06, dust2, 12, 20, 0.66 
2015,11,08, mousesports, 16, Conquest, 11, cache, 11, 19, 0.63 
2015,11,08, Conquest, 16, mousesports, 08, overpass, 10, 15, 0.70 
2015,11,08, mousesports, 16, Conquest, 11, inferno, 13, 21, 0.71 
2015,11,08, dignitas, 13, Conquest, 16, cache, 21, 19, 1.09 
2015,11,08, Conquest, 19, dignitas, 22, train, 14, 33, 0.46 
2015,11,08, dignitas, 09, Conquest, 16, cobblestone, 18, 16, 1.13 
2015,11,07, Liquid, 18, Conquest, 22, cobblestone, 14, 32, 0.47 
2015,11,07, Liquid, 11, Conquest, 16, train, 18, 18, 0.94 
2015,11,07, Virtus.pro, 22, Conquest, 19, inferno, 20, 34, 0.65 
