2016,04,26, NatusVincere, 10, mousesports, 16, cache, 13, 15, 0.87 
2016,04,26, NatusVincere, 16, mousesports, 10, dust2, 09, 19, 0.51 
2016,04,24, Virtus.pro, 13, mousesports, 16, train, 16, 18, 0.97 
2016,04,24, mousesports, 16, Virtus.pro, 04, cache, 13, 09, 1.14 
2016,04,21, Virtus.pro, 19, mousesports, 15, train, 19, 24, 0.89 
2016,04,21, Virtus.pro, 05, mousesports, 16, cache, 22, 08, 1.68 
2016,04,19, mousesports, 16, EnVyUs, 08, cache, 19, 10, 1.33 
2016,04,19, mousesports, 22, EnVyUs, 19, inferno, 29, 25, 1.05 
2016,04,16, mousesports, 13, GODSENT, 16, mirage, 15, 20, 0.81 
2016,04,16, GODSENT, 16, mousesports, 10, inferno, 13, 18, 0.76 
2016,04,16, mousesports, 16, GODSENT, 07, cache, 20, 13, 1.31 
2016,04,13, mousesports, 16, Luminosity, 07, cache, 08, 12, 0.68 
2016,04,12, mousesports, 16, Liquid, 13, dust2, 24, 16, 1.16 
2016,04,10, mousesports, 03, Astralis, 16, mirage, 09, 17, 0.57 
2016,04,10, mousesports, 13, Astralis, 16, train, 13, 18, 0.72 
2016,04,10, mousesports, 16, Astralis, 05, dust2, 13, 10, 1.03 
2016,04,08, mousesports, 16, HellRaisers, 09, train, 17, 15, 1.01 
2016,04,08, mousesports, 16, HellRaisers, 08, dust2, 10, 12, 0.83 
2016,04,08, HellRaisers, 16, mousesports, 11, inferno, 15, 25, 0.57 
2016,04,08, mousesports, 19, HellRaisers, 17, cache, 30, 23, 1.18 
2016,04,08, HellRaisers, 16, mousesports, 14, cobblestone, 16, 21, 0.77 
2016,03,31, NiP, 16, mousesports, 09, overpass, 21, 16, 1.23 
2016,03,31, mousesports, 16, NiP, 12, cache, 18, 18, 1.01 
2016,03,31, mousesports, 05, NiP, 16, cobblestone, 16, 17, 0.96 
2016,03,30, FlipSid3, 28, mousesports, 31, cobblestone, 35, 43, 0.87 
2016,03,29, Luminosity, 16, mousesports, 13, mirage, 15, 19, 0.77 
2016,03,22, mousesports, 10, dignitas, 16, inferno, 21, 17, 1.07 
2016,03,22, mousesports, 16, dignitas, 19, cobblestone, 18, 25, 0.70 
2016,03,20, mousesports, 13, FlipSid3, 16, cobblestone, 21, 21, 0.95 
2016,03,20, mousesports, 12, FlipSid3, 16, overpass, 16, 18, 0.87 
2016,03,19, FaZe, 13, mousesports, 16, dust2, 13, 17, 0.79 
2016,03,19, mousesports, 16, FaZe, 14, cache, 21, 17, 1.07 
2016,03,17, 0SK, 16, mousesports, 11, cobblestone, 19, 15, 1.25 
2016,03,17, 0SK, 08, mousesports, 16, mirage, 17, 12, 1.07 
2016,03,14, mousesports, 16, 0G2, 13, cache, 21, 13, 1.20 
2016,03,14, mousesports, 16, 0G2, 14, dust2, 23, 19, 1.09 
2016,03,14, 0G2, 19, mousesports, 16, inferno, 22, 22, 0.99 
2016,03,13, mousesports, 19, fnatic, 17, dust2, 28, 22, 1.19 
2016,03,13, fnatic, 16, mousesports, 04, cache, 04, 16, 0.33 
2016,03,13, noKappa, 03, mousesports, 16, dust2, 10, 10, 0.89 
2016,03,13, mousesports, 16, noKappa, 07, cobblestone, 22, 13, 1.41 
2016,03,13, 0c5, 09, mousesports, 16, mirage, 16, 14, 0.99 
2016,03,13, 0c5, 08, mousesports, 16, cache, 18, 11, 1.21 
2016,03,08, Astralis, 16, mousesports, 04, dust2, 07, 17, 0.44 
2016,03,08, Astralis, 16, mousesports, 12, mirage, 23, 16, 1.24 
2016,03,02, mousesports, 17, fnatic, 19, dust2, 18, 24, 0.75 
2016,03,02, mousesports, 14, Luminosity, 16, cobblestone, 16, 22, 0.74 
2016,03,02, mousesports, 06, NatusVincere, 16, cobblestone, 09, 16, 0.59 
2016,03,02, mousesports, 16, TheMongolz, 07, dust2, 18, 06, 1.41 
2016,03,02, mousesports, 16, NiP, 08, mirage, 15, 11, 1.04 
2016,02,26, HellRaisers, 15, mousesports, 19, mirage, 22, 20, 1.01 
2016,02,26, mousesports, 16, 0YP, 01, cobblestone, 14, 12, 1.00 
2016,02,23, NiP, 16, mousesports, 14, overpass, 22, 20, 1.04 
2016,02,23, NiP, 19, mousesports, 15, cache, 29, 21, 1.28 
2016,02,23, 0G2, 10, mousesports, 16, overpass, 12, 16, 0.77 
2016,02,23, 0G2, 16, mousesports, 13, dust2, 10, 18, 0.62 
2016,02,14, FlipSid3, 09, mousesports, 16, overpass, 24, 14, 1.42 
2016,02,14, mousesports, 16, FlipSid3, 06, cache, 17, 10, 1.33 
2016,02,13, FlipSid3, 11, mousesports, 16, cobblestone, 14, 18, 0.77 
2016,02,13, mousesports, 16, FlipSid3, 05, mirage, 12, 09, 1.05 
2016,02,12, mousesports, 16, E-frag.net, 13, cobblestone, 24, 21, 1.22 
2016,02,12, mousesports, 16, E-frag.net, 05, cache, 17, 09, 1.36 
2016,02,11, mousesports, 16, LDLCWhite, 13, cobblestone, 10, 22, 0.51 
2016,02,11, mousesports, 21, LDLCWhite, 18, dust2, 21, 22, 0.88 
2016,01,31, mousesports, 03, dignitas, 16, cobblestone, 07, 17, 0.39 
2016,01,31, mousesports, 09, dignitas, 16, cache, 11, 18, 0.62 
2016,01,23, dignitas, 16, mousesports, 13, mirage, 26, 19, 1.21 
2016,01,23, mousesports, 04, dignitas, 16, cobblestone, 07, 18, 0.40 
2016,01,22, Astralis, 22, mousesports, 19, mirage, 23, 27, 0.80 
2016,01,22, mousesports, 16, Virtus.pro, 05, dust2, 13, 09, 1.04 
2016,01,14, mousesports, 11, ALTERNATEaTTaX, 16, overpass, 09, 19, 0.61 
2016,01,14, ALTERNATEaTTaX, 12, mousesports, 16, cache, 17, 16, 0.94 
2015,12,16, mousesports, 13, CSGL, 16, dust2, 10, 22, 0.51 
2015,12,16, CSGL, 16, mousesports, 01, mirage, 06, 16, 0.41 
2015,12,15, mousesports, 16, DenDD, 10, cobblestone, 19, 15, 1.13 
2015,12,15, mousesports, 21, DenDD, 19, mirage, 26, 24, 0.97 
2015,12,13, HellRaisers, 14, mousesports, 16, inferno, 18, 16, 1.11 
2015,12,13, HellRaisers, 21, mousesports, 18, mirage, 25, 29, 0.85 
