2016,05,17, Virtus.pro, 04, 0G2, 16, cache, 15, 13, 1.17 
2016,05,17, fnatic, 14, 0G2, 16, cache, 15, 19, 0.83 
2016,05,17, 0G2, 16, fnatic, 13, cobblestone, 13, 18, 0.76 
2016,05,15, 0G2, 16, Luminosity, 19, inferno, 11, 26, 0.47 
2016,05,15, Luminosity, 16, 0G2, 11, dust2, 11, 18, 0.70 
2016,05,15, 0G2, 16, Luminosity, 10, cobblestone, 21, 14, 1.21 
2016,05,15, Luminosity, 16, 0G2, 13, train, 13, 22, 0.61 
2016,05,15, 0G2, 16, Luminosity, 10, overpass, 18, 18, 1.07 
2016,05,14, 0G2, 16, fnatic, 12, train, 24, 16, 1.19 
2016,05,14, 0G2, 16, fnatic, 08, cache, 23, 12, 1.38 
2016,05,14, 0G2, 14, fnatic, 16, inferno, 23, 24, 0.94 
2016,05,11, 0G2, 16, OpTic, 07, cobblestone, 20, 12, 1.32 
2016,05,11, Luminosity, 12, 0G2, 16, train, 24, 19, 1.19 
2016,05,05, mousesports, 11, 0G2, 16, dust2, 18, 17, 1.03 
2016,05,05, mousesports, 08, 0G2, 16, cobblestone, 16, 16, 0.93 
2016,05,05, mousesports, 16, 0G2, 14, cache, 16, 24, 0.80 
2016,05,04, FaZe, 16, 0G2, 06, train, 08, 20, 0.38 
2016,05,04, 0G2, 07, FaZe, 16, inferno, 17, 19, 0.96 
2016,05,04, FaZe, 09, 0G2, 16, cache, 28, 13, 1.72 
2016,04,28, Astralis, 16, 0G2, 04, overpass, 10, 18, 0.56 
2016,04,28, Astralis, 16, 0G2, 13, dust2, 16, 16, 0.89 
2016,04,26, 0G2, 10, NiP, 16, dust2, 14, 18, 0.79 
2016,04,26, 0G2, 16, NiP, 13, cobblestone, 19, 21, 0.95 
2016,04,20, 0G2, 16, NatusVincere, 03, overpass, 11, 09, 1.04 
2016,04,20, NatusVincere, 19, 0G2, 16, train, 35, 28, 1.35 
2016,04,13, GODSENT, 16, 0G2, 08, train, 20, 19, 1.08 
2016,04,12, 0G2, 02, CLG, 16, dust2, 06, 15, 0.41 
2016,04,10, EnVyUs, 22, 0G2, 20, inferno, 27, 34, 0.80 
2016,04,10, 0G2, 16, EnVyUs, 06, dust2, 21, 09, 1.54 
2016,04,10, EnVyUs, 16, 0G2, 07, cobblestone, 16, 17, 0.82 
2016,04,09, 0G2, 16, Gambit, 10, inferno, 16, 13, 1.03 
2016,04,09, Gambit, 06, 0G2, 16, cache, 19, 10, 1.51 
2016,04,09, 0G2, 16, Gambit, 07, dust2, 18, 17, 1.09 
2016,04,01, 0G2, 07, Virtus.pro, 16, cobblestone, 11, 19, 0.64 
2016,04,01, Virtus.pro, 09, 0G2, 16, inferno, 22, 17, 1.21 
2016,04,01, 0G2, 09, Virtus.pro, 16, train, 14, 20, 0.79 
2016,03,30, 0G2, 16, Cloud9, 03, dust2, 11, 06, 1.26 
2016,03,30, 0G2, 01, Virtus.pro, 16, train, 15, 14, 1.09 
2016,03,20, 0G2, 16, CPHWolves, 19, overpass, 36, 29, 1.25 
2016,03,20, 0G2, 13, CPHWolves, 16, cobblestone, 19, 20, 1.04 
2016,03,20, CPHWolves, 06, 0G2, 16, train, 17, 13, 1.22 
2016,03,20, 0G2, 16, FluffyGangsters, 02, inferno, 22, 07, 1.81 
2016,03,20, 0G2, 16, FluffyGangsters, 13, dust2, 25, 19, 1.28 
2016,03,17, 0G2, 16, FaZe, 10, cache, 21, 15, 1.18 
2016,03,17, FaZe, 13, 0G2, 16, dust2, 22, 21, 1.04 
2016,03,16, 0G2, 10, dignitas, 16, overpass, 14, 19, 0.76 
2016,03,16, dignitas, 06, 0G2, 16, inferno, 14, 13, 1.08 
2016,03,15, 0G2, 16, 0SK, 13, cache, 27, 20, 1.33 
2016,03,15, 0G2, 16, 0SK, 05, train, 19, 12, 1.27 
2016,03,14, mousesports, 16, 0G2, 13, cache, 18, 20, 0.83 
2016,03,14, mousesports, 16, 0G2, 14, dust2, 21, 23, 0.89 
2016,03,14, 0G2, 19, mousesports, 16, inferno, 28, 27, 1.09 
2016,03,13, 0G2, 16, FlipSid3, 07, overpass, 16, 12, 1.07 
2016,03,13, 0G2, 16, FlipSid3, 12, train, 19, 19, 0.95 
