2016,04,03, Luminosity, 16, NatusVincere, 02, overpass, 10, 18, 0.53 
2016,04,03, NatusVincere, 17, Luminosity, 19, mirage, 19, 29, 0.66 
2016,04,02, Astralis, 05, NatusVincere, 16, dust2, 16, 12, 1.18 
2016,04,02, NatusVincere, 16, Astralis, 14, inferno, 12, 17, 0.73 
2016,04,01, NiP, 10, NatusVincere, 16, mirage, 31, 13, 1.78 
2016,04,01, NatusVincere, 16, NiP, 09, inferno, 19, 14, 1.11 
2016,03,31, Virtus.pro, 04, NatusVincere, 16, cobblestone, 17, 10, 1.44 
2016,03,29, Cloud9, 09, NatusVincere, 16, train, 19, 17, 1.01 
2016,03,20, NatusVincere, 16, EnVyUs, 07, cobblestone, 20, 15, 1.24 
2016,03,20, NatusVincere, 16, EnVyUs, 11, train, 12, 14, 0.83 
2016,03,18, Astralis, 05, NatusVincere, 16, mirage, 17, 11, 1.20 
2016,03,18, NatusVincere, 12, Astralis, 16, inferno, 19, 21, 0.96 
2016,03,18, Astralis, 09, NatusVincere, 16, train, 22, 12, 1.48 
2016,03,18, NatusVincere, 16, Virtus.pro, 12, train, 19, 14, 1.12 
2016,03,18, Virtus.pro, 14, NatusVincere, 16, overpass, 21, 17, 1.11 
2016,03,17, NatusVincere, 16, FlipSid3, 06, mirage, 17, 08, 1.24 
2016,03,17, NatusVincere, 09, FlipSid3, 16, overpass, 18, 21, 0.89 
2016,03,17, FlipSid3, 10, NatusVincere, 16, train, 25, 16, 1.43 
2016,03,15, dignitas, 03, NatusVincere, 16, overpass, 21, 08, 1.76 
2016,03,15, dignitas, 14, NatusVincere, 16, mirage, 19, 21, 0.93 
2016,03,10, FaZe, 12, NatusVincere, 16, mirage, 16, 16, 0.91 
2016,03,10, FaZe, 17, NatusVincere, 19, dust2, 40, 20, 1.73 
2016,03,04, NatusVincere, 12, Luminosity, 16, inferno, 15, 21, 0.73 
2016,03,04, Luminosity, 22, NatusVincere, 19, overpass, 23, 31, 0.82 
2016,03,04, TempoStorm, 13, NatusVincere, 16, mirage, 16, 19, 0.80 
2016,03,04, NatusVincere, 15, TempoStorm, 19, cobblestone, 13, 26, 0.53 
2016,03,04, TempoStorm, 10, NatusVincere, 16, overpass, 32, 13, 1.95 
2016,03,02, NatusVincere, 16, TheMongolz, 06, cobblestone, 21, 10, 1.51 
2016,03,02, NiP, 13, NatusVincere, 16, overpass, 21, 19, 1.05 
2016,03,02, mousesports, 06, NatusVincere, 16, cobblestone, 18, 10, 1.31 
2016,03,02, Luminosity, 16, NatusVincere, 11, mirage, 19, 18, 1.03 
2016,03,02, fnatic, 16, NatusVincere, 10, dust2, 15, 15, 0.87 
