2016,04,14, Astralis, 05, NiP, 16, cache, 16, 11, 1.16 
2016,04,13, CSGL, 08, NiP, 16, cache, 17, 15, 1.12 
2016,04,12, NiP, 02, dignitas, 16, overpass, 09, 17, 0.53 
2016,04,07, NiP, 16, FlipSid3, 08, cobblestone, 17, 13, 1.09 
2016,04,07, FlipSid3, 04, NiP, 16, overpass, 12, 11, 0.96 
2016,04,01, NiP, 10, NatusVincere, 16, mirage, 20, 19, 1.02 
2016,04,01, NatusVincere, 16, NiP, 09, inferno, 16, 22, 0.79 
2016,03,31, NiP, 16, mousesports, 09, overpass, 16, 17, 0.91 
2016,03,31, mousesports, 16, NiP, 12, cache, 12, 24, 0.50 
2016,03,31, mousesports, 05, NiP, 16, cobblestone, 21, 13, 1.39 
2016,03,30, Luminosity, 16, NiP, 05, mirage, 13, 19, 0.71 
2016,03,29, FlipSid3, 17, NiP, 19, cache, 21, 27, 0.84 
2016,03,23, Astralis, 04, NiP, 16, cache, 10, 10, 0.91 
2016,03,23, Astralis, 08, NiP, 16, mirage, 18, 15, 1.10 
2016,03,19, NiP, 19, 0SK, 16, mirage, 26, 21, 1.13 
2016,03,19, 0SK, 08, NiP, 16, cache, 21, 14, 1.36 
2016,03,16, NiP, 10, fnatic, 16, inferno, 17, 18, 0.98 
2016,03,16, NiP, 16, fnatic, 06, cache, 16, 14, 0.98 
2016,03,09, NiP, 16, Virtus.pro, 11, overpass, 17, 18, 0.86 
2016,03,09, NiP, 16, Virtus.pro, 02, cache, 16, 10, 1.30 
2016,03,08, NiP, 16, FaZe, 09, train, 11, 17, 0.70 
2016,03,08, FaZe, 07, NiP, 16, dust2, 16, 10, 1.22 
2016,03,02, Luminosity, 13, NiP, 16, mirage, 15, 21, 0.76 
2016,03,02, NiP, 13, NatusVincere, 16, overpass, 14, 17, 0.82 
2016,03,02, NiP, 14, fnatic, 16, inferno, 23, 19, 1.19 
2016,03,02, TheMongolz, 05, NiP, 16, mirage, 21, 13, 1.39 
2016,03,02, mousesports, 16, NiP, 08, mirage, 13, 16, 0.82 
2016,02,24, NiP, 16, NatusVincere, 10, mirage, 18, 21, 0.85 
2016,02,24, NatusVincere, 16, NiP, 13, train, 21, 20, 1.00 
2016,02,23, NiP, 16, mousesports, 14, overpass, 17, 21, 0.83 
2016,02,23, NiP, 19, mousesports, 15, cache, 27, 20, 1.20 
2016,02,17, NiP, 16, dignitas, 08, mirage, 31, 13, 1.86 
2016,02,17, dignitas, 08, NiP, 16, train, 12, 18, 0.67 
2016,01,31, ex-Titan, 16, NiP, 13, cache, 19, 20, 0.92 
2016,01,31, NiP, 09, ex-Titan, 16, inferno, 11, 22, 0.51 
2016,01,14, E-frag.net, 09, NiP, 16, mirage, 21, 16, 1.16 
2016,01,14, NiP, 12, E-frag.net, 16, cache, 21, 18, 1.00 
2016,01,14, NiP, 16, E-frag.net, 11, cobblestone, 15, 18, 0.89 
2015,12,06, NiP, 12, fnatic, 16, mirage, 11, 21, 0.59 
2015,12,06, NiP, 09, fnatic, 16, train, 12, 21, 0.60 
2015,12,06, fnatic, 09, NiP, 16, dust2, 25, 13, 1.44 
2015,12,05, NiP, 16, fnatic, 12, cobblestone, 17, 20, 0.80 
2015,12,05, NiP, 14, fnatic, 16, inferno, 16, 21, 0.73 
2015,12,05, fnatic, 06, NiP, 16, cache, 19, 15, 1.11 
2015,12,04, 0SK, 06, NiP, 16, mirage, 18, 10, 1.29 
2015,12,04, NiP, 16, 0SK, 02, cache, 17, 05, 1.54 
2015,11,27, NiP, 06, Luminosity, 16, cobblestone, 14, 20, 0.82 
2015,11,27, NiP, 21, Luminosity, 19, cache, 29, 29, 0.96 
2015,11,27, Luminosity, 16, NiP, 10, mirage, 17, 18, 0.91 
