2016,03,21, FlipSid3, 16, 0SK, 08, cache, 23, 11, 1.41 
2016,03,20, mousesports, 13, FlipSid3, 16, cobblestone, 21, 19, 1.05 
2016,03,20, mousesports, 12, FlipSid3, 16, overpass, 08, 23, 0.45 
2016,03,20, FlipSid3, 10, Ancient, 16, train, 16, 20, 0.86 
2016,03,20, Ancient, 16, FlipSid3, 04, inferno, 17, 17, 1.01 
2016,03,20, FlipSid3, 16, WEGOTGAME, 04, cobblestone, 13, 11, 1.03 
2016,03,20, WEGOTGAME, 08, FlipSid3, 16, train, 19, 10, 1.26 
2016,03,17, NatusVincere, 16, FlipSid3, 06, mirage, 07, 18, 0.41 
2016,03,17, NatusVincere, 09, FlipSid3, 16, overpass, 26, 16, 1.39 
2016,03,17, FlipSid3, 10, NatusVincere, 16, train, 11, 19, 0.62 
2016,03,14, CSGL, 16, FlipSid3, 08, cache, 13, 17, 0.74 
2016,03,14, CSGL, 19, FlipSid3, 17, train, 15, 29, 0.54 
2016,03,14, ENCE, 11, FlipSid3, 16, cobblestone, 15, 21, 0.77 
2016,03,14, FlipSid3, 16, ENCE, 10, mirage, 16, 13, 1.06 
2016,03,13, 0G2, 16, FlipSid3, 07, overpass, 12, 17, 0.75 
2016,03,13, 0G2, 16, FlipSid3, 12, train, 15, 19, 0.77 
2016,03,13, Ancient, 07, FlipSid3, 16, mirage, 25, 12, 1.55 
2016,03,13, Ancient, 09, FlipSid3, 16, overpass, 22, 13, 1.31 
2016,03,13, FlipSid3, 12, Ancient, 16, inferno, 17, 19, 0.94 
2016,03,13, FlipSid3, 19, Preparation, 17, cobblestone, 33, 25, 1.37 
2016,03,13, FlipSid3, 16, Preparation, 09, overpass, 11, 19, 0.61 
2016,03,13, Preparation, 19, FlipSid3, 17, inferno, 15, 26, 0.70 
2016,03,10, EnVyUs, 16, FlipSid3, 07, cobblestone, 14, 18, 0.81 
2016,03,10, EnVyUs, 16, FlipSid3, 09, mirage, 06, 21, 0.38 
2016,03,09, Preparation, 03, FlipSid3, 16, train, 11, 08, 1.02 
2016,03,09, FlipSid3, 16, Preparation, 06, cache, 19, 12, 1.33 
2016,03,02, CSGL, 03, FlipSid3, 16, cobblestone, 13, 15, 0.87 
2016,03,02, FlipSid3, 16, CSGL, 01, train, 13, 04, 1.37 
2016,02,28, TempoStorm, 05, FlipSid3, 16, train, 18, 15, 1.06 
2016,02,28, FlipSid3, 16, TempoStorm, 05, cache, 18, 10, 1.28 
2016,02,27, FlipSid3, 14, 0G2, 16, inferno, 19, 22, 0.94 
2016,02,26, FlipSid3, 16, Selfless, 13, inferno, 14, 22, 0.64 
2016,02,19, FlipSid3, 10, Orgless, 16, inferno, 17, 18, 0.89 
2016,02,19, FlipSid3, 20, Orgless, 22, mirage, 26, 29, 0.88 
2016,02,19, Orgless, 09, FlipSid3, 16, overpass, 16, 16, 1.11 
2016,02,17, FlipSid3, 19, E-frag.net, 16, cobblestone, 24, 22, 1.03 
2016,02,17, E-frag.net, 16, FlipSid3, 09, inferno, 09, 21, 0.48 
2016,02,16, Astralis, 16, FlipSid3, 07, overpass, 17, 17, 0.91 
2016,02,16, FlipSid3, 07, Astralis, 16, mirage, 15, 21, 0.69 
2016,02,14, FlipSid3, 09, mousesports, 16, overpass, 17, 21, 0.84 
2016,02,14, mousesports, 16, FlipSid3, 06, cache, 08, 18, 0.48 
2016,02,14, FlipSid3, 16, E-frag.net, 04, cobblestone, 15, 10, 1.21 
2016,02,14, E-frag.net, 07, FlipSid3, 16, overpass, 13, 12, 0.89 
2016,02,14, E-frag.net, 16, FlipSid3, 12, inferno, 21, 18, 1.04 
2016,02,13, FlipSid3, 11, mousesports, 16, cobblestone, 17, 21, 0.84 
2016,02,13, mousesports, 16, FlipSid3, 05, mirage, 12, 18, 0.68 
