2016,06,09, CLG, 16, 0SK, 14, overpass, 22, 21, 0.99 
2016,06,09, CLG, 16, 0SK, 10, cobblestone, 24, 14, 1.42 
2016,06,09, 0SK, 16, CLG, 06, train, 12, 12, 0.91 
2016,06,08, NRG, 05, 0SK, 16, cobblestone, 19, 13, 1.34 
2016,06,08, NRG, 08, 0SK, 16, nuke, 15, 15, 0.95 
2016,06,08, 0SK, 07, Astralis, 16, overpass, 07, 18, 0.43 
2016,06,08, Astralis, 06, 0SK, 16, train, 17, 13, 1.27 
2016,06,07, CLG, 16, 0SK, 14, overpass, 23, 23, 1.04 
2016,06,07, CLG, 03, 0SK, 16, nuke, 16, 10, 1.30 
2016,05,30, 0SK, 12, ENCE, 16, cobblestone, 18, 19, 0.97 
2016,05,30, ENCE, 16, 0SK, 04, mirage, 12, 18, 0.64 
2016,05,30, ENCE, 13, 0SK, 16, train, 19, 17, 0.91 
2016,05,19, 0SK, 08, WorstPlayers, 16, cache, 13, 19, 0.74 
2016,05,19, WorstPlayers, 16, 0SK, 08, mirage, 12, 18, 0.69 
2016,05,19, HellRaisers, 16, 0SK, 05, overpass, 11, 19, 0.57 
2016,05,19, HellRaisers, 16, 0SK, 05, cache, 09, 18, 0.53 
2016,05,14, Epsilon, 16, 0SK, 14, overpass, 26, 18, 1.24 
2016,05,14, Orbit, 16, 0SK, 06, cobblestone, 16, 20, 0.76 
2016,05,11, CSGL, 13, 0SK, 16, cobblestone, 22, 14, 1.16 
2016,05,11, 0SK, 16, CSGL, 05, mirage, 19, 10, 1.35 
2016,05,10, 0SK, 25, Escape, 22, cache, 33, 26, 1.15 
2016,05,10, Escape, 10, 0SK, 16, cobblestone, 25, 17, 1.42 
2016,05,10, Escape, 10, 0SK, 16, cobblestone, 25, 17, 1.42 
2016,05,08, 0SK, 04, CSGL, 16, mirage, 11, 15, 0.75 
2016,05,08, CSGL, 14, 0SK, 16, overpass, 26, 21, 1.26 
2016,05,08, 0SK, 08, CSGL, 16, cache, 14, 18, 0.84 
2016,05,04, 0SK, 16, ALTERNATEaTTaX, 09, cache, 25, 14, 1.50 
2016,05,04, ALTERNATEaTTaX, 11, 0SK, 16, overpass, 17, 16, 0.97 
2016,05,04, 0SK, 04, ALTERNATEaTTaX, 16, cobblestone, 05, 18, 0.29 
2016,05,01, 0SK, 08, TempoStorm, 16, cobblestone, 25, 13, 1.63 
2016,05,01, TempoStorm, 09, 0SK, 16, mirage, 14, 16, 0.92 
2016,05,01, TempoStorm, 19, 0SK, 17, dust2, 31, 26, 1.11 
2016,05,01, TempoStorm, 16, 0SK, 05, cache, 14, 19, 0.77 
2016,04,30, 0SK, 16, HellRaisers, 03, cobblestone, 13, 10, 1.20 
2016,04,30, HellRaisers, 14, 0SK, 16, overpass, 19, 21, 0.91 
2016,04,30, HellRaisers, 10, 0SK, 16, dust2, 28, 14, 1.54 
2016,04,29, dignitas, 11, 0SK, 16, overpass, 19, 20, 0.97 
2016,04,29, 0SK, 16, dignitas, 03, cobblestone, 09, 09, 0.86 
2016,04,28, 0SK, 16, Selfless, 01, cache, 12, 12, 1.00 
2016,04,28, Selfless, 03, 0SK, 16, overpass, 19, 11, 1.67 
2016,04,28, 0SK, 06, TempoStorm, 16, cobblestone, 13, 16, 0.85 
2016,04,28, TempoStorm, 16, 0SK, 12, train, 18, 21, 0.91 
2016,04,26, dignitas, 16, 0SK, 02, cache, 08, 16, 0.53 
2016,04,26, dignitas, 25, 0SK, 23, overpass, 29, 34, 0.83 
2016,04,25, 0SK, 12, FlipSid3, 16, train, 21, 22, 0.99 
2016,04,25, 0SK, 14, FlipSid3, 16, mirage, 23, 19, 1.15 
2016,04,25, 0SK, 16, FlipSid3, 12, overpass, 20, 16, 1.05 
2016,04,24, 0SK, 16, nerdRage, 12, dust2, 18, 16, 1.07 
2016,04,24, 0SK, 16, nerdRage, 07, overpass, 22, 11, 1.55 
2016,04,24, Escape, 06, 0SK, 16, overpass, 14, 16, 0.83 
2016,04,24, Escape, 16, 0SK, 14, cache, 25, 22, 1.13 
2016,04,24, Escape, 10, 0SK, 16, mirage, 27, 19, 1.40 
2016,04,19, ENCE, 16, 0SK, 10, cobblestone, 12, 20, 0.66 
2016,04,19, ENCE, 04, 0SK, 16, train, 14, 12, 1.03 
2016,04,19, 0SK, 14, ENCE, 16, cache, 25, 20, 1.12 
2016,04,19, CSGL, 08, 0SK, 16, overpass, 16, 14, 0.97 
2016,04,19, 0SK, 16, CSGL, 14, cache, 30, 15, 1.53 
2016,04,18, E-frag.net, 12, 0SK, 16, cache, 28, 14, 1.62 
2016,04,18, 0SK, 08, E-frag.net, 16, mirage, 07, 18, 0.50 
2016,04,14, 0SK, 16, Torpedo, 12, mirage, 21, 19, 1.03 
2016,04,14, 0SK, 16, Torpedo, 03, cobblestone, 18, 13, 1.35 
2016,04,13, Preparation, 14, 0SK, 16, train, 18, 22, 0.78 
2016,04,13, 0SK, 16, Preparation, 13, mirage, 17, 21, 0.77 
2016,04,11, CPHWolves, 12, 0SK, 16, overpass, 16, 20, 0.79 
2016,04,11, 0SK, 15, CPHWolves, 19, dust2, 17, 25, 0.68 
2016,04,11, CPHWolves, 06, 0SK, 16, cache, 18, 14, 1.30 
2016,04,07, Virtus.pro, 12, 0SK, 16, train, 23, 16, 1.18 
2016,04,07, 0SK, 16, Virtus.pro, 11, cache, 20, 20, 1.02 
2016,04,07, HellRaisers, 16, 0SK, 12, cobblestone, 20, 21, 0.97 
2016,04,07, HellRaisers, 16, 0SK, 14, overpass, 22, 21, 1.07 
2016,04,06, AGG, 16, 0SK, 05, dust2, 10, 17, 0.64 
2016,04,06, AGG, 10, 0SK, 16, overpass, 24, 11, 1.40 
2016,04,06, 0SK, 16, Gambit, 05, mirage, 22, 08, 1.66 
2016,04,06, 0SK, 08, Gambit, 16, train, 13, 20, 0.78 
2016,03,25, 0SK, 07, SpaceSoldiers, 16, cobblestone, 18, 18, 0.98 
2016,03,25, 0SK, 14, SpaceSoldiers, 16, mirage, 21, 22, 1.03 
2016,03,25, SpaceSoldiers, 01, 0SK, 16, dust2, 26, 10, 2.09 
2016,03,25, 0SK, 16, Publiclir.se, 08, mirage, 24, 13, 1.52 
2016,03,25, 0SK, 16, Plantronics, 07, mirage, 23, 12, 1.53 
2016,03,22, 0SK, 16, FlipSid3, 13, train, 26, 21, 1.23 
2016,03,22, 0SK, 10, FlipSid3, 16, mirage, 14, 20, 0.82 
2016,03,21, 0SK, 12, FlipSid3, 16, cobblestone, 14, 21, 0.75 
2016,03,21, FlipSid3, 16, 0SK, 08, cache, 11, 18, 0.64 
2016,03,21, LDLCBlue, 03, 0SK, 16, train, 24, 13, 1.80 
2016,03,21, 0SK, 14, LDLCBlue, 16, dust2, 32, 19, 1.62 
2016,03,21, 0SK, 16, LDLCBlue, 01, cobblestone, 16, 06, 1.49 
2016,03,20, AGG, 16, 0SK, 05, inferno, 06, 19, 0.32 
2016,03,20, AGG, 22, 0SK, 19, overpass, 23, 31, 0.84 
2016,03,20, Epsilon, 11, 0SK, 16, cobblestone, 20, 13, 1.19 
2016,03,20, Epsilon, 16, 0SK, 12, dust2, 19, 22, 0.85 
2016,03,20, 0SK, 16, Epsilon, 11, overpass, 23, 18, 1.22 
2016,03,19, NiP, 19, 0SK, 16, mirage, 25, 26, 0.92 
2016,03,19, 0SK, 08, NiP, 16, cache, 19, 16, 1.20 
2016,03,17, 0SK, 16, mousesports, 11, cobblestone, 21, 15, 1.25 
2016,03,17, 0SK, 08, mousesports, 16, mirage, 13, 21, 0.60 
2016,03,17, 0SK, 16, Epsilon, 12, mirage, 24, 20, 1.18 
2016,03,17, Epsilon, 16, 0SK, 11, cobblestone, 20, 18, 1.04 
2016,03,17, 0SK, 16, Epsilon, 06, overpass, 19, 15, 1.19 
2016,03,16, VwS, 09, 0SK, 16, mirage, 24, 13, 1.47 
2016,03,16, 0SK, 16, VwS, 07, cache, 19, 12, 1.23 
2016,03,15, 0G2, 16, 0SK, 13, cache, 16, 25, 0.63 
2016,03,15, 0G2, 16, 0SK, 05, train, 09, 18, 0.67 
2016,03,15, 0SK, 16, Tricked, 05, cache, 24, 10, 1.80 
2016,03,15, Tricked, 19, 0SK, 17, overpass, 39, 25, 1.61 
2016,03,13, Astralis, 16, 0SK, 05, mirage, 10, 20, 0.57 
2016,03,13, 0SK, 07, Astralis, 16, train, 13, 19, 0.69 
2016,03,13, 0SK, 17, Ancient, 19, mirage, 30, 26, 1.07 
2016,03,13, Ancient, 11, 0SK, 16, overpass, 26, 13, 1.61 
2016,03,13, 0SK, 13, Ancient, 16, train, 15, 22, 0.71 
2016,03,12, 0SK, 03, FaZe, 16, mirage, 06, 16, 0.42 
2016,03,12, 0SK, 25, FaZe, 23, cache, 27, 41, 0.69 
2016,03,10, E-frag.net, 19, 0SK, 17, overpass, 26, 25, 1.05 
2016,03,10, Ancient, 16, 0SK, 14, overpass, 20, 22, 0.91 
2016,03,10, 0SK, 16, Method, 03, mirage, 22, 06, 1.74 
2016,03,09, 0SK, 16, GameAgents, 14, cache, 27, 21, 1.31 
2016,03,09, GameAgents, 11, 0SK, 16, train, 23, 14, 1.34 
2016,02,27, CLG, 16, 0SK, 13, overpass, 26, 20, 1.32 
2016,02,25, 0SK, 10, Vexed, 16, train, 14, 22, 0.60 
2016,02,24, fnatic, 16, 0SK, 06, cache, 18, 17, 0.97 
2016,02,24, 0SK, 11, fnatic, 16, overpass, 17, 17, 0.91 
2016,02,23, 0SK, 16, E-frag.net, 11, mirage, 24, 18, 1.19 
2016,02,23, 0SK, 05, E-frag.net, 16, cache, 12, 18, 0.68 
2016,02,22, 0SK, 16, EpiphanyBolt, 10, cobblestone, 24, 15, 1.38 
2016,02,22, EpiphanyBolt, 04, 0SK, 16, train, 19, 14, 1.30 
2016,02,22, PENTA, 03, 0SK, 16, mirage, 22, 10, 1.69 
2016,02,22, 0SK, 16, PENTA, 07, cache, 14, 14, 0.95 
2016,02,11, 0SK, 16, NatusVincere, 12, train, 17, 21, 0.81 
2016,02,11, 0SK, 16, NatusVincere, 07, cobblestone, 17, 14, 1.06 
2016,02,09, 0SK, 06, EnVyUs, 16, cobblestone, 10, 17, 0.67 
2016,02,09, 0SK, 19, EnVyUs, 22, mirage, 30, 25, 1.17 
2016,02,05, 0SK, 16, ENCE, 06, mirage, 19, 08, 1.37 
2016,02,05, ENCE, 02, 0SK, 16, train, 21, 13, 1.62 
2016,01,22, 0SK, 10, Luminosity, 16, train, 16, 16, 0.92 
2016,01,22, Luminosity, 10, 0SK, 16, mirage, 16, 16, 0.98 
2016,01,22, 0SK, 07, Luminosity, 16, overpass, 16, 15, 0.99 
2016,01,22, 0SK, 03, NatusVincere, 16, mirage, 10, 14, 0.72 
2016,01,10, FlipSid3, 16, 0SK, 21, train, 26, 24, 0.94 
2016,01,10, 0SK, 18, FlipSid3, 21, mirage, 33, 27, 1.23 
2016,01,10, 0SK, 16, FlipSid3, 03, overpass, 15, 12, 1.27 
2016,01,10, 0SK, 16, Vexed, 11, overpass, 32, 15, 1.74 
2016,01,10, Vexed, 16, 0SK, 10, train, 19, 20, 0.89 
2016,01,10, Vexed, 09, 0SK, 16, cobblestone, 26, 14, 1.55 
2016,01,10, 0SK, 16, Enso, 01, mirage, 11, 09, 0.99 
2016,01,10, 0SK, 16, Enso, 10, overpass, 21, 17, 1.20 
2015,12,17, 0SK, 16, DenDD, 10, overpass, 20, 14, 1.15 
2015,12,17, 0SK, 16, DenDD, 03, cobblestone, 17, 13, 1.25 
2015,12,15, dignitas, 16, 0SK, 14, cobblestone, 15, 22, 0.69 
2015,12,15, dignitas, 26, 0SK, 23, train, 34, 39, 0.96 
2015,11,12, E-frag.net, 16, ex-Reason, 05, inferno, 08, 19, 0.48 
2015,11,12, ex-Reason, 06, E-frag.net, 16, dust2, 07, 19, 0.46 
2015,11,08, dignitas, 13, Conquest, 16, cache, 16, 25, 0.67 
2015,11,08, Conquest, 19, dignitas, 22, train, 26, 25, 0.99 
2015,11,08, dignitas, 09, Conquest, 16, cobblestone, 11, 16, 0.80 
2015,11,07, Virtus.pro, 16, dignitas, 11, mirage, 16, 19, 0.89 
2015,11,07, Virtus.pro, 16, dignitas, 13, inferno, 12, 20, 0.66 
2015,11,07, dignitas, 19, Virtus.pro, 17, train, 16, 25, 0.69 
2015,11,07, Liquid, 13, dignitas, 16, cobblestone, 18, 16, 1.00 
2015,11,07, dignitas, 16, Liquid, 08, train, 23, 11, 1.53 
2015,11,03, dignitas, 04, NiP, 16, train, 13, 17, 0.69 
2015,10,29, dignitas, 14, CLG, 16, cobblestone, 20, 18, 0.96 
2015,10,28, EnVyUs, 16, dignitas, 06, cobblestone, 05, 18, 0.34 
2015,10,21, dignitas, 19, FlipSid3, 17, mirage, 23, 26, 0.91 
2015,10,21, dignitas, 16, FlipSid3, 07, inferno, 22, 09, 1.70 
2015,10,20, dignitas, 16, PENTA, 11, mirage, 27, 14, 1.51 
2015,10,19, dignitas, 16, 0SK, 08, cache, 16, 12, 1.11 
2015,10,19, dignitas, 16, HellRaisers, 09, mirage, 18, 15, 1.04 
2015,10,19, dignitas, 05, NatusVincere, 16, overpass, 13, 17, 0.84 
2015,10,18, TSM, 16, dignitas, 06, mirage, 12, 18, 0.68 
2015,10,18, EnVyUs, 16, dignitas, 03, cobblestone, 05, 18, 0.26 
2015,10,18, EnVyUs, 16, dignitas, 04, inferno, 08, 18, 0.53 
2015,10,17, dignitas, 08, NiP, 16, dust2, 18, 16, 1.00 
2015,10,17, dignitas, 08, EnVyUs, 16, cache, 15, 17, 0.86 
2015,10,15, dignitas, 16, mousesports, 13, train, 27, 17, 1.36 
2015,10,15, fnatic, 16, dignitas, 09, mirage, 24, 18, 1.38 
2015,10,15, FlipSid3, 06, dignitas, 16, mirage, 28, 08, 2.00 
2015,10,15, dignitas, 16, FlipSid3, 06, overpass, 16, 08, 1.31 
2015,10,15, dignitas, 12, FlipSid3, 16, inferno, 20, 17, 1.19 
2015,10,13, NatusVincere, 19, dignitas, 22, inferno, 19, 30, 0.71 
2015,10,10, 0SK, 14, dignitas, 16, inferno, 16, 23, 0.73 
2015,10,10, dignitas, 16, 0SK, 13, overpass, 23, 15, 1.26 
2015,10,10, dignitas, 16, 0SK, 14, mirage, 39, 15, 1.78 
2015,10,08, TSM, 16, dignitas, 03, dust2, 11, 17, 0.63 
2015,10,07, HellRaisers, 12, dignitas, 16, train, 17, 17, 1.06 
2015,10,06, dignitas, 19, mousesports, 15, cobblestone, 31, 22, 1.29 
2015,10,06, 0G2, 16, dignitas, 07, inferno, 17, 17, 1.06 
2015,10,06, dignitas, 16, 0G2, 12, train, 26, 20, 1.17 
2015,10,05, dignitas, 16, CSGL, 05, cobblestone, 18, 10, 1.36 
2015,10,05, CSGL, 06, dignitas, 16, mirage, 17, 08, 1.30 
2015,10,01, EnVyUs, 16, dignitas, 08, overpass, 14, 20, 0.77 
2015,10,01, dignitas, 16, 0SK, 14, inferno, 16, 19, 0.88 
