2016,05,22, Liquid, 14, Cloud9, 16, dust2, 11, 19, 0.68 
2016,05,22, Liquid, 09, Cloud9, 16, overpass, 23, 12, 1.47 
2016,05,21, Cloud9, 16, compLexity, 11, train, 19, 17, 1.11 
2016,05,21, compLexity, 14, Cloud9, 16, cache, 26, 20, 1.23 
2016,05,21, Cloud9, 07, compLexity, 16, dust2, 11, 18, 0.68 
2016,05,20, Cloud9, 16, TSM, 04, dust2, 12, 10, 1.08 
2016,05,20, TSM, 10, Cloud9, 16, cobblestone, 26, 18, 1.35 
2016,05,20, Cloud9, 10, TSM, 16, inferno, 10, 19, 0.63 
2016,05,12, Liquid, 16, Cloud9, 10, cobblestone, 22, 22, 0.97 
2016,05,12, Cloud9, 16, Liquid, 19, dust2, 20, 24, 0.82 
2016,05,11, Cloud9, 10, fnatic, 16, inferno, 13, 18, 0.76 
2016,05,08, Cloud9, 11, TempoStorm, 16, cache, 22, 15, 1.19 
2016,05,08, TempoStorm, 19, Cloud9, 16, inferno, 23, 26, 0.89 
2016,05,08, Cloud9, 16, TempoStorm, 13, cobblestone, 20, 21, 0.90 
2016,05,07, CLG, 11, Cloud9, 16, dust2, 20, 13, 1.24 
2016,05,07, Cloud9, 12, CLG, 16, mirage, 21, 21, 1.04 
2016,05,07, CLG, 16, Cloud9, 19, cache, 30, 20, 1.23 
2016,05,07, Luminosity, 16, Cloud9, 03, mirage, 06, 16, 0.48 
2016,05,06, Cloud9, 16, CLG, 01, cobblestone, 21, 08, 1.91 
2016,05,03, Cloud9, 16, NRG, 07, dust2, 12, 13, 0.84 
2016,05,03, NRG, 04, Cloud9, 16, mirage, 15, 11, 1.14 
2016,05,03, Cloud9, 14, NRG, 16, cache, 19, 24, 0.79 
2016,04,30, Cloud9, 14, Luminosity, 16, mirage, 21, 20, 1.05 
2016,04,30, Cloud9, 07, Luminosity, 16, dust2, 08, 19, 0.46 
2016,04,29, WithoutaRoof, 02, Cloud9, 16, cache, 20, 07, 1.85 
2016,04,29, Cloud9, 16, WithoutaRoof, 05, dust2, 22, 08, 1.96 
2016,04,27, Cloud9, 16, KKona, 04, dust2, 21, 09, 1.70 
2016,04,27, Cloud9, 16, KKona, 09, train, 19, 16, 1.16 
2016,04,24, Cloud9, 16, Splyce, 05, overpass, 16, 10, 1.29 
2016,04,24, Cloud9, 16, Splyce, 07, cobblestone, 20, 12, 1.42 
2016,04,23, Cloud9, 16, OpTic, 08, dust2, 19, 10, 1.38 
2016,04,23, Cloud9, 05, OpTic, 16, cache, 10, 15, 0.74 
2016,04,23, Cloud9, 16, OpTic, 13, mirage, 13, 20, 0.69 
2016,04,21, Cloud9, 16, EchoFox, 11, cobblestone, 14, 18, 0.75 
2016,04,21, EchoFox, 16, Cloud9, 07, mirage, 20, 18, 1.06 
